# GSMF from Illustris-TNG300. Calculated assuming 30pkpc spherical apertures and Chabrier IMF.
# Data obtained from TNG data portal: https://www.tng-project.org/data/
# 
# Mstar z=0.0 z=0.5 z=1.0 z=2.0 z=3.0 z=4.0 z=5.0
1.292447e+07 5.017371e-02 6.623085e-02 8.523289e-02 1.285859e-01 1.603868e-01 1.608867e-01 1.229469e-01
2.048390e+07 4.161647e-02 5.170768e-02 6.173755e-02 7.660980e-02 8.029886e-02 7.745986e-02 6.182270e-02
3.246479e+07 3.302243e-02 4.086383e-02 4.871028e-02 6.206715e-02 6.668114e-02 6.243228e-02 4.827316e-02
5.145323e+07 2.649815e-02 3.281406e-02 3.865353e-02 4.672206e-02 4.596310e-02 3.863838e-02 2.727496e-02
8.154787e+07 2.033594e-02 2.544135e-02 2.951449e-02 3.452969e-02 3.233870e-02 2.499665e-02 1.612515e-02
1.292447e+08 1.580854e-02 1.974332e-02 2.274450e-02 2.612489e-02 2.342715e-02 1.693155e-02 9.942556e-03
2.048390e+08 1.287591e-02 1.579592e-02 1.817164e-02 2.031032e-02 1.749044e-02 1.180251e-02 6.398898e-03
3.246479e+08 1.108667e-02 1.312523e-02 1.470448e-02 1.601889e-02 1.291163e-02 8.108398e-03 4.095150e-03
5.145323e+08 1.010221e-02 1.130496e-02 1.210306e-02 1.216097e-02 9.322150e-03 5.585100e-03 2.607907e-03
8.154787e+08 9.568400e-03 9.997759e-03 1.040132e-02 9.347226e-03 6.772152e-03 3.773492e-03 1.624169e-03
1.292447e+09 8.167931e-03 8.452246e-03 8.344365e-03 6.789832e-03 4.662518e-03 2.489202e-03 1.022344e-03
2.048390e+09 7.074868e-03 7.265374e-03 7.042937e-03 5.338128e-03 3.388692e-03 1.720865e-03 6.626206e-04
3.246479e+09 6.269008e-03 6.441293e-03 6.174657e-03 4.339416e-03 2.608448e-03 1.233957e-03 4.648988e-04
5.145323e+09 5.635071e-03 5.706691e-03 5.414979e-03 3.700248e-03 1.978120e-03 8.827124e-04 3.158858e-04
8.154787e+09 5.080693e-03 5.014124e-03 4.740452e-03 3.154168e-03 1.542807e-03 6.335757e-04 2.051183e-04
1.292447e+10 4.423304e-03 4.251921e-03 3.890573e-03 2.700274e-03 1.188135e-03 4.463173e-04 1.298902e-04
2.048390e+10 3.954436e-03 3.581362e-03 3.128551e-03 2.008608e-03 8.962426e-04 2.929746e-04 8.298543e-05
3.246479e+10 3.874878e-03 3.442813e-03 2.805990e-03 1.438715e-03 5.689914e-04 1.733674e-04 4.041029e-05
5.145323e+10 2.724808e-03 2.690893e-03 2.213726e-03 1.042910e-03 3.398794e-04 9.128397e-05 2.291119e-05
8.154787e+10 1.283027e-03 1.281042e-03 1.056621e-03 5.471626e-04 1.856348e-04 4.600279e-05 1.010257e-05
1.292447e+11 5.983971e-04 5.244318e-04 4.019381e-04 1.986238e-04 8.316583e-05 2.020515e-05 1.804031e-06
2.048390e+11 2.460698e-04 1.933921e-04 1.426989e-04 7.360447e-05 3.139014e-05 7.757333e-06 1.082419e-06
3.246479e+11 8.785631e-05 6.801197e-05 4.672440e-05 2.255039e-05 1.298902e-05 2.345240e-06 0.000000e+00
5.145323e+11 2.760167e-05 2.345240e-05 1.461265e-05 7.035721e-06 3.427659e-06 5.412093e-07 0.000000e+00
8.154787e+11 6.494512e-06 4.329674e-06 2.706047e-06 1.262822e-06 5.412093e-07 1.804031e-07 0.000000e+00
1.292447e+12 3.608062e-07 3.608062e-07 5.412093e-07 1.804031e-07 3.608062e-07 0.000000e+00 0.000000e+00
2.048390e+12 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.246479e+12 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5.145323e+12 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
