# JID                    RA         DEC        q      PA        Ag      Ar      Ai      z        TType   Re      RhalfMass   R235_i   RH      R1       LOGMASS  
  J010354.04-002627      15.97517   -0.44084   0.79   111.0     0.127   0.088   0.065   0.0175   -99     1.54    1.98        2.96     4.94    7.1      9.16     
  J010356.05-004023.7    15.98356   -0.67326   0.87   132.0     0.11    0.076   0.057   0.0177   -99     0.54    1.4         1.26     2.18    2.48     7.96     
  J010357.73-005353.8    15.99058   -0.89828   0.73   78.0      0.1     0.069   0.052   0.0168   -99     1.28    1.87        1.74     2.98    4.76     8.46     
  J010401.73-004846.99   16.00727   -0.81312   0.81   -10.07    0.101   0.07    0.052   0.0664   -5      13.02   12.77       26.52    44.42   77.32    11.56    
  J010407.04-002518.60   16.02929   -0.42192   0.68   115.0     0.136   0.094   0.07    0.0499   -2      3.89    5.67        13.52    17.34   26.3     10.96    
  J010407.29-005812.13   16.03046   -0.97015   0.61   108.0     0.105   0.073   0.054   0.0186   -5      1.59    2.16        5.61     8.58    14.17    10.12    
  J010414.24-000659.6    16.05936   -0.11658   0.69   34.19     0.136   0.094   0.07    0.0175   -99     2.46    2.77        2.8      5.15    5.54     8.48     
  J010415.17-010651.54   16.06331   -1.11446   0.6    145.0     0.122   0.085   0.063   0.018    3       3.13    3.27        6.88     9.0     12.02    9.86     
  J010416.79-010429.98   16.07001   -1.07516   0.5    11.96     0.114   0.079   0.059   0.0177   -2      2.52    2.95        11.83    16.32   29.96    10.77    
  J010425.27-001114.72   16.10536   -0.18747   0.54   107.0     0.146   0.101   0.075   0.0507   -5      12.03   13.57       30.19    50.02   109.06   11.49    
  J010426.23-003935.1    16.10933   -0.65975   0.5    152.0     0.113   0.078   0.058   0.0167   -99     1.5     1.75        2.43     4.55    5.48     8.57     
  J010429.22-002626.9    16.12179   -0.44082   0.98   45.0      0.144   0.099   0.074   0.0175   -99     1.64    2.12        2.44     4.28    6.72     9.06     
  J010433.51-001912.49   16.13966   -0.32029   0.7    145.0     0.157   0.109   0.081   0.051    -5      7.85    10.59       18.48    28.49   65.71    11.17    
  J010440.82-004809.92   16.17026   -0.80284   0.71   122.12    0.104   0.072   0.054   0.0171   -2      4.49    4.88        14.93    18.72   23.69    10.99    
  J010507.07-004910.2    16.27948   -0.81951   0.81   14.0      0.108   0.074   0.055   0.0177   -99     1.08    1.66        2.01     3.38    6.02     8.82     
  J010529.49-002039.1    16.37291   -0.34422   0.92   30.0      0.121   0.084   0.062   0.0177   -99     2.29    3.11        3.44     5.59    9.42     9.16     
  J010554.17-005910.1    16.47573   -0.98616   0.44   -1.88     0.136   0.094   0.07    0.0177   -99     2.44    2.9         3.89     6.56    5.87     8.4      
  J010607.19+004633.5    16.52997   0.77599    0.84   48.0      0.084   0.058   0.043   0.0174   -99     5.43    5.21        4.14     10.87   10.91    9.1      
  J010610.05+011359.18   16.54215   1.23328    0.55   106.38    0.082   0.057   0.042   0.0495   1       4.92    5.29        22.91    31.44   32.66    10.64    
  J010611.53-005359.61   16.54817   -0.90011   0.91   150.0     0.134   0.092   0.069   0.067    -3      4.28    7.99        15.06    24.1    38.61    10.87    
  J010611.56-003701.14   16.54831   -0.6171    0.49   -103.6    0.126   0.087   0.065   0.0736   4       11.49   9.68        24.92    34.34   39.92    10.64    
  J010623.48+002043.1    16.59786   0.34533    0.87   110.0     0.091   0.063   0.047   0.0173   -99     0.9     2.07        2.44     3.86    5.08     8.56     
  J010623.92-000841.67   16.59987   -0.14502   0.77   62.34     0.109   0.076   0.056   0.048    0       4.1     6.47        18.2     23.79   28.81    10.88    
  J010701.39+005435.40   16.756     0.90976    0.65   86.33     0.083   0.057   0.043   0.048    -5      8.57    9.03        18.51    30.65   59.91    11.08    
  J010713.98+004733.80   16.80833   0.79266    0.52   165.0     0.092   0.064   0.048   0.0515   -2      4.83    6.11        16.33    20.81   30.54    11.01    
  J010722.57+005533.44   16.84418   0.92583    0.85   130.0     0.085   0.059   0.044   0.0178   -5      2.99    3.54        11.53    18.97   29.85    10.88    
  J010723.22+004018.87   16.84692   0.67186    0.71   116.15    0.096   0.066   0.049   0.0661   -3      5.96    6.87        16.84    24.13   37.33    11.19    
  J010731.55+005322.7    16.88148   0.88966    0.98   50.0      0.086   0.059   0.044   0.0177   -99     1.11    1.89        3.33     4.94    8.22     9.46     
  J010753.66+001934.82   16.97375   0.32631    0.67   33.56     0.101   0.07    0.052   0.0475   -5      5.27    7.13        16.82    28.12   45.67    11.05    
  J010802.14-000432.5    17.00895   -0.0757    0.51   96.0      0.11    0.076   0.056   0.0172   -99     2.32    2.23        4.02     6.09    5.39     8.56     
  J010810.90-000604.90   17.04529   -0.10206   0.45   134.0     0.118   0.082   0.061   0.0782   5       12.93   11.56       26.18    34.62   38.45    10.43    
  J010813.33-002035.7    17.05556   -0.34327   0.31   -69.64    0.117   0.081   0.06    0.0169   -99     1.98    1.96        2.78     4.9     3.18     7.55     
  J010822.31+000112.1    17.093     0.02004    0.95   130.0     0.105   0.072   0.054   0.0173   -99     1.3     1.81        1.72     3.28    3.6      8.15     
  J010823.24+000523.21   17.09682   0.08961    0.49   96.0      0.1     0.069   0.051   0.0469   0       6.21    6.08        19.49    29.39   43.44    10.92    
  J010941.70+010916.12   17.42383   1.15443    0.61   13.75     0.098   0.068   0.051   0.0501   2       8.34    5.74        17.44    21.66   20.85    10.42    
  J011017.14+002041.60   17.57146   0.34498    0.81   187.38    0.087   0.06    0.044   0.0449   -3      5.02    6.3         14.18    24.0    39.97    10.98    
  J011049.68+003300.3    17.70702   0.55011    0.46   10.0      0.089   0.061   0.046   0.0149   -99     1.01    1.72        1.4      2.5     2.09     7.33     
  J011050.82+001153.36   17.71186   0.19805    0.71   101.82    0.086   0.059   0.044   0.0176   3       3.93    3.07        6.59     13.42   11.97    9.65     
  J011050.84+001152.9    17.71187   0.19803    0.64   109.0     0.086   0.059   0.044   0.0176   -99     4.19    3.15        7.01     14.32   12.1     9.58     
  J011057.42+003803.28   17.73914   0.63411    0.81   130.0     0.097   0.067   0.05    0.0464   3       7.01    7.53        17.09    21.82   29.9     10.9     
  J011115.8-002721.7     17.81585   -0.45604   0.56   40.0      0.084   0.058   0.043   0.0177   -99     3.79    3.16        5.84     10.12   7.59     8.9      
  J011203.33-000403.67   18.01395   -0.06771   0.8    52.73     0.099   0.068   0.051   0.0442   -2      5.44    6.16        15.44    21.26   36.91    11.12    
  J011204.62-001442.44   18.01935   -0.24518   0.51   -35.5     0.101   0.07    0.052   0.0442   -5      16.51   17.06       26.29    44.46   86.59    11.18    
  J011207.78-010002.8    18.03242   -1.0008    0.72   46.0      0.212   0.147   0.109   0.0124   -99     0.96    1.34        2.39     3.64    3.61     8.56     
  J011208.63-002436.75   18.03611   -0.41032   0.8    4.0       0.09    0.062   0.046   0.0182   1       3.76    2.86        9.28     15.1    21.23    10.42    
  J011233.68+001736.27   18.14135   0.29395    0.71   4.69      0.114   0.079   0.059   0.0191   7       4.7     4.59        8.28     11.56   12.01    9.43     
  J011235.71-002452.9    18.14881   -0.41472   0.89   98.0      0.087   0.06    0.045   0.0178   -99     1.25    1.87        2.55     4.04    5.55     9.05     
  J011242.11+010839.21   18.17552   1.14409    0.85   0.0       0.119   0.083   0.061   0.0443   4       3.91    4.07        10.12    14.78   20.99    10.34    
  J011242.82-002409.3    18.17844   -0.4026    0.42   53.0      0.092   0.063   0.047   0.0175   -99     1.52    2.01        2.74     4.47    5.22     8.41     
  J011248.60-001724.69   18.20264   -0.29029   0.89   52.0      0.109   0.076   0.056   0.0175   -5      4.13    4.78        13.24    21.64   43.5     11.06    
  J011257.42-002041.98   18.23938   -0.34509   0.32   108.0     0.104   0.072   0.054   0.0188   3       3.29    3.44        15.79    22.1    27.8     10.35    
  J011302.86+004040.2    18.26195   0.67784    0.72   140.0     0.095   0.066   0.049   0.015    -99     1.57    1.77        2.08     3.6     3.08     7.94     
  J011320.18-002344      18.33412   -0.39556   0.94   19.65     0.101   0.07    0.052   0.0178   -99     0.95    1.32        1.66     2.66    3.71     8.56     
  J011327.21+000908.91   18.36352   0.1524     0.78   71.33     0.089   0.062   0.046   0.0431   3       9.84    6.14        17.85    25.9    28.06    10.69    
  J011341.82-000609.83   18.42422   -0.10289   0.51   12.0      0.097   0.067   0.05    0.0172   3       4.01    3.66        11.21    15.57   22.51    10.31    
  J011346.32+001820.61   18.44325   0.30566    0.61   175.62    0.1     0.069   0.052   0.0443   3       7.49    6.53        19.58    26.6    32.53    10.74    
  J011413.36-001702.5    18.55568   -0.28404   0.52   36.5      0.094   0.065   0.048   0.0179   -99     3.41    3.89        6.81     10.0    12.06    9.39     
  J011415.78+004555.18   18.56585   0.76561    0.95   -27.91    0.105   0.073   0.054   0.0425   4       7.23    7.01        15.28    19.33   24.96    10.65    
  J011421.54+001046.93   18.58983   0.17966    0.88   117.58    0.094   0.065   0.048   0.0443   -5      5.72    7.08        16.41    27.15   41.32    11.15    
  J011430.80+001928.28   18.62863   0.32437    1.0    0.0       0.098   0.068   0.05    0.0436   2       6.28    6.79        14.61    23.79   29.37    10.93    
  J011431.30+004730.27   18.6306    0.79171    0.85   37.88     0.112   0.077   0.058   0.0653   4       8.09    7.13        18.56    22.97   26.16    10.92    
  J011431.62-000402.9    18.63179   -0.06747   0.83   135.0     0.098   0.068   0.05    0.0171   -99     2.96    2.75        2.44     5.8     5.75     8.63     
  J011434.31-002903.56   18.64315   -0.48437   0.8    62.45     0.102   0.07    0.052   0.0769   0       6.8     8.43        18.33    23.4    35.2     10.98    
  J011446.29-000003.96   18.69293   -0.00121   0.77   -30.72    0.1     0.069   0.052   0.018    0       2.16    2.87        6.3      8.17    12.01    9.99     
  J011446.93+003128.79   18.69552   0.5246     0.34   73.0      0.094   0.065   0.048   0.0454   1       4.59    6.47        16.76    23.94   37.72    10.48    
  J011447.35+010716.4    18.6973    1.12124    0.41   137.5     0.122   0.085   0.063   0.0163   -99     3.11    2.65        8.04     11.65   12.52    9.76     
  J011448.67-002946.08   18.70287   -0.49617   0.79   174.0     0.101   0.07    0.052   0.034    3       5.68    5.64        14.53    19.15   21.85    10.63    
  J011454.21+003026.58   18.72608   0.50723    0.57   51.6      0.093   0.064   0.048   0.0438   -3      3.23    4.8         12.34    19.99   28.9     10.84    
  J011454.25+001811.81   18.72599   0.30313    0.83   40.0      0.107   0.074   0.055   0.0443   -5      5.17    5.55        15.27    23.39   40.32    11.15    
  J011456.26+000750.45   18.73452   0.13063    0.7    20.7      0.107   0.074   0.055   0.0415   3       4.42    5.2         13.43    17.75   28.16    10.63    
  J011505.48+001919.97   18.77299   0.32213    0.4    160.0     0.108   0.075   0.055   0.0418   0       3.71    4.88        13.35    20.05   31.25    10.36    
  J011507.33+002756.84   18.78063   0.46574    0.58   102.0     0.092   0.064   0.047   0.0424   -3      4.11    5.16        13.42    18.4    27.88    10.89    
  J011508.73+003433.57   18.78645   0.57586    0.58   172.0     0.098   0.068   0.051   0.0454   1       3.5     4.39        14.07    22.44   32.31    10.81    
  J011520.86+001533.54   18.83732   0.25914    0.42   34.0      0.114   0.079   0.059   0.0433   2       5.75    5.68        17.93    22.45   31.08    10.47    
  J011522.23-000930.6    18.84265   -0.15851   0.97   120.0     0.096   0.066   0.049   0.0173   -99     0.67    1.3         2.36     3.51    5.0      9.16     
  J011530.45-005139.6    18.8769    -0.861     0.72   175.0     0.132   0.091   0.068   0.0059   -99     4.76    3.91        9.3      12.08   12.7     9.48     
  J011535.54+010839.60   18.89816   1.14434    0.85   -25.41    0.099   0.069   0.051   0.0639   2       8.96    6.9         22.93    29.88   34.37    11.07    
  J011540.64+011152.67   18.91956   1.19784    0.9    77.12     0.104   0.072   0.054   0.0441   3       6.07    6.74        15.06    19.27   25.05    10.75    
  J011603.31-000652.74   19.01394   -0.11478   0.86   43.29     0.103   0.071   0.053   0.0462   2       8.37    6.72        19.22    29.96   34.11    10.98    
  J011605.60-000053.68   19.02348   -0.0149    0.32   -20.61    0.105   0.072   0.054   0.0446   3       8.77    8.14        22.97    29.36   33.82    10.64    
  J011612.79-000628.38   19.05336   -0.10786   0.99   132.79    0.105   0.073   0.054   0.0468   -5      5.36    7.06        14.5     26.47   58.17    11.19    
  J011623.61+002644.77   19.09835   0.44584    0.58   51.97     0.1     0.069   0.051   0.0548   3       5.47    4.86        14.51    20.0    23.78    10.29    
  J011635.67+004531.63   19.14872   0.75856    0.83   60.65     0.103   0.071   0.053   0.0447   5       4.4     5.2         10.5     13.41   14.5     10.16    
  J011635.98+011208      19.14993   1.20223    0.83   -84.21    0.114   0.079   0.059   0.0169   -99     3.33    3.26        3.61     7.1     7.02     8.81     
  J011653.59+000911.27   19.22407   0.15281    0.52   11.83     0.107   0.074   0.055   0.019    6       2.95    2.95        6.2      8.17    7.77     9.06     
  J011703.58+000027.39   19.26507   0.00752    0.78   82.0      0.107   0.074   0.055   0.046    2       2.3     4.46        10.67    14.19   17.27    10.49    
  J011706.83+004132.2    19.27847   0.69228    0.75   35.0      0.103   0.071   0.053   0.0178   -99     1.73    2.02        1.47     3.31    2.82     7.78     
  J011708.94+010616.70   19.28741   1.10464    0.87   12.75     0.104   0.072   0.053   0.0443   -5      3.93    4.89        13.56    19.3    34.66    11.03    
  J011725.36-002024.83   19.35582   -0.34041   0.71   130.07    0.109   0.076   0.056   0.0533   3       7.85    10.29       21.41    30.38   34.22    10.62    
  J011743.74-004953.00   19.4324    -0.83141   0.71   35.07     0.124   0.086   0.064   0.0533   -3      4.5     6.64        14.32    22.77   41.74    10.98    
  J011832.24-011150.41   19.63452   -1.19721   0.62   64.42     0.148   0.103   0.076   0.0468   3       10.23   7.52        22.98    30.48   34.53    10.9     
  J011844.86-005422.71   19.68713   -0.90642   0.74   -20.14    0.123   0.085   0.063   0.0175   -2      2.65    2.48        6.69     9.69    16.23    10.14    
  J011853.00-003935.44   19.72077   -0.65995   0.94   90.0      0.12    0.083   0.062   0.0482   -5      4.47    6.33        12.63    19.75   42.25    10.98    
  J011853.62-010007.21   19.72354   -1.00212   0.59   160.0     0.12    0.083   0.061   0.0453   -5      18.9    20.05       41.66    67.71   141.03   11.8     
  J011905.17-004707.41   19.77164   -0.78545   0.74   -11.15    0.128   0.089   0.066   0.054    1       4.6     5.31        11.71    15.35   22.27    10.3     
  J011913.49-010839.97   19.80618   -1.14446   0.71   177.1     0.119   0.082   0.061   0.0468   -5      6.42    6.66        19.86    26.4    42.52    11.25    
  J011917.01-000649.47   19.82089   -0.11387   0.46   -10.28    0.115   0.08    0.059   0.0173   -2      1.59    1.96        5.79     7.34    10.28    10.13    
  J011935.11+002801.64   19.89634   0.46708    1.0    0.0       0.102   0.071   0.053   0.0453   3       5.32    4.99        11.72    15.08   18.77    10.63    
  J011958.72+004319.9    19.99471   0.7222     0.69   55.0      0.108   0.075   0.056   0.0147   -99     2.82    2.51        2.78     5.97    4.87     8.45     
  J011958.74+004319.9    19.99476   0.72221    0.67   -125.31   0.108   0.075   0.056   0.0146   -99     2.83    2.54        2.82     6.04    4.84     8.43     
  J012006.84-001219.5    20.02853   -0.20542   0.32   149.0     0.115   0.079   0.059   0.0058   -99     2.37    2.46        3.96     5.94    5.06     8.08     
  J012007.73+000437.27   20.03265   0.07698    0.5    162.0     0.124   0.085   0.063   0.0186   6       2.65    2.81        6.99     10.11   11.93    9.78     
  J012015.34-002009.00   20.06419   -0.33575   1.0    0.0       0.123   0.085   0.063   0.0468   4       8.6     7.06        16.66    23.85   24.09    10.6     
  J012023.14-000444.28   20.09665   -0.07901   0.72   30.87     0.116   0.08    0.06    0.0774   -5      19.76   21.46       42.48    68.21   141.78   12.0     
  J012113.08+001112.5    20.30453   0.18683    0.64   96.0      0.107   0.074   0.055   0.0128   -99     3.54    3.1         1.32     5.76    3.11     7.88     
  J012117.60-003551.50   20.32347   -0.59778   0.88   48.72     0.142   0.098   0.073   0.0543   -5      7.14    9.32        21.44    35.9    73.99    11.49    
  J012121.31+000525.46   20.33835   0.08981    0.47   10.0      0.109   0.076   0.056   0.0127   7       3.57    3.32        6.82     9.09    7.94     8.96     
  J012121.33+000523.5    20.33888   0.08987    0.5    8.0       0.109   0.076   0.056   0.0127   -99     3.43    2.95        6.64     8.85    7.99     9.01     
  J012147.20-004643.96   20.44666   -0.779     0.98   120.0     0.151   0.105   0.078   0.0539   3       4.94    6.47        11.65    15.86   19.3     10.23    
  J012156.97-010051.61   20.48737   -1.01449   0.48   -21.26    0.15    0.104   0.077   0.0545   4       8.05    6.6         19.43    24.36   28.57    10.58    
  J012159.81-010224.38   20.4993    -1.04015   0.98   60.0      0.151   0.105   0.078   0.055    2       3.31    7.45        14.38    19.53   23.03    10.78    
  J012200.75+001611.4    20.50316   0.26984    0.47   170.0     0.11    0.076   0.057   0.0127   -99     2.44    2.21        3.57     5.8     4.32     8.12     
  J012218.34+010553.8    20.57643   1.0983     0.77   108.0     0.101   0.07    0.052   0.0077   -99     0.34    0.66        0.64     1.01    1.44     7.3      
  J012223.77-005230.73   20.59913   -0.87523   0.44   42.0      0.169   0.117   0.087   0.0271   4       16.17   9.65        32.27    44.35   44.04    10.96    
  J012234.43+005158.6    20.64348   0.86629    0.91   130.0     0.109   0.076   0.056   0.0171   -99     1.14    1.93        1.38     2.62    4.53     8.52     
  J012235.40-003412.38   20.64775   -0.57031   0.84   55.48     0.156   0.108   0.08    0.0256   -2      2.53    3.34        10.83    14.15   21.16    10.77    
  J012249.20+000240.57   20.70511   0.04464    0.62   70.0      0.113   0.078   0.058   0.0435   -2      6.01    7.47        17.86    22.72   34.94    11.11    
  J012312.37-003828.15   20.80167   -0.64127   0.59   140.0     0.133   0.092   0.068   0.0275   -5      4.88    5.74        16.68    27.36   76.76    11.07    
  J012313.71-002307.14   20.80729   -0.38524   1.0    0.0       0.12    0.083   0.062   0.0249   4       6.49    5.06        12.98    19.61   18.41    10.33    
  J012317.00-005421.70   20.82096   -0.90613   0.43   3.0       0.172   0.119   0.088   0.0259   5       3.61    3.08        10.32    14.48   15.9     10.06    
  J012325.2+004518.5     20.85504   0.75517    0.5    100.0     0.105   0.073   0.054   0.0174   -99     1.91    2.13        5.24     6.95    8.81     9.48     
  J012329.39+011304.4    20.87247   1.2179     0.36   7.0       0.097   0.067   0.05    0.0177   -99     2.72    2.78        4.97     7.45    8.57     8.99     
  J012331.28+011047.9    20.88035   1.17999    0.32   41.8      0.095   0.066   0.049   0.0177   -99     3.13    3.79        5.23     7.71    8.03     8.65     
  J012340.12+004056.53   20.91745   0.68221    0.34   69.26     0.118   0.081   0.06    0.0334   4       5.46    3.97        13.16    18.03   19.05    10.02    
  J012354.74+001656.51   20.97832   0.28213    0.49   46.93     0.103   0.071   0.053   0.0183   6       2.17    3.35        6.58     8.97    10.29    9.35     
  J012356.36+001230.3    20.98487   0.20844    0.76   -119.65   0.101   0.07    0.052   0.008    -99     0.56    1.09        1.46     2.29    2.69     8.22     
  J012419.21-000304.8    21.08005   -0.05135   0.7    179.0     0.104   0.072   0.053   0.0173   -99     0.6     1.5         1.23     2.03    3.56     7.84     
  J012428.68+010819.24   21.11961   1.13859    0.88   55.0      0.105   0.072   0.054   0.0307   5       3.47    3.72        8.55     11.42   13.27    10.08    
  J012429.67-002210.5    21.12366   -0.36961   0.75   130.0     0.093   0.064   0.048   0.0176   -99     0.68    1.61        1.85     2.86    3.9      8.41     
  J012430.3-005319.8     21.12627   -0.88886   0.72   9.0       0.122   0.085   0.063   0.0172   -99     1.85    2.81        2.49     4.28    5.83     8.53     
  J012430.78+005003.48   21.12832   0.83426    0.57   49.83     0.098   0.068   0.05    0.0169   6       1.94    2.02        4.52     6.43    5.33     8.96     
  J012430.81+005003.1    21.12838   0.83421    0.57   -127.56   0.098   0.068   0.05    0.0169   -99     1.91    2.0         4.55     6.4     5.42     8.9      
  J012432.22-011156.1    21.13427   -1.19894   0.79   52.0      0.155   0.107   0.08    0.0168   -99     1.95    2.34        4.31     6.27    8.07     9.49     
  J012437.27-004647.6    21.1553    -0.77989   0.87   58.0      0.119   0.083   0.061   0.0175   -99     0.64    1.26        1.33     2.11    2.99     8.31     
  J012444.47+010252.3    21.18533   1.04787    0.82   70.0      0.098   0.067   0.05    0.0159   -99     0.64    1.31        0.66     1.68    1.41     7.13     
  J012448.92+005436.10   21.20405   0.9101     0.81   115.0     0.1     0.069   0.052   0.0331   3       4.1     5.65        13.65    21.84   32.09    10.74    
  J012454.93-010630.6    21.22891   -1.10853   0.92   59.0      0.129   0.089   0.066   0.0169   -99     1.61    2.06        1.85     3.54    5.17     8.73     
  J012455.21+001241.70   21.23027   0.2115     0.63   92.07     0.109   0.075   0.056   0.0285   5       5.24    4.24        10.84    14.17   13.78    9.84     
  J012502.94+002639.56   21.26232   0.44442    0.95   -25.9     0.101   0.07    0.052   0.0287   0       3.43    6.22        11.87    24.02   34.25    10.83    
  J012506.11-002431.6    21.27549   -0.40878   0.61   148.0     0.087   0.06    0.045   0.0163   -99     1.61    2.05        2.23     4.15    5.96     8.62     
  J012506.72-000807.3    21.27802   -0.13537   0.73   40.0      0.107   0.074   0.055   0.0174   -99     0.91    1.57        1.8      2.85    4.21     8.46     
  J012522.29-003839.4    21.3429    -0.6443    0.87   35.43     0.095   0.066   0.049   0.0178   -99     0.96    1.69        2.34     3.59    5.1      8.91     
  J012523.66-011141.18   21.34874   -1.19498   0.85   91.4      0.124   0.086   0.064   0.0176   -2      1.72    2.29        5.07     7.79    11.52    10.01    
  J012528.30+004411.67   21.3678    0.7366     0.75   49.73     0.108   0.075   0.056   0.0893   3       11.31   8.98        22.28    30.47   34.28    11.06    
  J012539.72+011041.05   21.41562   1.17792    0.81   -29.02    0.088   0.061   0.045   0.0195   4       2.74    2.49        6.29     11.64   10.02    9.76     
  J012557.59+005759.8    21.48998   0.96664    0.6    32.0      0.088   0.061   0.045   0.016    -99     1.01    1.64        1.63     2.77    2.53     7.69     
  J012602.50-011332.20   21.51058   -1.22571   0.83   70.0      0.12    0.083   0.062   0.018    -5      4.79    5.96        11.75    18.59   39.1     10.7     
  J012605.02+001857.8    21.52095   0.31606    0.31   82.0      0.118   0.082   0.061   0.0064   -99     1.7     1.81        2.28     4.22    2.76     7.4      
  J012623.75-005619.7    21.59898   -0.93883   0.84   50.0      0.1     0.069   0.051   0.0176   -99     1.82    2.3         4.19     6.72    8.83     9.53     
  J012635.01-010646.82   21.64599   -1.11311   0.69   129.37    0.114   0.079   0.058   0.0196   -2      3.18    4.27        8.28     13.44   22.45    10.35    
  J012642.27-010516.4    21.67616   -1.08789   0.69   113.0     0.111   0.077   0.057   0.0146   -99     1.51    1.79        2.71     4.62    6.45     8.96     
  J012646.61-003846.2    21.69421   -0.64619   0.75   34.0      0.104   0.072   0.053   0.0064   -99     0.62    1.14        1.45     2.27    2.5      7.94     
  J012658.86-010647.6    21.74527   -1.11324   0.94   87.0      0.112   0.077   0.058   0.0177   -99     0.75    1.23        1.57     2.41    5.01     8.63     
  J012703.55-001524      21.76482   -0.25669   0.6    45.0      0.09    0.062   0.046   0.0178   -99     2.35    2.6         3.77     6.16    7.47     9.02     
  J012706.6-010720.2     21.77751   -1.1223    0.91   155.0     0.111   0.077   0.057   0.0176   -99     2.42    3.03        4.41     7.45    10.04    9.59     
  J012714.97-003439.1    21.81241   -0.57753   0.44   18.76     0.09    0.062   0.046   0.0164   -99     1.67    1.93        2.93     4.78    4.59     8.38     
  J012721.01-001609.2    21.83755   -0.26924   0.55   175.0     0.09    0.062   0.046   0.0156   -99     1.16    1.85        1.77     3.24    3.42     7.91     
  J012735.57-005919.5    21.89822   -0.98877   0.94   130.0     0.101   0.07    0.052   0.0169   -99     1.25    1.78        2.92     4.91    6.86     9.31     
  J012743.00-010822.51   21.92924   -1.13966   0.72   124.98    0.109   0.075   0.056   0.0174   1       3.06    3.83        9.19     14.25   25.13    10.36    
  J012752.51-003015.5    21.9688    -0.50431   0.69   14.6      0.102   0.071   0.053   0.0165   -99     0.87    1.58        2.02     3.16    4.08     8.51     
  J012801.88-004009.5    22.00785   -0.66931   0.76   98.0      0.104   0.072   0.054   0.0168   -99     1.86    2.58        2.74     4.73    5.94     8.85     
  J012802.14-004418.01   22.00897   -0.7384    0.92   69.48     0.106   0.073   0.054   0.019    -3      2.47    3.15        6.74     12.42   20.74    10.32    
  J012830.30+000014.43   22.12634   0.00376    0.81   28.26     0.122   0.084   0.063   0.0263   5       3.69    4.35        8.97     11.43   14.71    10.15    
  J012837.43-000409.57   22.15607   -0.0694    0.85   117.3     0.115   0.079   0.059   0.0189   -5      0.89    1.46        3.68     5.36    8.85     9.97     
  J012858.64-005656.39   22.24445   -0.9491    0.73   85.0      0.091   0.063   0.047   0.0184   1       7.1     6.74        19.28    27.24   35.33    10.92    
  J012859.56-003342.96   22.24821   -0.56205   0.49   -27.77    0.096   0.067   0.049   0.0182   -2      5.53    5.59        19.33    29.86   40.79    11.02    
  J013008.88-004645.2    22.537     -0.77924   0.81   5.0       0.101   0.07    0.052   0.0179   -99     1.49    2.18        1.6      3.39    3.99     8.16     
  J013050.5-004459.4     22.71043   -0.74985   0.63   34.18     0.089   0.062   0.046   0.0172   -99     1.76    2.15        2.68     4.33    6.12     8.75     
  J013103.34+002550.3    22.76393   0.43066    0.69   73.0      0.076   0.053   0.039   0.0165   -99     1.1     1.64        1.06     2.34    2.0      7.45     
  J013108.91+003123.44   22.78744   0.52325    0.95   188.42    0.084   0.058   0.043   0.0773   5       6.94    7.75        18.21    30.4    31.51    10.65    
  J013122.92-004026.98   22.84564   -0.6744    0.42   -38.56    0.12    0.083   0.062   0.0157   1       1.6     2.2         5.8      7.62    11.36    9.6      
  J013127.62+010946.97   22.86515   1.16308    0.75   4.7       0.076   0.052   0.039   0.0779   -5      18.34   20.41       37.99    60.48   138.58   11.87    
  J013128-005603.4       22.86667   -0.93431   0.67   39.59     0.109   0.076   0.056   0.0179   -99     1.26    1.69        2.9      4.36    7.01     9.04     
  J013140.44-011056.9    22.91851   -1.18248   0.38   150.0     0.101   0.07    0.052   0.018    -99     1.8     2.08        2.37     4.33    4.02     8.01     
  J013148.09+003945.87   22.95049   0.66269    0.81   38.75     0.081   0.056   0.042   0.0432   5       7.52    6.78        14.15    17.95   20.65    10.24    
  J013154.64-004853.1    22.97771   -0.81476   0.48   162.0     0.117   0.081   0.06    0.0179   -99     1.38    2.18        3.85     5.75    8.31     9.03     
  J013205.37-004334.1    23.02241   -0.72614   0.48   19.08     0.121   0.084   0.062   0.0156   -99     1.21    1.65        2.06     3.34    2.86     7.81     
  J013225.45+005835.93   23.10603   0.97661    0.52   4.0       0.096   0.066   0.049   0.0266   2       2.55    2.46        6.94     9.62    10.9     9.9      
  J013242.54-010601.9    23.17727   -1.10055   0.8    167.0     0.101   0.07    0.052   0.0164   -99     0.92    1.62        2.09     3.45    3.91     8.49     
  J013301.98-004123.44   23.25846   -0.68979   0.66   116.12    0.117   0.081   0.06    0.0154   4       4.91    4.41        10.07    12.35   13.43    9.95     
  J013314.94-003813.04   23.31231   -0.63708   0.75   115.0     0.118   0.082   0.061   0.0514   -5      11.43   13.04       24.75    40.7    76.81    11.38    
  J013407.58-010254.2    23.5316    -1.04842   0.83   120.0     0.116   0.08    0.06    0.0161   -99     1.19    1.74        2.3      3.66    5.47     8.82     
  J013445.38-005941.67   23.68923   -0.99506   0.58   30.0      0.113   0.078   0.058   0.0443   -3      3.51    4.99        12.73    16.06   23.63    10.88    
  J013503.43-005427.61   23.76453   -0.90789   0.75   88.0      0.109   0.075   0.056   0.0797   -5      17.61   21.65       39.44    63.42   142.63   11.93    
  J013508.79+004303.6    23.78664   0.71769    0.65   32.86     0.101   0.07    0.052   0.0174   -99     0.74    1.57        2.11     3.47    3.67     8.34     
