# JID                    RA         DEC        q      PA        Ag      Ar      Ai      z        TType   Re      RhalfMass   R235_i   RH      R1       LOGMASS  
  J002515.13-010642.29   6.31335    -1.11181   1.0    0.0       0.079   0.055   0.041   0.0379   1       5.36    4.77        16.3     26.02   28.96    10.89    
  J002519.93+003130.9    6.33307    0.52527    0.77   -89.95    0.083   0.058   0.043   0.0141   -99     0.73    2.05        2.46     4.32    5.15     8.65     
  J002534.40+005048.67   6.39349    0.84652    0.88   74.79     0.077   0.053   0.04    0.0178   6       2.32    2.41        4.73     6.17    7.04     9.31     
  J002534.43+005048.2    6.39349    0.84674    0.93   80.0      0.077   0.053   0.04    0.0178   -99     2.31    2.34        4.59     6.04    6.84     9.3      
  J002537.70+000212.19   6.40716    0.03667    0.67   7.0       0.087   0.06    0.045   0.0424   -5      6.0     6.94        20.16    30.92   60.43    11.33    
  J002624.98+010111.8    6.60412    1.01995    0.63   15.0      0.085   0.059   0.044   0.0178   -99     5.43    4.54        6.91     12.72   12.87    9.35     
  J002632.94+010539.4    6.63728    1.09429    0.8    52.0      0.088   0.061   0.045   0.0177   -99     1.1     1.96        1.3      2.69    2.79     7.84     
  J002649.05+000217.29   6.70445    0.03807    0.86   40.0      0.074   0.051   0.038   0.0446   -3      3.5     5.02        11.5     18.68   31.96    10.88    
  J002703.83+002737.23   6.76625    0.4605     0.75   112.78    0.078   0.054   0.04    0.0604   4       6.62    5.84        15.99    21.07   23.24    10.66    
  J002749.73-011160.00   6.95726    -1.20011   0.35   35.5      0.075   0.052   0.039   0.013    6       6.3     5.07        10.32    15.57   12.11    9.08     
  J002753.85-005800.8    6.9744     -0.96689   0.84   130.0     0.066   0.046   0.034   0.0145   -99     0.56    1.44        1.74     2.66    3.02     8.41     
  J002757.59-000340.59   6.99003    -0.06134   0.92   -37.65    0.064   0.045   0.033   0.0461   3       4.11    5.26        11.84    18.49   36.95    10.83    
  J002819.30-001446.84   7.08044    -0.24659   0.94   30.0      0.064   0.044   0.033   0.0599   -5      6.63    8.84        20.58    31.14   73.19    11.53    
  J002820.53-001304.34   7.0855     -0.21807   0.65   138.0     0.065   0.045   0.033   0.0613   4       15.7    10.55       32.38    42.91   48.57    11.1     
  J002829.45+004651.67   7.12278    0.78086    0.82   90.0      0.076   0.052   0.039   0.0403   0       4.56    5.24        12.96    17.25   34.42    10.84    
  J002901.48+002102.96   7.25623    0.35076    0.9    113.0     0.078   0.054   0.04    0.0603   -5      8.46    11.85       21.52    36.79   82.24    11.4     
  J002904.72-010826.3    7.26969    -1.14064   0.52   6.0       0.06    0.042   0.031   0.0132   -99     0.97    1.06        1.11     2.31    1.42     7.08     
  J002916.81-010025.2    7.32005    -1.00703   0.38   85.0      0.064   0.044   0.033   0.0134   -99     2.01    4.29        3.8      6.59    7.13     8.38     
  J002928.42-001245.40   7.36854    -0.21272   0.79   23.0      0.076   0.052   0.039   0.0599   -5      14.1    15.5        30.03    49.51   126.97   11.71    
  J002932.87-010544.60   7.3871     -1.09582   0.49   60.0      0.065   0.045   0.033   0.0585   5       14.5    7.99        31.04    39.48   44.26    10.9     
  J002935.58-001406.67   7.39842    -0.23529   0.93   135.0     0.076   0.053   0.039   0.061    -5      8.12    10.71       20.56    32.77   73.01    11.42    
  J002938.37+002437.40   7.41007    0.41       0.77   119.88    0.087   0.06    0.045   0.0138   6       2.85    3.12        5.27     8.06    8.56     9.22     
  J002938.4+002436.9     7.41       0.41026    0.73   118.0     0.087   0.06    0.045   0.0138   -99     2.91    3.17        5.43     8.27    8.64     9.19     
  J002949.76-002746.9    7.45735    -0.46304   0.67   100.0     0.066   0.046   0.034   0.0139   -99     1.07    1.87        2.02     3.49    3.34     8.07     
  J003042.90-004807.94   7.67884    -0.80247   0.79   84.0      0.072   0.05    0.037   0.0601   1       5.4     7.66        13.87    27.48   35.26    10.75    
