# Post-processed data from Mosleh et al. 2020.
# Galaxies are selected in this file from the paper,
# with "Method 1" being preferred over "Method 2".
# Only galaxies with reliable efforts for either of
# those have been inclued, with around a 15%
# drop rate. These columns correspond to z, 10**logM*, 
# rM{I,II}, e_rM{I,II}, and a separate column provided
# to tell us if the galaxies were star forming or not.
# Data postprocessing by Josh Borrow on 20 Jan 2021.
# Column [],Redshift [],Stellar Mass [Solar_Mass],Half-Mass Radius [kpc],Half-Mass Radius Error [kpc],Star Forming []
1231,0.43,63095734448.019424,5.053,0.034,1
1232,0.45,30199517204.02019,1.971,0.035,1
1233,0.85,20417379446.695316,1.058,0.046,1
1234,0.76,6606934480.075964,1.771,0.044,1
1235,1.07,19498445997.580414,0.879,0.049,1
1236,0.75,147910838816.8207,4.053,0.044,0
1237,0.95,77624711662.86928,4.035,0.055,0
1238,0.53,58884365535.55884,2.191,0.038,0
1239,0.76,13803842646.028866,0.664,0.044,0
1240,1.15,12589254117.941662,6.232,0.526,1
1241,0.62,8511380382.023759,0.244,0.041,1
1242,0.9,12882495516.931322,6.409,0.047,1
1243,1.29,12589254117.941662,0.854,0.05,0
1244,0.73,40738027780.41122,1.09,0.044,0
1245,0.44,40738027780.41122,1.229,0.034,0
1246,0.67,11481536214.968842,1.306,0.042,0
1247,1.18,10471285480.508986,1.887,0.05,1
1248,0.73,8317637711.026709,1.047,0.044,1
1249,0.87,41686938347.03346,2.594,0.046,1
1250,1.27,31622776601.683792,5.77,0.05,1
1251,0.36,51286138399.13659,1.148,0.03,0
1252,1.26,8709635899.560797,4.905,0.224,1
1253,0.85,13489628825.916561,3.403,0.062,1
1254,0.44,35481338923.357605,2.048,0.034,1
1255,0.93,38018939632.05613,0.944,0.047,1
1256,0.95,8511380382.023759,2.326,0.047,1
1257,0.36,6918309709.189363,2.446,0.03,1
1258,0.95,37153522909.71728,1.329,0.047,0
1259,0.47,8511380382.023759,3.863,0.079,1
1260,0.91,33884415613.920204,0.892,0.047,0
1261,0.77,6309573444.801943,1.379,0.044,1
1262,0.97,22387211385.683376,0.334,0.048,0
1263,0.22,53703179637.02533,4.479,0.021,1
1264,0.89,6606934480.075964,4.709,0.699,0
1265,0.73,14791083881.682072,2.181,0.044,1
1266,1.24,100000000000.0,8.981,0.564,0
1267,0.73,8511380382.023759,1.57,0.044,1
1268,1.11,28183829312.644493,1.475,0.111,0
1269,0.77,11481536214.968842,2.491,0.044,1
1270,0.27,9772372209.558111,1.639,0.025,1
1271,0.36,25118864315.09582,3.775,0.03,1
1272,0.75,22908676527.6777,3.084,0.044,1
1273,1.03,41686938347.03346,2.13,0.048,1
1274,1.21,75857757502.91852,6.629,0.144,1
1275,0.17,22908676527.6777,2.036,0.018,0
1276,0.97,12022644346.174131,0.382,0.048,0
1277,0.88,10232929922.807537,2.928,0.046,1
1278,0.74,22387211385.683376,1.71,0.044,1
1279,0.28,44668359215.09635,4.179,0.025,0
1280,0.69,16218100973.58933,0.725,0.043,0
1281,0.95,10000000000.0,1.994,0.047,1
1282,1.0,6309573444.801943,2.981,0.052,1
1283,0.36,25703957827.68865,1.208,0.03,0
1284,1.09,31622776601.683792,1.078,0.049,0
1285,0.73,40738027780.41122,2.704,0.044,1
1286,0.36,26915348039.26914,1.208,0.03,0
1287,0.92,13489628825.916561,1.742,0.047,1
1288,0.87,61659500186.148094,1.714,0.046,0
1289,1.3,6606934480.075964,1.358,0.05,1
1290,1.07,6456542290.346562,0.976,0.049,1
1291,0.95,35481338923.357605,2.754,0.047,1
1292,0.47,48977881936.84457,4.075,0.035,1
1293,1.24,42657951880.15934,2.301,0.05,1
1294,0.22,14454397707.45928,2.41,0.021,0
1295,0.97,6309573444.801943,1.957,0.048,1
1296,0.44,26915348039.26914,1.673,0.034,1
1297,1.25,138038426460.28867,6.059,0.05,0
1298,1.28,38904514499.42805,1.607,0.05,1
1299,1.25,12022644346.174131,3.155,0.064,1
1300,0.85,12589254117.941662,1.609,0.046,1
1301,0.76,37153522909.71728,1.063,0.044,0
1302,0.73,89125093813.3744,5.016,0.048,0
1303,1.27,6918309709.189363,1.906,0.05,1
1304,0.5,15488166189.124796,2.382,0.037,1
1305,0.6,7762471166.286927,1.967,0.04,0
1306,1.05,11748975549.395304,7.049,0.156,1
1307,0.95,20417379446.695316,2.326,0.047,1
1308,0.73,21379620895.022324,4.449,0.044,1
1309,0.53,48977881936.84457,1.058,0.038,0
1310,0.36,15848931924.611109,1.42,0.03,1
1311,0.48,44668359215.09635,1.004,0.036,0
1312,0.78,125892541179.41661,5.586,0.068,1
1313,0.93,46773514128.71981,1.227,0.047,0
1314,0.95,38018939632.05613,1.092,0.047,1
1315,1.23,7079457843.841373,1.299,0.05,1
1316,0.71,26915348039.26914,2.244,0.043,1
1317,0.47,70794578438.41373,2.091,0.035,0
1318,0.94,19498445997.580414,4.166,0.047,1
1319,0.33,66069344800.75964,1.712,0.029,1
1320,0.93,12882495516.931322,6.656,0.236,1
1321,0.69,8709635899.560797,1.322,0.043,1
1322,0.86,11220184543.019653,1.385,0.046,0
1323,0.46,24547089156.850334,1.225,0.035,1
1324,0.75,61659500186.148094,1.101,0.044,0
1325,0.87,8709635899.560797,3.381,0.046,1
1326,0.93,21379620895.022324,1.983,0.047,1
1327,0.8,33113112148.259075,1.488,0.045,1
1328,0.85,20417379446.695316,2.483,0.046,1
1329,0.73,6760829753.919819,2.399,0.044,1
1330,0.33,38018939632.05613,3.224,0.029,1
1331,1.11,12589254117.941662,10.126,2.253,1
1332,1.01,8128305161.640995,2.41,0.048,1
1333,1.09,7079457843.841373,1.959,0.049,1
1334,0.37,25703957827.68865,3.719,0.031,1
1335,1.2,29512092266.663902,3.011,0.026,1
1336,0.94,20417379446.695316,2.415,0.068,0
1337,0.73,6760829753.919819,1.919,0.044,1
1338,0.22,45708818961.48752,2.027,0.014,1
1339,0.73,36307805477.01018,1.178,0.044,0
1340,0.71,11481536214.968842,2.761,0.043,1
1341,0.63,21877616239.495518,11.532,0.423,1
1342,0.74,15488166189.124796,1.184,0.044,1
1343,0.83,16982436524.61746,1.552,0.046,0
1344,0.85,30199517204.02019,0.644,0.046,0
1345,0.85,13182567385.564047,0.966,0.046,0
1346,0.6,123026877081.23811,2.609,0.04,0
1347,0.83,8912509381.33744,1.141,0.046,0
1348,0.69,38904514499.42805,1.536,0.043,1
1349,0.73,8128305161.640995,0.741,0.044,1
1350,1.0,72443596007.49892,1.346,0.048,0
1351,0.68,12589254117.941662,1.611,0.042,1
1352,0.95,12589254117.941662,1.757,0.047,1
1353,1.01,36307805477.01018,2.795,0.048,1
1354,1.01,15135612484.362072,1.542,0.048,1
1355,0.84,117489755493.95303,4.856,0.065,0
1356,0.44,30199517204.02019,1.707,0.034,1
1357,0.6,100000000000.0,1.766,0.04,1
1358,0.48,112201845430.19653,3.406,0.036,1
1359,0.79,6760829753.919819,2.199,0.045,1
1360,0.72,18197008586.099827,2.907,0.043,1
1361,0.94,52480746024.97734,1.515,0.047,1
1362,0.63,9549925860.214369,1.272,0.041,1
1363,0.37,85113803820.2376,4.979,0.031,1
1364,1.2,66069344800.75964,1.444,0.05,0
1365,1.26,8709635899.560797,1.855,0.05,1
1366,0.73,29512092266.663902,1.178,0.044,0
1367,0.83,20417379446.695316,2.008,0.046,1
1368,0.6,114815362149.6884,2.007,0.04,0
1369,0.22,15488166189.124796,1.77,0.021,0
1370,0.8,28183829312.644493,1.172,0.045,0
1371,0.61,8912509381.33744,2.791,0.04,1
1372,0.85,69183097091.89363,3.403,0.046,1
1373,0.91,16218100973.58933,2.909,0.047,1
1374,1.14,6456542290.346562,2.519,0.059,1
1375,0.89,23442288153.19918,1.072,0.047,0
1376,0.93,34673685045.2531,0.472,0.047,0
1377,1.01,77624711662.86928,1.446,0.048,1
1378,0.67,35481338923.357605,1.096,0.042,1
1379,1.05,11748975549.395304,3.792,0.05,1
1380,1.16,29512092266.663902,1.387,0.05,0
1381,0.9,11220184543.019653,2.245,0.047,1
1382,0.87,48977881936.84457,1.667,0.046,1
1383,1.12,33884415613.920204,0.739,0.049,0
1384,0.82,12302687708.123812,2.818,0.045,0
1385,1.17,35481338923.357605,9.772,0.216,1
1386,0.67,60255958607.435684,3.034,0.042,0
1387,0.38,12022644346.174131,0.813,0.031,0
1388,0.75,7413102413.009162,0.573,0.044,1
1389,1.13,14125375446.227554,0.247,0.049,0
1390,1.15,25118864315.09582,1.434,0.049,1
1391,1.1,13803842646.028866,2.246,0.015,1
1392,0.6,11748975549.395304,0.602,0.04,0
1393,1.08,7413102413.009162,2.787,0.049,1
1394,0.98,6456542290.346562,1.053,0.048,1
1395,0.78,14454397707.45928,2.815,0.045,1
1396,0.85,19952623149.688828,1.517,0.046,1
1397,0.76,7413102413.009162,0.531,0.044,0
1398,0.73,39810717055.34969,2.093,0.044,1
1399,0.95,77624711662.86928,2.279,0.047,1
1400,0.93,27542287033.381634,0.803,0.047,0
1401,0.94,30902954325.13592,3.314,0.047,1
1402,0.44,15488166189.124796,8.091,0.034,1
1403,0.85,64565422903.46562,1.655,0.046,1
1404,1.26,37153522909.71728,1.504,0.05,1
1405,0.93,7079457843.841373,3.116,0.049,1
1406,0.72,165958690743.75632,11.627,0.043,1
1407,0.48,23442288153.19918,2.581,0.036,1
1408,1.27,48977881936.84457,13.345,0.805,1
1409,0.48,15848931924.611109,0.825,0.036,0
1410,0.77,6760829753.919819,0.667,0.044,0
1411,1.2,19952623149.688828,0.797,0.05,0
1412,1.29,10000000000.0,1.96,0.05,1
1413,1.04,16982436524.61746,2.135,0.049,1
1414,0.72,22908676527.6777,2.603,0.043,1
1415,1.29,16982436524.61746,4.624,0.334,1
1416,0.95,30902954325.13592,1.424,0.047,1
1417,0.69,13803842646.028866,1.322,0.043,1
1418,1.01,37153522909.71728,0.916,0.048,1
1419,0.98,13803842646.028866,2.967,0.234,0
1420,1.11,64565422903.46562,1.229,0.049,0
1421,0.6,7413102413.009162,3.011,0.04,1
1422,1.03,40738027780.41122,3.244,0.048,1
1423,1.2,12589254117.941662,1.046,0.05,1
1424,0.22,14125375446.227554,1.365,0.021,0
1425,0.26,7762471166.286927,1.16,0.024,1
1426,0.68,13489628825.916561,0.297,0.042,0
1427,1.21,15848931924.611109,2.094,0.05,1
1428,1.1,30902954325.13592,0.834,0.049,0
1429,1.22,13489628825.916561,2.046,0.05,1
1430,1.12,43651583224.016655,1.772,0.049,1
1431,1.08,19054607179.632442,4.01,0.088,1
1432,0.27,12882495516.931322,0.472,0.025,1
1433,0.9,8709635899.560797,2.713,0.049,1
1434,0.76,45708818961.48752,1.992,0.044,1
1435,0.22,35481338923.357605,2.431,0.021,1
1436,1.28,7079457843.841373,2.712,0.05,1
1437,1.24,15848931924.611109,3.852,0.05,1
1438,1.22,7762471166.286927,1.747,0.094,0
1439,0.93,7943282347.242822,3.069,0.052,1
1440,1.28,10715193052.376049,2.762,0.099,1
1441,1.24,12882495516.931322,2.601,0.05,1
1442,0.53,21877616239.495518,0.756,0.038,0
1443,0.66,26915348039.26914,1.005,0.042,0
1444,0.98,31622776601.683792,6.747,0.048,1
1445,0.63,9772372209.558111,0.862,0.041,0
1446,0.23,7943282347.242822,0.794,0.022,0
1447,0.98,26302679918.953815,7.369,0.641,1
1448,0.34,75857757502.91852,2.445,0.029,0
1449,0.7,15135612484.362072,2.231,0.044,1
1450,0.45,10232929922.807537,1.522,0.035,1
1451,0.69,19498445997.580414,1.45,0.043,0
1452,0.92,39810717055.34969,2.636,0.047,1
1453,0.9,17378008287.493763,4.163,0.077,1
1454,0.73,67608297539.19819,2.05,0.044,0
1455,1.25,72443596007.49892,3.205,0.05,1
1456,0.41,6760829753.919819,0.982,0.033,1
1457,1.2,17378008287.493763,3.735,0.05,1
1458,1.24,54954087385.76248,1.1,0.05,1
1459,0.72,13489628825.916561,1.735,0.043,1
1460,0.73,28840315031.266117,1.134,0.044,0
1461,1.3,20892961308.54041,1.107,0.05,1
1462,1.28,10715193052.376049,2.36,0.399,0
1463,0.22,12302687708.123812,0.555,0.021,0
1464,0.71,10964781961.43183,1.64,0.043,1
1465,0.25,51286138399.13659,3.733,0.023,0
1466,0.38,31622776601.683792,0.75,0.031,0
1467,1.07,8912509381.33744,3.416,0.049,1
1468,0.85,6760829753.919819,4.828,0.626,1
1469,0.22,6918309709.189363,1.898,0.022,0
1470,0.69,45708818961.48752,2.645,0.043,1
1471,0.73,13182567385.564047,2.486,0.044,1
1472,1.19,6456542290.346562,4.874,0.141,1
1473,0.69,22387211385.683376,2.176,0.043,1
1474,0.37,40738027780.41122,5.44,0.063,1
1475,1.2,11748975549.395304,4.432,0.356,1
1476,1.25,16218100973.58933,3.806,0.412,0
1477,0.22,24547089156.850334,1.898,0.021,0
1478,1.21,8709635899.560797,1.645,0.05,1
1479,1.15,6309573444.801943,1.385,0.054,0
1480,0.93,117489755493.95303,1.841,0.047,1
1481,1.23,12882495516.931322,3.244,0.019,1
1482,0.95,6606934480.075964,3.608,0.092,1
1483,0.74,64565422903.46562,0.833,0.044,0
1484,0.68,169824365246.1746,2.459,0.042,0
1485,0.68,81283051616.40996,1.23,0.042,0
1486,1.27,42657951880.15934,1.656,0.05,1
1487,1.26,35481338923.357605,0.865,0.047,1
1488,1.25,46773514128.71981,1.702,0.075,0
1489,0.35,20892961308.54041,0.949,0.03,0
1490,1.26,25703957827.68865,3.308,0.1,1
1491,0.92,12022644346.174131,2.683,0.05,1
1492,0.68,12302687708.123812,1.866,0.042,1
1493,1.15,13182567385.564047,1.385,0.049,1
1494,1.27,8128305161.640995,4.415,0.05,1
1495,0.38,107151930523.76048,6.032,0.031,0
1496,0.35,10471285480.508986,2.847,0.03,1
1497,0.27,26915348039.26914,3.402,0.025,1
1498,1.11,20417379446.695316,2.31,0.049,1
1499,0.9,36307805477.01018,1.263,0.047,0
1500,0.62,7762471166.286927,0.978,0.041,1
1501,1.25,52480746024.97734,1.803,0.058,0
1502,0.85,30902954325.13592,1.38,0.046,1
1503,1.3,11220184543.019653,1.308,0.05,1
1504,1.13,7413102413.009162,1.923,0.049,1
1505,1.26,34673685045.2531,0.852,0.05,0
1506,0.53,44668359215.09635,2.154,0.038,1
1507,1.27,13182567385.564047,5.218,0.207,1
1508,1.29,51286138399.13659,1.759,0.05,1
1509,1.29,33884415613.920204,6.634,0.05,1
1510,0.91,25703957827.68865,2.722,0.047,1
1511,0.89,10000000000.0,1.399,0.047,1
1512,1.14,89125093813.3744,4.099,0.151,1
1513,1.26,6918309709.189363,2.757,0.05,1
1514,0.61,26302679918.953815,1.699,0.04,1
1515,1.26,97723722095.58112,1.353,0.05,0
1516,1.21,12589254117.941662,2.454,0.166,1
1517,0.52,8912509381.33744,1.684,0.037,1
1518,0.23,9120108393.559114,1.213,0.022,0
1519,0.73,22908676527.6777,1.003,0.044,1
1520,1.29,21379620895.022324,0.704,0.05,0
1521,0.38,6309573444.801943,1.5,0.031,1
1522,0.53,38018939632.05613,3.741,0.058,1
1523,0.35,112201845430.19653,2.491,0.03,1
1524,0.95,7244359600.749891,4.463,0.125,1
1525,1.13,91201083935.59116,2.564,0.049,1
1526,0.89,12589254117.941662,2.471,0.156,0
1527,0.23,12302687708.123812,2.096,0.022,1
1528,1.07,22387211385.683376,5.613,0.089,1
1529,0.76,13489628825.916561,3.365,0.044,1
1530,0.94,14791083881.682072,1.184,0.047,1
1531,1.0,6760829753.919819,1.587,0.048,1
1532,1.26,13489628825.916561,6.366,0.214,1
1533,0.35,24547089156.850334,1.453,0.03,0
1534,0.89,14791083881.682072,0.606,0.047,0
1535,0.89,25118864315.09582,6.202,0.105,1
1536,0.52,12882495516.931322,3.367,0.037,1
1537,0.89,102329299228.07536,4.709,0.057,1
1538,0.91,128824955169.31323,3.426,0.047,1
1539,0.91,13182567385.564047,3.285,0.047,1
1540,0.88,9120108393.559114,4.601,0.087,1
1541,0.35,8709635899.560797,1.275,0.03,0
1542,0.61,10232929922.807537,1.901,0.04,1
1543,0.87,112201845430.19653,4.446,0.051,1
1544,0.88,8317637711.026709,2.277,0.046,1
1545,0.69,70794578438.41373,2.176,0.043,0
1546,0.63,11748975549.395304,2.914,0.041,1
1547,0.56,8709635899.560797,0.893,0.039,0
1548,0.9,16982436524.61746,1.965,0.047,1
1549,0.52,43651583224.016655,1.01,0.037,0
1550,0.39,24547089156.850334,3.272,0.043,1
1551,0.87,11481536214.968842,2.825,0.046,1
1552,0.76,12022644346.174131,0.664,0.044,1
1553,1.0,27542287033.381634,1.827,0.048,0
1554,0.22,25703957827.68865,1.109,0.021,1
1555,1.08,57543993733.71567,2.054,0.054,1
1556,0.93,10232929922.807537,2.785,0.047,1
1557,0.83,8709635899.560797,1.415,0.058,0
1558,1.29,30199517204.02019,2.061,0.05,1
1559,0.84,12882495516.931322,2.336,0.046,1
1560,1.3,46773514128.71981,3.622,0.108,1
1561,0.94,24547089156.850334,0.758,0.047,1
1562,0.91,6309573444.801943,0.985,0.047,1
1563,1.3,7585775750.291851,10.185,1.1,1
1564,0.88,7244359600.749891,2.602,0.046,1
1565,0.93,23988329190.194946,1.983,0.047,1
1566,0.44,25703957827.68865,0.819,0.034,0
1567,0.83,12589254117.941662,0.593,0.046,0
1568,0.84,6760829753.919819,1.054,0.046,0
1569,0.95,6309573444.801943,1.519,0.047,0
1570,0.91,17782794100.38923,8.25,0.231,1
1571,0.9,60255958607.435684,2.386,0.047,0
1572,0.53,6918309709.189363,1.549,0.038,1
1573,0.22,10232929922.807537,1.664,0.021,0
1574,0.73,12589254117.941662,1.745,0.044,1
1575,1.28,41686938347.03346,1.004,0.05,0
1576,0.72,29512092266.663902,4.599,0.043,0
1577,0.7,16595869074.375631,1.673,0.043,0
1578,0.92,16982436524.61746,4.613,0.047,1
1579,0.9,29512092266.663902,1.871,0.047,1
1580,0.23,11220184543.019653,1.787,0.022,1
1581,0.93,16982436524.61746,1.605,0.047,1
1582,0.9,54954087385.76248,2.76,0.056,0
1583,0.83,40738027780.41122,4.062,0.093,0
1584,0.85,15135612484.362072,1.15,0.046,0
1585,0.93,7244359600.749891,3.116,0.047,1
1586,0.93,12882495516.931322,2.549,0.047,0
1587,0.93,29512092266.663902,2.03,0.047,1
1588,0.9,21379620895.022324,1.731,0.047,0
1589,0.61,14791083881.682072,4.207,0.07,1
1590,0.26,32359365692.96281,1.425,0.024,1
1591,0.88,7585775750.291851,6.134,0.216,1
1592,0.87,17782794100.38923,1.436,0.046,1
1593,0.72,12022644346.174131,2.646,0.043,1
1594,0.66,13182567385.564047,12.553,0.385,1
1595,1.29,7943282347.242822,5.529,0.291,1
1596,0.88,17782794100.38923,2.835,0.046,1
1597,0.76,7585775750.291851,2.811,0.063,1
1598,0.84,9772372209.558111,2.016,0.046,1
1599,1.01,22387211385.683376,2.265,0.048,1
1600,1.01,6309573444.801943,2.313,0.053,1
1601,0.5,10471285480.508986,2.969,0.037,1
1602,0.84,6606934480.075964,1.145,0.046,1
1603,0.72,6760829753.919819,1.562,0.043,1
1604,1.03,60255958607.435684,1.646,0.048,1
1605,0.88,7585775750.291851,3.114,0.061,1
1606,0.93,66069344800.75964,0.33,0.047,0
1607,0.23,42657951880.15934,2.758,0.022,0
1608,1.3,8317637711.026709,0.755,0.05,0
1609,0.73,87096358995.60797,3.053,0.044,0
1610,0.42,16218100973.58933,0.93,0.033,0
1611,0.73,53703179637.02533,4.274,0.044,1
1612,0.87,79432823472.42822,1.992,0.046,0
1613,0.71,8912509381.33744,1.036,0.043,0
1614,0.71,9549925860.214369,1.553,0.043,1
1615,0.74,6456542290.346562,2.411,0.044,1
1616,0.69,23988329190.194946,2.346,0.043,1
1617,1.01,10232929922.807537,1.253,0.048,1
1618,0.94,19498445997.580414,1.657,0.047,0
1619,0.95,8128305161.640995,1.899,0.081,0
1620,1.01,58884365535.55884,1.783,0.048,1
1621,0.71,89125093813.3744,1.338,0.043,0
1622,0.75,6760829753.919819,1.939,0.044,1
1623,0.88,7079457843.841373,4.136,0.094,1
1624,0.35,38018939632.05613,0.979,0.03,1
1625,0.93,40738027780.41122,3.021,0.047,1
1626,1.23,8912509381.33744,3.558,0.173,1
1627,0.85,46773514128.71981,1.012,0.046,0
1628,0.66,138038426460.28867,2.806,0.042,1
1629,1.21,17378008287.493763,2.543,0.05,1
1630,0.87,25703957827.68865,2.871,0.046,1
1631,0.73,21379620895.022324,3.009,0.044,1
1632,0.27,28840315031.266117,1.887,0.025,1
1633,0.73,40738027780.41122,1.483,0.044,1
1634,1.25,28183829312.644493,1.102,0.05,0
1635,0.9,117489755493.95303,8.841,0.047,0
1636,0.73,16982436524.61746,1.788,0.044,1
1637,0.85,43651583224.016655,1.058,0.046,1
1638,0.97,15848931924.611109,1.671,0.048,1
1639,0.22,20892961308.54041,1.685,0.021,1
1640,0.74,28183829312.644493,5.305,0.344,1
1641,0.88,34673685045.2531,1.534,0.046,0
1642,1.21,26302679918.953815,0.698,0.05,1
1643,0.54,7079457843.841373,3.052,0.038,1
1644,0.88,9549925860.214369,0.279,0.046,0
1645,1.26,46773514128.71981,2.155,0.05,1
1646,1.11,85113803820.2376,3.392,0.049,1
1647,0.68,11481536214.968842,0.382,0.042,0
1648,0.52,36307805477.01018,4.19,0.08,1
1649,0.91,6760829753.919819,2.346,0.047,1
1650,0.75,38904514499.42805,0.925,0.044,0
1651,0.9,8128305161.640995,2.058,0.047,1
1652,0.86,10715193052.376049,2.194,0.026,1
1653,1.17,7585775750.291851,3.274,0.183,1
1654,1.17,41686938347.03346,1.686,0.05,1
1655,0.72,8511380382.023759,1.085,0.043,1
1656,1.1,34673685045.2531,0.687,0.049,0
1657,1.22,48977881936.84457,1.497,0.051,0
1658,0.21,6918309709.189363,1.029,0.021,0
1659,0.36,12302687708.123812,3.926,0.03,1
1660,0.76,15135612484.362072,1.328,0.044,1
1661,1.15,7943282347.242822,2.523,0.049,1
1662,1.24,22908676527.6777,3.001,0.05,1
1663,0.93,54954087385.76248,4.202,0.047,1
1664,0.88,7244359600.749891,2.742,0.046,1
1665,0.66,30902954325.13592,1.424,0.042,0
1666,1.2,10232929922.807537,0.697,0.05,0
1667,0.34,7585775750.291851,0.524,0.029,1
1668,0.9,93325430079.69925,2.76,0.047,0
1669,0.83,6456542290.346562,12.55,0.665,1
1670,1.0,15488166189.124796,3.462,0.048,1
1671,1.04,7413102413.009162,0.97,0.049,1
1672,0.51,6606934480.075964,0.963,0.037,1
1673,0.64,30902954325.13592,3.058,0.041,1
1674,1.08,100000000000.0,4.107,0.049,0
1675,1.17,14125375446.227554,0.198,0.05,0
1676,1.12,15488166189.124796,1.428,0.049,1
1677,0.42,102329299228.07536,3.687,0.033,1
1678,0.9,6456542290.346562,9.215,0.401,1
1679,1.07,10000000000.0,11.909,0.617,1
1680,1.03,8128305161.640995,2.663,0.048,1
1681,0.9,67608297539.19819,2.9,0.047,0
1682,0.91,35481338923.357605,2.862,0.047,1
1683,1.2,7585775750.291851,4.98,0.208,1
1684,0.93,12022644346.174131,2.502,0.047,1
1685,0.73,12589254117.941662,1.352,0.044,0
1686,0.69,9549925860.214369,0.213,0.043,0
1687,1.16,29512092266.663902,3.368,0.084,1
1688,1.01,32359365692.96281,0.723,0.048,1
1689,0.73,16982436524.61746,1.396,0.044,0
1690,0.83,38904514499.42805,2.236,0.046,0
1691,0.5,22387211385.683376,0.953,0.037,0
1692,0.71,20417379446.695316,1.855,0.06,0
1693,0.47,6606934480.075964,4.828,0.04,1
1694,0.33,14791083881.682072,0.799,0.029,0
1695,0.75,7244359600.749891,2.027,0.044,1
1696,1.19,8912509381.33744,3.233,0.072,1
1697,0.51,12302687708.123812,2.148,0.037,1
1698,0.93,6456542290.346562,5.193,0.151,1
1699,0.64,12882495516.931322,1.405,0.041,1
1700,0.91,6760829753.919819,9.854,0.607,1
1701,0.98,8912509381.33744,2.249,0.409,0
1702,0.78,30902954325.13592,0.089,0.045,0
1703,0.68,27542287033.381634,0.678,0.042,0
1704,0.73,107151930523.76048,8.156,0.047,0
1705,0.93,11220184543.019653,2.124,0.047,1
1706,0.71,42657951880.15934,1.381,0.043,0
1707,0.73,66069344800.75964,3.279,0.144,0
1708,1.01,9332543007.969925,5.254,0.167,1
1709,0.98,10471285480.508986,4.259,0.048,1
1710,1.25,19952623149.688828,1.302,0.05,1
1711,1.18,13489628825.916561,2.831,0.05,1
1712,0.73,34673685045.2531,1.221,0.044,0
1713,1.15,12022644346.174131,1.583,0.049,1
1714,0.51,42657951880.15934,1.148,0.037,0
1715,1.17,6309573444.801943,2.48,0.05,1
1716,0.88,18197008586.099827,0.883,0.046,1
1717,0.74,6606934480.075964,2.762,0.098,1
1718,1.13,13803842646.028866,6.115,0.946,1
1719,1.19,6456542290.346562,2.557,0.274,1
1720,1.2,87096358995.60797,0.946,0.05,1
1721,0.41,11748975549.395304,0.72,0.033,1
1722,0.51,63095734448.019424,2.778,0.037,0
1723,0.86,44668359215.09635,6.415,0.114,1
1724,0.46,10715193052.376049,1.646,0.035,1
1725,1.29,6918309709.189363,3.669,0.31,1
1726,0.97,120226443461.74132,6.157,0.083,0
1727,1.28,128824955169.31323,3.867,0.137,0
1728,0.93,38904514499.42805,4.721,0.122,1
1729,0.84,10471285480.508986,1.878,0.046,1
1730,0.51,91201083935.59116,1.037,0.037,0
1731,0.69,43651583224.016655,0.683,0.043,1
1732,0.73,69183097091.89363,2.006,0.044,0
1733,1.25,15488166189.124796,1.602,0.05,0
1734,0.92,6456542290.346562,4.989,0.477,1
1735,0.87,77624711662.86928,3.751,0.056,0
1736,1.23,16218100973.58933,1.099,0.05,0
1737,0.69,9332543007.969925,0.256,0.043,0
1738,1.18,28840315031.266117,3.725,0.18,1
1739,1.25,13182567385.564047,0.851,0.05,1
1740,0.67,10964781961.43183,0.126,0.042,0
1741,0.88,23988329190.194946,1.534,0.046,0
1742,0.66,9332543007.969925,0.419,0.042,0
1743,1.24,36307805477.01018,1.501,0.05,0
1744,1.0,13182567385.564047,3.751,0.048,1
1745,0.96,11220184543.019653,0.524,0.048,0
1746,0.73,16982436524.61746,2.573,0.044,1
1747,0.72,31622776601.683792,1.649,0.043,1
1748,0.63,6456542290.346562,4.504,0.277,1
1749,0.79,24547089156.850334,3.052,0.045,1
1750,0.64,22387211385.683376,1.405,0.041,1
1751,0.29,28183829312.644493,1.28,0.026,0
1752,1.18,10715193052.376049,2.285,0.05,1
1753,0.73,18197008586.099827,1.919,0.044,1
1754,1.29,26302679918.953815,6.554,0.578,1
1755,1.18,7244359600.749891,7.599,0.548,1
1756,0.6,19952623149.688828,1.325,0.04,1
1757,1.22,79432823472.42822,2.396,0.05,1
1758,1.31,45708818961.48752,14.096,0.406,1
1759,0.99,20417379446.695316,0.48,0.048,0
1760,1.31,141253754462.27554,2.215,0.05,1
1761,1.18,6918309709.189363,0.695,0.05,1
1762,1.13,97723722095.58112,2.17,0.049,1
1763,0.5,24547089156.850334,3.372,0.063,1
1764,1.24,25703957827.68865,0.85,0.05,1
1765,1.81,85113803820.2376,0.912,0.051,0
1766,1.95,33113112148.259075,2.167,0.05,1
1767,1.62,28183829312.644493,4.324,0.072,1
1768,0.98,61659500186.148094,1.962,0.048,1
1769,0.71,41686938347.03346,4.099,0.043,1
1770,1.03,7244359600.749891,1.84,0.048,1
1771,1.35,30902954325.13592,1.111,0.05,1
1772,0.96,7244359600.749891,3.57,0.058,1
1773,2.0,12589254117.941662,0.854,0.05,1
1774,1.0,38904514499.42805,2.645,0.048,1
1775,1.71,8912509381.33744,1.677,0.051,1
1776,1.94,52480746024.97734,2.017,0.05,1
1777,1.58,6918309709.189363,3.612,0.338,1
1778,1.34,7413102413.009162,6.811,0.182,1
1779,0.95,12882495516.931322,2.421,0.097,1
1780,1.21,38904514499.42805,0.598,0.05,0
