# Post-processed data from Mosleh et al. 2020.
# Galaxies are selected in this file from the paper,
# with "Method 1" being preferred over "Method 2".
# Only galaxies with reliable efforts for either of
# those have been inclued, with around a 15%
# drop rate. These columns correspond to z, 10**logM*, 
# rM{I,II}, e_rM{I,II}, and a separate column provided
# to tell us if the galaxies were star forming or not.
# Data postprocessing by Josh Borrow on 20 Jan 2021.
# Column [],Redshift [],Stellar Mass [Solar_Mass],Half-Mass Radius [kpc],Half-Mass Radius Error [kpc],Star Forming []
122,1.01,10232929922.807537,1.211,0.019,1
123,1.06,48977881936.84457,2.241,0.052,1
124,0.82,11748975549.395304,2.273,0.045,1
125,0.9,58884365535.55884,2.807,0.047,1
126,0.46,22387211385.683376,1.471,0.035,0
127,1.17,13803842646.028866,2.728,0.05,1
128,1.27,7079457843.841373,2.308,0.055,1
129,1.26,11220184543.019653,3.458,0.08,1
130,1.12,112201845430.19653,15.68,0.451,0
131,0.68,26302679918.953815,0.89,0.042,0
132,0.57,53703179637.02533,5.681,0.039,1
133,0.51,11748975549.395304,1.704,0.037,1
134,1.16,239883291901.9495,2.13,0.05,0
135,1.27,47863009232.2638,1.204,0.05,1
136,0.95,29512092266.663902,0.807,0.047,1
137,0.54,102329299228.07536,5.569,0.038,1
138,1.09,12302687708.123812,3.184,0.049,1
139,0.74,23442288153.19918,1.184,0.044,0
140,0.68,11220184543.019653,1.145,0.042,0
141,1.26,7079457843.841373,4.912,0.108,1
142,1.13,39810717055.34969,3.49,0.112,1
143,0.75,29512092266.663902,2.555,0.044,1
144,1.18,43651583224.016655,0.695,0.05,0
145,1.2,23442288153.19918,8.017,0.339,1
146,1.17,9332543007.969925,4.712,0.225,1
147,0.38,95499258602.14369,5.282,0.031,0
148,0.98,66069344800.75964,1.196,0.048,1
149,1.22,13182567385.564047,1.847,0.05,1
150,1.01,18620871366.628654,0.482,0.048,1
151,0.72,9120108393.559114,0.781,0.043,0
152,0.44,25118864315.09582,2.321,0.034,0
153,0.71,89125093813.3744,2.33,0.043,1
154,1.1,29512092266.663902,2.257,0.049,1
155,0.81,11220184543.019653,2.309,0.045,1
156,0.41,10964781961.43183,5.305,0.033,1
157,1.0,63095734448.019424,1.539,0.048,1
158,0.98,23988329190.194946,1.723,0.048,1
159,0.71,8317637711.026709,2.416,0.043,1
160,1.07,9332543007.969925,3.416,0.053,1
161,1.12,7079457843.841373,2.314,0.049,1
162,1.01,32359365692.96281,1.35,0.048,1
