HRS no HIdef: galaxyname  logMHIMstar  Met_12+log(O/H)   logMHIMstar_low  Met_low  logMHIMstar_high  Met_high
HRS247     -0.7399998      8.6800003      0.1188350      0.0500000      0.1406569      0.0500000
HRS252      0.0180006      8.3800001      0.1349964      0.0500000      0.1523562      0.0500000
HRS259      0.2030001      8.5400000      0.1902366      0.0500000      0.2037333      0.0500000
HRS262      0.1529999      8.4899998      0.1137430      0.0500000      0.1188349      0.0500000
HRS267     -0.3570004      8.4499998      0.1836486      0.0500000      0.1583870      0.0500000
HRS268     -0.4870005      8.5699997      0.1464450      0.0500000      0.1464450      0.0500000
HRS271     -0.5120001      8.4899998      0.1707949      0.0500000      0.1406568      0.0500000
HRS281     -0.6619997      8.6099997      0.1294694      0.0500000      0.1523562      0.0500000
HRS283      0.0480003      8.6499996      0.1523562      0.0500000      0.1645342      0.0500000
HRS284     -1.0520000      8.6800003      0.1836486      0.0500000      0.1746041      0.0500000
HRS287     -0.6120005      8.6199999      0.1523562      0.0500000      0.1349964      0.0500000
HRS290     -0.7720003      8.5900002      0.1645342      0.0500000      0.1240797      0.0500000
HRS293     -0.2620001      8.5100002      0.1464449      0.0500000      0.1583870      0.0500000
HRS295     -0.8400002      8.8599997      0.1406569      0.0500000      0.1294694      0.0500000
HRS297     -0.5000000      8.5400000      0.1219642      0.0500000      0.1523562      0.0500000
HRS298     -0.2720003      8.5699997      0.1294693      0.0500000      0.1406569      0.0500000
HRS299     -0.6820002      8.6400003      0.1088126      0.0500000      0.1583870      0.0500000
HRS301     -0.4120007      8.5799999      0.1707950      0.0500000      0.1240797      0.0500000
HRS309      0.2830000      8.3900003      0.1969323      0.0500000      0.2106387      0.0500000
HRS314      0.1080008      8.4099998      0.1088126      0.0500000      0.1969323      0.0500000
HRS318     -0.2620001      8.4399996      0.1645342      0.0500000      0.1406569      0.0500000
HRS319     -0.1220007      8.4899998      0.2176478      0.0500000      0.0798713      0.0500000
HRS320     -0.0469999      8.5299997      0.1464449      0.0500000      0.1294693      0.0500000
HRS321     -0.6020002      8.5799999      0.1294694      0.0500000      0.1707950      0.0500000
HRS33     -0.3319998      8.7200003      0.1240797      0.0500000      0.1349963      0.0500000
HRS39     -0.0269995      8.5699997      0.1464449      0.0500000      0.1583870      0.0500000
HRS44     -0.3670006      8.3599997      0.1294693      0.0500000      0.1406568      0.0500000
HRS47      0.0279999      8.4700003      0.1836486      0.0500000      0.1464449      0.0500000
HRS62      0.4379997      8.4200001      0.1188350      0.0500000      0.1294694      0.0500000
HRS66     -0.5420008      8.6099997      0.1349964      0.0500000      0.1272957      0.0500000
HRS68     -1.0419998      8.2700005      0.1406569      0.0500000      0.1583870      0.0500000
HRS118      0.4379997      8.2799997      0.1137430      0.0500000      0.1523562      0.0500000
HRS139     -0.3020000      8.5000000      0.1771671      0.0500000      0.1137430      0.0500000
HRS158      0.1480007      8.3100004      0.1836486      0.0500000      0.1464449      0.0500000
HRS198     -0.5570002      8.5500002      0.1464449      0.0500000      0.1645342      0.0500000
HRS238      0.5929995      8.3599997      0.2467121      0.0500000      0.2542349      0.0500000
HRS266      0.6629992      8.5500002      0.1523563      0.0500000      0.1464449      0.0500000
HRS302     -0.0869999      8.4600000      0.1523562      0.0500000      0.1523562      0.0500000
