# Stellar mass / Halo mass - Stellar mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 5.00
# Number of particles: 1504^3
# Halo mass: M_vir (BN98)
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_star [M_sun]    M_star / M_vir (16th per) [-]     M_star / M_vir (50th per) [-]    M_star / M_vir (84th per) [-]    Counts [-]
1.000000e+06    3.244124e-04    6.728319e-04    7.705529e-04    14
1.584893e+06    4.246999e-04    6.775218e-04    9.442492e-04    350
2.511886e+06    8.581185e-04    1.350724e-03    1.953898e-03    538
3.981072e+06    1.107591e-03    1.789855e-03    2.724643e-03    826
6.309573e+06    1.438438e-03    2.369489e-03    3.684983e-03    1350
1.000000e+07    1.469503e-03    2.599944e-03    4.274675e-03    805
1.584893e+07    1.410583e-03    2.274659e-03    3.922817e-03    418
2.511886e+07    1.302870e-03    2.105234e-03    3.364385e-03    199
3.981072e+07    1.463574e-03    2.247217e-03    3.150929e-03    93
6.309573e+07    1.559689e-03    2.226569e-03    3.040455e-03    64
1.000000e+08    1.812927e-03    2.553995e-03    3.335075e-03    40
1.584893e+08    2.106635e-03    2.541022e-03    3.540083e-03    24
2.511886e+08    2.435472e-03    2.954725e-03    4.250338e-03    20
3.981072e+08    2.520538e-03    3.179539e-03    3.698510e-03    13
6.309573e+08    3.778971e-03    4.088290e-03    4.397608e-03    2
1.000000e+09    4.435261e-03    5.755987e-03    8.069399e-03    3
