# Stellar mass / Halo mass - Stellar mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 4.00
# Number of particles: 1504^3
# Halo mass: M_200_crit
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_star [M_sun]    M_star / M_200 (16th per) [-]     M_star / M_200 (50th per) [-]    M_star / M_200 (84th per) [-]    Counts [-]
1.000000e+06    2.351138e-04    5.810282e-04    9.369324e-04    4533
1.584893e+06    3.460138e-04    5.825962e-04    8.445821e-04    15697
2.511886e+06    7.277988e-04    1.215099e-03    1.798217e-03    33069
3.981072e+06    1.029955e-03    1.748291e-03    2.714746e-03    60573
6.309573e+06    1.307216e-03    2.265193e-03    3.635568e-03    79369
1.000000e+07    1.360563e-03    2.401330e-03    4.069653e-03    53841
1.584893e+07    1.333144e-03    2.200073e-03    3.672165e-03    30714
2.511886e+07    1.353323e-03    2.129334e-03    3.261399e-03    17088
3.981072e+07    1.448560e-03    2.175221e-03    3.201064e-03    10214
6.309573e+07    1.596468e-03    2.303050e-03    3.281876e-03    6588
1.000000e+08    1.795503e-03    2.598523e-03    3.616003e-03    4279
1.584893e+08    2.087358e-03    2.966847e-03    4.020720e-03    2850
2.511886e+08    2.423687e-03    3.346670e-03    4.560190e-03    2001
3.981072e+08    2.875761e-03    3.916676e-03    5.190935e-03    1328
6.309573e+08    3.329384e-03    4.405703e-03    5.971102e-03    886
1.000000e+09    3.962250e-03    5.308137e-03    7.110262e-03    658
1.584893e+09    4.643212e-03    6.325159e-03    8.478859e-03    428
2.511886e+09    5.268803e-03    7.555759e-03    1.041313e-02    280
3.981072e+09    6.724618e-03    1.052422e-02    1.509555e-02    145
6.309573e+09    1.002113e-02    1.400241e-02    1.808038e-02    144
1.000000e+10    1.027843e-02    1.537562e-02    2.145285e-02    110
1.584893e+10    1.089859e-02    1.598091e-02    2.481742e-02    81
2.511886e+10    1.291854e-02    1.979968e-02    2.570066e-02    27
3.981072e+10    1.736881e-02    2.179388e-02    3.017942e-02    20
6.309573e+10    1.915865e-02    2.676486e-02    2.949934e-02    3
