# Stellar mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 0.20
# Number of particles: 1504^3
# Halo mass: M_vir (BN98)
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_vir [M_sun]    M_star (16th per) [M_sun]     M_star (50th per) [M_sun]    M_star (84th per) [M_sun]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    2
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    271
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    1747
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    4528
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    22260
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    186973
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    414953
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    307371
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    227541
1.584893e+09    0.000000e+00    0.000000e+00    0.000000e+00    161419
2.511886e+09    0.000000e+00    0.000000e+00    0.000000e+00    113766
3.981072e+09    0.000000e+00    0.000000e+00    3.312975e+06    79797
6.309573e+09    0.000000e+00    2.290324e+06    8.506279e+06    56720
1.000000e+10    0.000000e+00    7.780478e+06    1.860643e+07    37500
1.584893e+10    7.376501e+06    1.796256e+07    3.576837e+07    23868
2.511886e+10    1.756896e+07    3.627722e+07    6.760356e+07    15562
3.981072e+10    3.976791e+07    7.594851e+07    1.399705e+08    10257
6.309573e+10    8.720125e+07    1.607760e+08    3.034787e+08    6768
1.000000e+11    1.918628e+08    3.568132e+08    7.101536e+08    4421
1.584893e+11    4.387191e+08    8.528500e+08    1.601763e+09    3042
2.511886e+11    1.062309e+09    2.001492e+09    3.414353e+09    2096
3.981072e+11    2.417535e+09    4.288868e+09    6.778343e+09    1364
6.309573e+11    5.452959e+09    9.139484e+09    1.328117e+10    935
1.000000e+12    1.103027e+10    1.662890e+10    2.328118e+10    633
1.584893e+12    1.550993e+10    2.590700e+10    3.593147e+10    420
2.511886e+12    2.510913e+10    3.818459e+10    5.325622e+10    293
3.981072e+12    3.193366e+10    5.137785e+10    6.986402e+10    203
6.309573e+12    4.568806e+10    6.996006e+10    8.841934e+10    145
1.000000e+13    6.027733e+10    8.804454e+10    1.124905e+11    81
1.584893e+13    8.124384e+10    1.023394e+11    1.327751e+11    62
2.511886e+13    1.045573e+11    1.430897e+11    1.842712e+11    33
3.981072e+13    1.247749e+11    1.800864e+11    2.327582e+11    22
6.309573e+13    1.510765e+11    1.945833e+11    2.690770e+11    13
1.000000e+14    2.525381e+11    2.971660e+11    3.096088e+11    5
1.584893e+14    3.705479e+11    3.705479e+11    3.705479e+11    1
2.511886e+14    2.810022e+11    4.143772e+11    4.400368e+11    4
3.981072e+14    2.614556e+11    2.614556e+11    2.614556e+11    1
