# Stellar mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 1.00
# Number of particles: 1504^3
# Halo mass: M_vir (BN98)
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_vir [M_sun]    M_star (16th per) [M_sun]     M_star (50th per) [M_sun]    M_star (84th per) [M_sun]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    5
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    530
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    3419
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    9192
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    42016
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    236888
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    486241
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    367622
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    268882
1.584893e+09    0.000000e+00    0.000000e+00    0.000000e+00    187809
2.511886e+09    0.000000e+00    0.000000e+00    0.000000e+00    129841
3.981072e+09    0.000000e+00    0.000000e+00    5.526348e+06    97283
6.309573e+09    0.000000e+00    4.684720e+06    1.092322e+07    65339
1.000000e+10    4.302065e+06    1.076875e+07    2.175591e+07    40562
1.584893e+10    9.641163e+06    2.170640e+07    4.082244e+07    25633
2.511886e+10    2.069065e+07    4.326081e+07    7.807575e+07    16888
3.981072e+10    4.309464e+07    8.776833e+07    1.575892e+08    11064
6.309573e+10    9.267746e+07    1.864798e+08    3.352009e+08    7184
1.000000e+11    2.050688e+08    4.189588e+08    7.375510e+08    4841
1.584893e+11    4.334496e+08    9.123986e+08    1.585086e+09    3333
2.511886e+11    1.022502e+09    1.992333e+09    3.431851e+09    2235
3.981072e+11    2.192118e+09    4.351436e+09    6.964379e+09    1444
6.309573e+11    4.743444e+09    8.503548e+09    1.369759e+10    966
1.000000e+12    8.877467e+09    1.620077e+10    2.301664e+10    676
1.584893e+12    1.444823e+10    2.406624e+10    3.713778e+10    428
2.511886e+12    2.193519e+10    3.684704e+10    5.260761e+10    288
3.981072e+12    3.190948e+10    4.732542e+10    6.425990e+10    174
6.309573e+12    3.470966e+10    5.647132e+10    8.719945e+10    103
1.000000e+13    5.574202e+10    8.318558e+10    1.137878e+11    60
1.584893e+13    7.942234e+10    1.131741e+11    1.570409e+11    34
2.511886e+13    8.820856e+10    1.299441e+11    1.920161e+11    21
3.981072e+13    8.871251e+10    1.322745e+11    2.006455e+11    13
6.309573e+13    1.276812e+11    1.352312e+11    1.427811e+11    2
1.000000e+14    3.302505e+11    3.364111e+11    3.425717e+11    2
1.584893e+14    1.648601e+11    1.648601e+11    1.648601e+11    1
