# Stellar mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 0.20
# Number of particles: 1504^3
# Halo mass: M_200_crit
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_200 [M_sun]    M_star (16th per) [M_sun]     M_star (50th per) [M_sun]    M_star (84th per) [M_sun]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    3
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    774
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    4113
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    9719
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    46681
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    261851
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    385452
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    287448
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    212502
1.584893e+09    0.000000e+00    0.000000e+00    0.000000e+00    150035
2.511886e+09    0.000000e+00    0.000000e+00    0.000000e+00    104787
3.981072e+09    0.000000e+00    0.000000e+00    4.402755e+06    73939
6.309573e+09    0.000000e+00    4.166453e+06    1.055840e+07    51323
1.000000e+10    3.195821e+06    1.005019e+07    2.215952e+07    33264
1.584893e+10    9.818789e+06    2.184300e+07    4.207313e+07    21130
2.511886e+10    2.268784e+07    4.444149e+07    8.107393e+07    13957
3.981072e+10    5.203506e+07    9.469654e+07    1.698714e+08    9175
6.309573e+10    1.137865e+08    2.037345e+08    3.802930e+08    5995
1.000000e+11    2.531763e+08    4.592367e+08    8.809725e+08    3937
1.584893e+11    5.940487e+08    1.118328e+09    2.009065e+09    2772
2.511886e+11    1.474399e+09    2.529820e+09    4.097307e+09    1863
3.981072e+11    3.364719e+09    5.566934e+09    8.379100e+09    1172
6.309573e+11    7.066789e+09    1.122113e+10    1.562413e+10    841
1.000000e+12    1.364079e+10    1.959936e+10    2.687203e+10    588
1.584893e+12    1.974329e+10    3.058540e+10    4.133108e+10    371
2.511886e+12    2.919662e+10    4.345225e+10    6.039277e+10    255
3.981072e+12    3.627636e+10    5.437499e+10    7.595107e+10    172
6.309573e+12    5.679762e+10    7.600742e+10    9.862701e+10    117
1.000000e+13    6.804840e+10    9.182350e+10    1.156000e+11    78
1.584893e+13    8.702656e+10    1.143450e+11    1.512195e+11    45
2.511886e+13    1.166292e+11    1.654960e+11    1.957853e+11    30
3.981072e+13    1.275125e+11    1.945833e+11    2.358576e+11    17
6.309573e+13    1.916037e+11    2.622028e+11    2.894868e+11    8
1.000000e+14    2.410463e+11    2.877804e+11    3.048814e+11    4
1.584893e+14    3.784783e+11    3.953303e+11    4.298814e+11    3
2.511886e+14    2.167415e+11    3.044464e+11    3.921513e+11    2
3.981072e+14    2.614556e+11    2.614556e+11    2.614556e+11    1
