# Stellar mass / Halo mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 5.00
# Number of particles: 1504^3
# Halo mass: M_200_crit
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_200 [M_sun]    M_star / M_200 (16th per) [-]     M_star / M_200 (50th per) [-]    M_star / M_200 (84th per) [-]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    2
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    46
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    259
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    830
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    2217
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    5795
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    7467
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    5324
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    4404
1.584893e+09    0.000000e+00    0.000000e+00    2.486232e-03    3691
2.511886e+09    0.000000e+00    1.248148e-03    2.931884e-03    2199
3.981072e+09    2.841988e-04    1.561090e-03    2.795980e-03    996
6.309573e+09    7.339577e-04    1.591930e-03    2.695332e-03    559
1.000000e+10    9.036867e-04    1.667922e-03    2.585719e-03    301
1.584893e+10    8.556786e-04    1.688031e-03    2.577962e-03    138
2.511886e+10    1.171441e-03    1.903989e-03    3.037383e-03    99
3.981072e+10    1.246898e-03    2.203219e-03    3.614611e-03    56
6.309573e+10    9.353026e-04    2.351001e-03    3.419608e-03    34
1.000000e+11    2.117093e-03    2.840760e-03    3.936848e-03    21
1.584893e+11    1.939898e-03    2.212980e-03    3.523799e-03    9
2.511886e+11    3.936643e-03    3.936643e-03    3.936643e-03    1
