# Stellar mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 0.50
# Number of particles: 1504^3
# Halo mass: M_200_crit
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_200 [M_sun]    M_star (16th per) [M_sun]     M_star (50th per) [M_sun]    M_star (84th per) [M_sun]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    8
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    809
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    4710
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    11045
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    48713
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    265999
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    422035
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    316461
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    233706
1.584893e+09    0.000000e+00    0.000000e+00    0.000000e+00    163899
2.511886e+09    0.000000e+00    0.000000e+00    0.000000e+00    113478
3.981072e+09    0.000000e+00    0.000000e+00    5.322787e+06    81424
6.309573e+09    0.000000e+00    4.369162e+06    1.106283e+07    55661
1.000000e+10    4.211168e+06    1.083900e+07    2.278399e+07    35672
1.584893e+10    1.054137e+07    2.286800e+07    4.305295e+07    22328
2.511886e+10    2.321837e+07    4.637958e+07    8.420885e+07    15080
3.981072e+10    5.288840e+07    9.792543e+07    1.749281e+08    9642
6.309573e+10    1.107764e+08    2.081028e+08    3.851234e+08    6357
1.000000e+11    2.519903e+08    4.821714e+08    8.910374e+08    4243
1.584893e+11    5.838560e+08    1.102984e+09    1.930733e+09    2986
2.511886e+11    1.395626e+09    2.518646e+09    4.030623e+09    1964
3.981072e+11    3.012430e+09    5.416452e+09    8.500836e+09    1288
6.309573e+11    6.783921e+09    1.077410e+10    1.598520e+10    909
1.000000e+12    1.263098e+10    1.933806e+10    2.677128e+10    578
1.584893e+12    1.764722e+10    2.934147e+10    4.088416e+10    415
2.511886e+12    2.750760e+10    4.333944e+10    5.914847e+10    253
3.981072e+12    3.653121e+10    5.389974e+10    7.426193e+10    188
6.309573e+12    4.523875e+10    6.809857e+10    9.782267e+10    103
1.000000e+13    5.705535e+10    8.465530e+10    1.137098e+11    76
1.584893e+13    9.241381e+10    1.194147e+11    1.641128e+11    52
2.511886e+13    9.129955e+10    1.615742e+11    1.936095e+11    21
3.981072e+13    1.446464e+11    2.008724e+11    2.202253e+11    11
6.309573e+13    1.797565e+11    2.344524e+11    2.939501e+11    11
1.000000e+14    1.511571e+11    2.217986e+11    2.924400e+11    2
1.584893e+14    2.639584e+11    4.020323e+11    4.287651e+11    3
2.511886e+14    1.194684e+11    1.942771e+11    2.690858e+11    2
