# Stellar mass / Halo mass - Stellar mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 1.00
# Number of particles: 1504^3
# Halo mass: M_200_crit
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_star [M_sun]    M_star / M_200 (16th per) [-]     M_star / M_200 (50th per) [-]    M_star / M_200 (84th per) [-]    Counts [-]
1.000000e+06    2.280811e-04    4.207599e-04    1.356316e-03    5314
1.584893e+06    2.027063e-04    3.197719e-04    5.707718e-04    866
2.511886e+06    4.122346e-04    6.651993e-04    1.526926e-03    14670
3.981072e+06    6.016839e-04    9.812318e-04    1.975360e-03    40698
6.309573e+06    8.014589e-04    1.303659e-03    2.432578e-03    42519
1.000000e+07    9.391274e-04    1.497329e-03    2.584516e-03    30555
1.584893e+07    1.093906e-03    1.700438e-03    2.793366e-03    23858
2.511886e+07    1.283167e-03    1.968702e-03    3.128159e-03    18256
3.981072e+07    1.483838e-03    2.232642e-03    3.444141e-03    13572
6.309573e+07    1.741744e-03    2.528332e-03    3.739666e-03    9723
1.000000e+08    2.070203e-03    2.964459e-03    4.269757e-03    7022
1.584893e+08    2.444254e-03    3.466969e-03    4.875508e-03    5220
2.511886e+08    2.893755e-03    4.100976e-03    5.723271e-03    3809
3.981072e+08    3.484477e-03    4.879957e-03    6.683574e-03    3075
6.309573e+08    4.340664e-03    6.044619e-03    8.186990e-03    2352
1.000000e+09    5.230694e-03    7.180767e-03    9.853695e-03    1942
1.584893e+09    6.242565e-03    8.761771e-03    1.166350e-02    1600
2.511886e+09    7.645854e-03    1.067238e-02    1.375633e-02    1214
3.981072e+09    9.263381e-03    1.268377e-02    1.622932e-02    929
6.309573e+09    1.078767e-02    1.498448e-02    1.877528e-02    831
1.000000e+10    1.114541e-02    1.714522e-02    2.152019e-02    626
1.584893e+10    1.162764e-02    1.867037e-02    2.441537e-02    612
2.511886e+10    1.208232e-02    1.944104e-02    2.586266e-02    457
3.981072e+10    1.081019e-02    1.895288e-02    2.734801e-02    347
6.309573e+10    9.938381e-03    1.561632e-02    2.502713e-02    192
1.000000e+11    6.730560e-03    1.137100e-02    1.951335e-02    98
1.584893e+11    5.158673e-03    8.934163e-03    1.204731e-02    32
2.511886e+11    6.527191e-03    8.635867e-03    9.531173e-03    5
3.981072e+11    3.744102e-03    3.796213e-03    3.848323e-03    2
