# Stellar mass / Halo mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 2.00
# Number of particles: 1504^3
# Halo mass: M_vir (BN98)
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_vir [M_sun]    M_star / M_vir (16th per) [-]     M_star / M_vir (50th per) [-]    M_star / M_vir (84th per) [-]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    5
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    959
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    6715
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    18730
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    78775
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    318885
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    534806
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    405176
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    285365
1.584893e+09    0.000000e+00    0.000000e+00    0.000000e+00    188241
2.511886e+09    0.000000e+00    0.000000e+00    1.295149e-03    151624
3.981072e+09    0.000000e+00    3.860268e-04    1.780332e-03    118857
6.309573e+09    0.000000e+00    1.048884e-03    2.036255e-03    67776
1.000000e+10    5.335485e-04    1.275420e-03    2.289572e-03    40521
1.584893e+10    6.929779e-04    1.484500e-03    2.565531e-03    25493
2.511886e+10    8.486699e-04    1.754287e-03    2.997539e-03    16693
3.981072e+10    1.068627e-03    2.180439e-03    3.739023e-03    10625
6.309573e+10    1.371293e-03    2.797271e-03    4.810337e-03    7140
1.000000e+11    1.788653e-03    3.676390e-03    6.290716e-03    4765
1.584893e+11    2.430207e-03    4.902807e-03    8.284416e-03    3041
2.511886e+11    3.141493e-03    6.637192e-03    1.081706e-02    2024
3.981072e+11    4.491434e-03    8.210456e-03    1.410712e-02    1286
6.309573e+11    5.752473e-03    1.150632e-02    1.866208e-02    778
1.000000e+12    7.798735e-03    1.327929e-02    2.021936e-02    550
1.584893e+12    8.338518e-03    1.319434e-02    1.936465e-02    277
2.511886e+12    6.869477e-03    1.134017e-02    1.747083e-02    181
3.981072e+12    7.947297e-03    1.048476e-02    1.778019e-02    100
6.309573e+12    6.247114e-03    8.671972e-03    1.315932e-02    45
1.000000e+13    4.770893e-03    7.148340e-03    1.114381e-02    28
1.584893e+13    6.024014e-03    6.820695e-03    7.304547e-03    4
2.511886e+13    3.768788e-03    4.681932e-03    5.563839e-03    4
