# Stellar mass / Halo mass - Stellar mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 3.00
# Number of particles: 1504^3
# Halo mass: M_200_crit
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_star [M_sun]    M_star / M_200 (16th per) [-]     M_star / M_200 (50th per) [-]    M_star / M_200 (84th per) [-]    Counts [-]
1.000000e+06    2.077163e-04    5.099117e-04    8.378180e-04    6778
1.584893e+06    2.562258e-04    4.446629e-04    7.052574e-04    6714
2.511886e+06    5.911084e-04    1.000115e-03    1.536961e-03    26394
3.981072e+06    8.956752e-04    1.509823e-03    2.405722e-03    61129
6.309573e+06    1.108524e-03    1.907625e-03    3.109389e-03    62460
1.000000e+07    1.189480e-03    2.047475e-03    3.444825e-03    51538
1.584893e+07    1.231362e-03    2.018936e-03    3.257872e-03    32116
2.511886e+07    1.296536e-03    2.036412e-03    3.102856e-03    19726
3.981072e+07    1.404686e-03    2.153785e-03    3.160027e-03    12464
6.309573e+07    1.569922e-03    2.376189e-03    3.354347e-03    8290
1.000000e+08    1.812616e-03    2.654295e-03    3.682965e-03    5868
1.584893e+08    2.072024e-03    3.005221e-03    4.122970e-03    4051
2.511886e+08    2.404225e-03    3.541963e-03    4.781823e-03    2881
3.981072e+08    2.854800e-03    4.086914e-03    5.505622e-03    2082
6.309573e+08    3.371500e-03    4.834992e-03    6.528840e-03    1499
1.000000e+09    4.034372e-03    5.782641e-03    7.609135e-03    1168
1.584893e+09    4.604338e-03    6.600775e-03    8.913584e-03    771
2.511886e+09    5.472857e-03    7.932412e-03    1.058229e-02    585
3.981072e+09    6.522958e-03    9.285298e-03    1.230889e-02    353
6.309573e+09    7.979975e-03    1.216426e-02    1.743114e-02    286
1.000000e+10    9.990469e-03    1.468813e-02    2.066129e-02    301
1.584893e+10    9.920440e-03    1.420427e-02    2.089550e-02    183
2.511886e+10    9.882522e-03    1.631351e-02    2.495466e-02    96
3.981072e+10    9.858870e-03    1.573742e-02    2.186638e-02    56
6.309573e+10    9.183749e-03    1.903335e-02    2.543097e-02    15
1.000000e+11    1.880083e-02    1.961422e-02    2.042762e-02    2
