# Stellar mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 4.00
# Number of particles: 1504^3
# Halo mass: M_200_crit
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_200 [M_sun]    M_star (16th per) [M_sun]     M_star (50th per) [M_sun]    M_star (84th per) [M_sun]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    44
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    2712
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    15214
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    48280
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    148266
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    396491
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    514123
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    352494
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    262599
1.584893e+09    0.000000e+00    0.000000e+00    2.780176e+06    243818
2.511886e+09    0.000000e+00    0.000000e+00    6.330068e+06    168029
3.981072e+09    0.000000e+00    5.098382e+06    1.005564e+07    84058
6.309573e+09    3.000262e+06    8.925773e+06    1.576540e+07    45729
1.000000e+10    7.327899e+06    1.498366e+07    2.521438e+07    27225
1.584893e+10    1.297820e+07    2.486210e+07    4.168339e+07    16690
2.511886e+10    2.425281e+07    4.448922e+07    7.414475e+07    10443
3.981072e+10    4.668251e+07    8.179838e+07    1.385123e+08    6404
6.309573e+10    8.889565e+07    1.584272e+08    2.605845e+08    3766
1.000000e+11    1.769779e+08    3.118968e+08    5.003067e+08    2290
1.584893e+11    3.550008e+08    6.273056e+08    1.064468e+09    1331
2.511886e+11    7.652728e+08    1.321542e+09    2.237994e+09    778
3.981072e+11    1.605488e+09    2.707212e+09    6.199134e+09    408
6.309573e+11    3.410254e+09    7.034626e+09    1.124964e+10    187
1.000000e+12    8.190062e+09    1.278618e+10    2.017246e+10    93
1.584893e+12    1.340461e+10    1.973778e+10    3.904508e+10    40
2.511886e+12    2.119590e+10    3.094509e+10    4.705431e+10    15
3.981072e+12    2.184721e+10    3.755046e+10    5.834073e+10    3
