# Stellar mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 2.00
# Number of particles: 1504^3
# Halo mass: M_200_crit
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_200 [M_sun]    M_star (16th per) [M_sun]     M_star (50th per) [M_sun]    M_star (84th per) [M_sun]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    12
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    1571
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    10171
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    25947
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    100025
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    358544
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    517590
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    390741
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    272633
1.584893e+09    0.000000e+00    0.000000e+00    0.000000e+00    178825
2.511886e+09    0.000000e+00    0.000000e+00    3.808765e+06    149334
3.981072e+09    0.000000e+00    2.365580e+06    7.715356e+06    113391
6.309573e+09    0.000000e+00    7.003451e+06    1.385593e+07    63210
1.000000e+10    5.732930e+06    1.359696e+07    2.492217e+07    38015
1.584893e+10    1.167225e+07    2.516929e+07    4.427469e+07    24040
2.511886e+10    2.251158e+07    4.745559e+07    8.279291e+07    15667
3.981072e+10    4.572780e+07    9.345814e+07    1.635030e+08    10042
6.309573e+10    9.228178e+07    1.933248e+08    3.342892e+08    6764
1.000000e+11    1.918634e+08    3.978293e+08    6.959500e+08    4473
1.584893e+11    4.072522e+08    8.391325e+08    1.471054e+09    2850
2.511886e+11    8.430136e+08    1.771804e+09    3.011761e+09    1952
3.981072e+11    1.827142e+09    3.547123e+09    6.173711e+09    1191
6.309573e+11    3.791255e+09    7.997791e+09    1.300057e+10    753
1.000000e+12    8.208642e+09    1.425546e+10    2.151538e+10    516
1.584893e+12    1.299996e+10    2.191753e+10    3.241162e+10    254
2.511886e+12    1.631604e+10    2.928284e+10    4.425620e+10    172
3.981072e+12    2.967774e+10    4.418609e+10    7.617686e+10    88
6.309573e+12    3.815526e+10    5.479580e+10    8.073143e+10    40
1.000000e+13    4.815152e+10    7.069866e+10    1.126913e+11    25
1.584893e+13    8.977386e+10    1.029885e+11    1.283830e+11    4
2.511886e+13    8.992594e+10    1.156848e+11    1.577022e+11    4
