# Stellar mass / Halo mass - Stellar mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 2.00
# Number of particles: 1504^3
# Halo mass: M_200_crit
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_star [M_sun]    M_star / M_200 (16th per) [-]     M_star / M_200 (50th per) [-]    M_star / M_200 (84th per) [-]    Counts [-]
1.000000e+06    1.994994e-04    4.346987e-04    9.587278e-04    5526
1.584893e+06    2.402080e-04    3.937052e-04    6.180792e-04    3831
2.511886e+06    4.965515e-04    7.894056e-04    1.339373e-03    19329
3.981072e+06    7.390730e-04    1.194601e-03    2.000414e-03    50184
6.309573e+06    9.461879e-04    1.557433e-03    2.575078e-03    52466
1.000000e+07    1.071521e-03    1.773064e-03    2.928772e-03    44666
1.584893e+07    1.175987e-03    1.889635e-03    3.026816e-03    30632
2.511886e+07    1.308518e-03    2.050763e-03    3.119401e-03    20539
3.981072e+07    1.463953e-03    2.247209e-03    3.319218e-03    14102
6.309573e+07    1.652756e-03    2.499495e-03    3.542205e-03    9727
1.000000e+08    1.903128e-03    2.815023e-03    3.930837e-03    6977
1.584893e+08    2.226152e-03    3.276526e-03    4.592790e-03    4950
2.511886e+08    2.615659e-03    3.853160e-03    5.164912e-03    3832
3.981072e+08    3.187494e-03    4.593920e-03    6.124383e-03    2870
6.309573e+08    3.691338e-03    5.417206e-03    7.191983e-03    2169
1.000000e+09    4.571636e-03    6.634254e-03    8.673783e-03    1591
1.584893e+09    5.456221e-03    7.771757e-03    1.013030e-02    1369
2.511886e+09    6.307952e-03    9.030963e-03    1.183894e-02    1016
3.981072e+09    7.302727e-03    1.063437e-02    1.391215e-02    738
6.309573e+09    8.574558e-03    1.276353e-02    1.695580e-02    492
1.000000e+10    1.017323e-02    1.500315e-02    1.973139e-02    483
1.584893e+10    1.014293e-02    1.636666e-02    2.178457e-02    452
2.511886e+10    1.069431e-02    1.767271e-02    2.427331e-02    278
3.981072e+10    9.312316e-03    1.572557e-02    2.312164e-02    169
6.309573e+10    7.970171e-03    1.474962e-02    2.218729e-02    67
1.000000e+11    7.543626e-03    1.378455e-02    2.166865e-02    31
1.584893e+11    7.257723e-03    1.033396e-02    1.510131e-02    4
