# Stellar mass / Halo mass - Stellar mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 0.50
# Number of particles: 1504^3
# Halo mass: M_200_crit
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_star [M_sun]    M_star / M_200 (16th per) [-]     M_star / M_200 (50th per) [-]    M_star / M_200 (84th per) [-]    Counts [-]
1.000000e+06    2.157119e-04    4.630210e-04    1.901089e-03    4796
1.584893e+06    1.801138e-04    2.781096e-04    4.822139e-04    285
2.511886e+06    3.871096e-04    6.658634e-04    1.873163e-03    16002
3.981072e+06    5.517709e-04    9.073721e-04    2.056991e-03    29313
6.309573e+06    7.202756e-04    1.176077e-03    2.355546e-03    35314
1.000000e+07    8.697410e-04    1.368603e-03    2.472076e-03    24036
1.584893e+07    1.031046e-03    1.613865e-03    2.757867e-03    20488
2.511886e+07    1.242282e-03    1.902267e-03    3.171997e-03    16232
3.981072e+07    1.485076e-03    2.178393e-03    3.558917e-03    12487
6.309573e+07    1.729236e-03    2.456915e-03    3.847208e-03    8822
1.000000e+08    2.033298e-03    2.871600e-03    4.378637e-03    6724
1.584893e+08    2.458285e-03    3.384571e-03    4.923561e-03    4836
2.511886e+08    2.920273e-03    3.998966e-03    5.808075e-03    3565
3.981072e+08    3.586452e-03    4.902548e-03    7.205800e-03    2716
6.309573e+08    4.386474e-03    5.967005e-03    8.702826e-03    2257
1.000000e+09    5.579051e-03    7.472681e-03    1.062520e-02    1806
1.584893e+09    6.770937e-03    8.977106e-03    1.225429e-02    1509
2.511886e+09    8.290070e-03    1.098885e-02    1.484319e-02    1231
3.981072e+09    1.017183e-02    1.329357e-02    1.712288e-02    986
6.309573e+09    1.193873e-02    1.548409e-02    1.960333e-02    763
1.000000e+10    1.338510e-02    1.793764e-02    2.261196e-02    696
1.584893e+10    1.344616e-02    2.000634e-02    2.483493e-02    629
2.511886e+10    1.332161e-02    2.138281e-02    2.723658e-02    486
3.981072e+10    1.103975e-02    1.981516e-02    2.636433e-02    369
6.309573e+10    9.994332e-03    1.585076e-02    2.531744e-02    271
1.000000e+11    6.944824e-03    1.158189e-02    1.974357e-02    120
1.584893e+11    5.792611e-03    9.367252e-03    1.244798e-02    52
2.511886e+11    4.167614e-03    5.039616e-03    7.840394e-03    19
3.981072e+11    2.606185e-03    2.763316e-03    3.366134e-03    3
