# Stellar mass / Halo mass - Stellar mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 0.00
# Number of particles: 1504^3
# Halo mass: M_vir (BN98)
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_star [M_sun]    M_star / M_vir (16th per) [-]     M_star / M_vir (50th per) [-]    M_star / M_vir (84th per) [-]    Counts [-]
1.000000e+06    1.877575e-04    5.338892e-04    1.931829e-03    4077
1.584893e+06    1.741442e-04    2.433689e-04    5.125905e-04    61
2.511886e+06    3.355508e-04    6.220776e-04    1.906583e-03    19110
3.981072e+06    4.466876e-04    7.455966e-04    1.787860e-03    15284
6.309573e+06    5.701521e-04    9.366008e-04    1.990023e-03    27153
1.000000e+07    7.044355e-04    1.123115e-03    2.148259e-03    19163
1.584893e+07    8.486952e-04    1.332956e-03    2.403434e-03    16776
2.511886e+07    1.025403e-03    1.581331e-03    2.763007e-03    13967
3.981072e+07    1.235634e-03    1.844288e-03    3.237960e-03    10765
6.309573e+07    1.434605e-03    2.048499e-03    3.370720e-03    7584
1.000000e+08    1.691031e-03    2.391489e-03    3.868091e-03    5707
1.584893e+08    2.044134e-03    2.801239e-03    4.299694e-03    4321
2.511886e+08    2.490136e-03    3.383785e-03    5.345848e-03    3189
3.981072e+08    2.975461e-03    4.094332e-03    6.552328e-03    2394
6.309573e+08    3.679606e-03    5.045004e-03    8.328427e-03    1874
1.000000e+09    4.600667e-03    6.422558e-03    1.023084e-02    1593
1.584893e+09    5.786278e-03    7.951421e-03    1.189538e-02    1320
2.511886e+09    7.258101e-03    9.614692e-03    1.390438e-02    1148
3.981072e+09    8.918578e-03    1.175487e-02    1.578636e-02    943
6.309573e+09    1.050876e-02    1.335378e-02    1.743663e-02    737
1.000000e+10    1.126796e-02    1.541047e-02    2.012611e-02    588
1.584893e+10    1.210657e-02    1.680079e-02    2.192985e-02    599
2.511886e+10    1.125313e-02    1.803633e-02    2.296463e-02    449
3.981072e+10    9.619217e-03    1.604239e-02    2.205085e-02    352
6.309573e+10    8.835184e-03    1.417509e-02    2.148288e-02    259
1.000000e+11    6.028424e-03    9.973398e-03    1.524694e-02    161
1.584893e+11    3.785578e-03    6.402902e-03    9.566097e-03    65
2.511886e+11    2.636205e-03    3.998669e-03    5.727560e-03    23
3.981072e+11    1.180711e-03    1.664203e-03    2.851321e-03    6
