# Stellar mass / Halo mass - Stellar mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 3.00
# Number of particles: 1504^3
# Halo mass: M_vir (BN98)
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_star [M_sun]    M_star / M_vir (16th per) [-]     M_star / M_vir (50th per) [-]    M_star / M_vir (84th per) [-]    Counts [-]
1.000000e+06    1.958360e-04    4.790285e-04    7.956450e-04    6778
1.584893e+06    2.426216e-04    4.213737e-04    6.674729e-04    6714
2.511886e+06    5.566905e-04    9.426630e-04    1.455850e-03    26394
3.981072e+06    8.425912e-04    1.422355e-03    2.277343e-03    61129
6.309573e+06    1.042274e-03    1.795310e-03    2.926712e-03    62460
1.000000e+07    1.118544e-03    1.928206e-03    3.242685e-03    51538
1.584893e+07    1.157099e-03    1.899055e-03    3.072011e-03    32116
2.511886e+07    1.218151e-03    1.918176e-03    2.933096e-03    19726
3.981072e+07    1.322720e-03    2.027283e-03    2.985936e-03    12464
6.309573e+07    1.486646e-03    2.244223e-03    3.185257e-03    8290
1.000000e+08    1.709801e-03    2.509546e-03    3.488780e-03    5868
1.584893e+08    1.961664e-03    2.840710e-03    3.888780e-03    4051
2.511886e+08    2.281867e-03    3.340470e-03    4.543211e-03    2881
3.981072e+08    2.702150e-03    3.857496e-03    5.231628e-03    2082
6.309573e+08    3.222574e-03    4.567399e-03    6.178469e-03    1499
1.000000e+09    3.839777e-03    5.464684e-03    7.198184e-03    1168
1.584893e+09    4.405280e-03    6.271151e-03    8.453375e-03    771
2.511886e+09    5.236564e-03    7.468492e-03    1.003373e-02    585
3.981072e+09    6.286118e-03    8.836257e-03    1.169385e-02    353
6.309573e+09    7.619120e-03    1.153970e-02    1.645627e-02    286
1.000000e+10    9.440779e-03    1.400703e-02    1.955264e-02    301
1.584893e+10    9.445796e-03    1.374638e-02    1.988616e-02    183
2.511886e+10    9.363994e-03    1.523753e-02    2.370286e-02    96
3.981072e+10    9.406521e-03    1.500231e-02    2.078661e-02    56
6.309573e+10    8.834302e-03    1.815671e-02    2.395806e-02    15
1.000000e+11    1.777135e-02    1.863608e-02    1.950081e-02    2
