# Stellar mass / Halo mass - Stellar mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 0.50
# Number of particles: 1504^3
# Halo mass: M_vir (BN98)
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_star [M_sun]    M_star / M_vir (16th per) [-]     M_star / M_vir (50th per) [-]    M_star / M_vir (84th per) [-]    Counts [-]
1.000000e+06    1.961014e-04    4.246790e-04    1.733089e-03    4796
1.584893e+06    1.642183e-04    2.565594e-04    4.416132e-04    285
2.511886e+06    3.504753e-04    6.099903e-04    1.716789e-03    16002
3.981072e+06    4.977853e-04    8.250799e-04    1.873750e-03    29313
6.309573e+06    6.501095e-04    1.071640e-03    2.147417e-03    35314
1.000000e+07    7.854783e-04    1.244151e-03    2.253907e-03    24036
1.584893e+07    9.289847e-04    1.466762e-03    2.521395e-03    20488
2.511886e+07    1.121232e-03    1.735438e-03    2.894424e-03    16232
3.981072e+07    1.329649e-03    1.985123e-03    3.247208e-03    12487
6.309573e+07    1.555354e-03    2.241337e-03    3.502543e-03    8822
1.000000e+08    1.828273e-03    2.607321e-03    3.979353e-03    6724
1.584893e+08    2.188008e-03    3.071432e-03    4.502254e-03    4836
2.511886e+08    2.602260e-03    3.627326e-03    5.306433e-03    3565
3.981072e+08    3.204375e-03    4.443902e-03    6.579236e-03    2716
6.309573e+08    3.939223e-03    5.390168e-03    7.895698e-03    2257
1.000000e+09    4.934121e-03    6.743460e-03    9.605972e-03    1806
1.584893e+09    6.023033e-03    8.102597e-03    1.111142e-02    1509
2.511886e+09    7.326184e-03    9.995141e-03    1.356867e-02    1231
3.981072e+09    8.994755e-03    1.198852e-02    1.562640e-02    986
6.309573e+09    1.038651e-02    1.402586e-02    1.791255e-02    763
1.000000e+10    1.182860e-02    1.608735e-02    2.033568e-02    696
1.584893e+10    1.189313e-02    1.794507e-02    2.227328e-02    629
2.511886e+10    1.160696e-02    1.907892e-02    2.457489e-02    486
3.981072e+10    9.614331e-03    1.770349e-02    2.367196e-02    369
6.309573e+10    8.261689e-03    1.369989e-02    2.224891e-02    271
1.000000e+11    6.048233e-03    9.832850e-03    1.746794e-02    120
1.584893e+11    4.953778e-03    8.045749e-03    1.091437e-02    52
2.511886e+11    3.670385e-03    4.509458e-03    6.888878e-03    19
3.981072e+11    2.306218e-03    2.400466e-03    2.932900e-03    3
