# Stellar mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 3.00
# Number of particles: 1504^3
# Halo mass: M_vir (BN98)
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_vir [M_sun]    M_star (16th per) [M_sun]     M_star (50th per) [M_sun]    M_star (84th per) [M_sun]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    16
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    1453
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    9259
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    28553
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    110686
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    368792
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    550686
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    401719
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    265792
1.584893e+09    0.000000e+00    0.000000e+00    0.000000e+00    212382
2.511886e+09    0.000000e+00    0.000000e+00    4.822774e+06    189742
3.981072e+09    0.000000e+00    3.511282e+06    8.375910e+06    111520
6.309573e+09    0.000000e+00    7.309474e+06    1.381704e+07    59932
1.000000e+10    5.743621e+06    1.317803e+07    2.284429e+07    36047
1.584893e+10    1.110826e+07    2.269104e+07    3.901221e+07    22690
2.511886e+10    2.061581e+07    4.088569e+07    7.049481e+07    14312
3.981072e+10    4.040058e+07    7.825275e+07    1.331788e+08    9255
6.309573e+10    7.909554e+07    1.497408e+08    2.642286e+08    5884
1.000000e+11    1.588362e+08    2.996697e+08    5.332114e+08    3582
1.584893e+11    3.409181e+08    6.184532e+08    1.058395e+09    2378
2.511886e+11    6.862972e+08    1.268325e+09    2.186140e+09    1345
3.981072e+11    1.452888e+09    2.601094e+09    5.024159e+09    864
6.309573e+11    3.003651e+09    6.339162e+09    1.047132e+10    498
1.000000e+12    6.529438e+09    1.144825e+10    1.734126e+10    252
1.584893e+12    1.076330e+10    1.749155e+10    2.705320e+10    141
2.511886e+12    1.763393e+10    2.750559e+10    4.347824e+10    67
3.981072e+12    1.722855e+10    4.050894e+10    5.998118e+10    28
6.309573e+12    3.809722e+10    4.722507e+10    5.729031e+10    11
1.000000e+13    4.465514e+10    5.380280e+10    6.337396e+10    3
1.584893e+13    4.132706e+10    4.132706e+10    4.132706e+10    1
