# Stellar mass / Halo mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 0.00
# Number of particles: 1504^3
# Halo mass: M_vir (BN98)
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_vir [M_sun]    M_star / M_vir (16th per) [-]     M_star / M_vir (50th per) [-]    M_star / M_vir (84th per) [-]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    2
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    280
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    1628
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    3925
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    20688
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    185323
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    391456
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    287733
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    214270
1.584893e+09    0.000000e+00    0.000000e+00    0.000000e+00    152644
2.511886e+09    0.000000e+00    0.000000e+00    0.000000e+00    107607
3.981072e+09    0.000000e+00    0.000000e+00    7.392336e-04    75577
6.309573e+09    0.000000e+00    2.050630e-04    1.235245e-03    53898
1.000000e+10    0.000000e+00    7.404351e-04    1.727676e-03    36041
1.584893e+10    4.354703e-04    1.072018e-03    2.136783e-03    23178
2.511886e+10    6.922792e-04    1.383998e-03    2.522160e-03    15008
3.981072e+10    1.013498e-03    1.835399e-03    3.265501e-03    9889
6.309573e+10    1.430496e-03    2.495019e-03    4.407574e-03    6588
1.000000e+11    1.939127e-03    3.429590e-03    6.700107e-03    4300
1.584893e+11    2.894293e-03    5.132041e-03    9.596915e-03    2896
2.511886e+11    4.406713e-03    7.909242e-03    1.303273e-02    2038
3.981072e+11    6.683218e-03    1.072998e-02    1.572854e-02    1342
6.309573e+11    9.434788e-03    1.444658e-02    2.014105e-02    876
1.000000e+12    1.095387e-02    1.628584e-02    2.165161e-02    621
1.584893e+12    1.035347e-02    1.628505e-02    2.160909e-02    399
2.511886e+12    9.994077e-03    1.560257e-02    2.063087e-02    286
3.981072e+12    8.110133e-03    1.251382e-02    1.731775e-02    216
6.309573e+12    7.534087e-03    1.104761e-02    1.416467e-02    138
1.000000e+13    6.327268e-03    9.168609e-03    1.178675e-02    84
1.584893e+13    4.925693e-03    6.910530e-03    7.982281e-03    67
2.511886e+13    4.132833e-03    5.377127e-03    7.616788e-03    36
3.981072e+13    3.161429e-03    4.355139e-03    5.421874e-03    27
6.309573e+13    2.652376e-03    3.699547e-03    4.002609e-03    13
1.000000e+14    2.464165e-03    2.771816e-03    3.313164e-03    7
1.584893e+14    5.876145e-04    5.876145e-04    5.876145e-04    1
2.511886e+14    1.067273e-03    1.548267e-03    1.705939e-03    3
3.981072e+14    7.611282e-04    7.957461e-04    1.131621e-03    3
