# Stellar mass / Halo mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 0.00
# Number of particles: 1504^3
# Halo mass: M_200_crit
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_200 [M_sun]    M_star / M_200 (16th per) [-]     M_star / M_200 (50th per) [-]    M_star / M_200 (84th per) [-]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    7
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    803
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    4044
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    9204
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    47959
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    263489
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    359414
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    266964
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    198776
1.584893e+09    0.000000e+00    0.000000e+00    0.000000e+00    140756
2.511886e+09    0.000000e+00    0.000000e+00    0.000000e+00    98288
3.981072e+09    0.000000e+00    0.000000e+00    1.066837e-03    69164
6.309573e+09    0.000000e+00    5.747601e-04    1.577283e-03    48317
1.000000e+10    3.220358e-04    9.841361e-04    2.127481e-03    31677
1.584893e+10    6.393794e-04    1.370014e-03    2.570970e-03    20059
2.511886e+10    9.280525e-04    1.746614e-03    3.054917e-03    13330
3.981072e+10    1.387745e-03    2.385280e-03    4.076506e-03    8759
6.309573e+10    1.933398e-03    3.223923e-03    5.779677e-03    5708
1.000000e+11    2.738083e-03    4.564786e-03    8.697047e-03    3761
1.584893e+11    4.202757e-03    7.133809e-03    1.245657e-02    2591
2.511886e+11    6.272850e-03    1.045194e-02    1.633881e-02    1795
3.981072e+11    9.640482e-03    1.454512e-02    2.022270e-02    1130
6.309573e+11    1.238046e-02    1.819029e-02    2.433408e-02    780
1.000000e+12    1.336146e-02    1.964450e-02    2.569668e-02    547
1.584893e+12    1.385738e-02    1.999057e-02    2.546115e-02    339
2.511886e+12    1.139102e-02    1.771561e-02    2.385487e-02    265
3.981072e+12    1.010540e-02    1.458323e-02    2.016557e-02    178
6.309573e+12    8.750217e-03    1.259365e-02    1.568368e-02    114
1.000000e+13    7.480795e-03    9.698902e-03    1.196886e-02    70
1.584893e+13    6.027724e-03    7.679972e-03    9.481403e-03    50
2.511886e+13    4.581319e-03    5.678003e-03    7.362106e-03    28
3.981072e+13    3.439505e-03    4.863549e-03    6.263039e-03    23
6.309573e+13    3.043705e-03    3.506916e-03    4.724241e-03    10
1.000000e+14    3.298057e-03    3.545394e-03    3.733327e-03    3
1.584893e+14    8.635615e-04    1.452436e-03    2.068279e-03    4
2.511886e+14    1.042422e-03    1.211827e-03    1.381232e-03    2
3.981072e+14    9.456209e-04    9.456209e-04    9.456209e-04    1
