# Stellar mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 0.50
# Number of particles: 1504^3
# Halo mass: M_vir (BN98)
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_vir [M_sun]    M_star (16th per) [M_sun]     M_star (50th per) [M_sun]    M_star (84th per) [M_sun]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    3
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    367
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    2293
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    5881
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    28330
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    200813
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    445974
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    334935
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    246983
1.584893e+09    0.000000e+00    0.000000e+00    0.000000e+00    174529
2.511886e+09    0.000000e+00    0.000000e+00    0.000000e+00    120874
3.981072e+09    0.000000e+00    0.000000e+00    4.307302e+06    86768
6.309573e+09    0.000000e+00    3.355239e+06    9.557604e+06    60521
1.000000e+10    3.132959e+06    8.933294e+06    1.984088e+07    39466
1.584893e+10    8.472921e+06    1.951266e+07    3.785332e+07    24545
2.511886e+10    1.894082e+07    3.936325e+07    7.344583e+07    16432
3.981072e+10    4.334584e+07    8.272364e+07    1.482891e+08    10658
6.309573e+10    9.137659e+07    1.755571e+08    3.255789e+08    6898
1.000000e+11    2.025228e+08    3.877870e+08    7.464389e+08    4656
1.584893e+11    4.570289e+08    9.070842e+08    1.605883e+09    3198
2.511886e+11    1.058294e+09    2.049819e+09    3.396808e+09    2208
3.981072e+11    2.495159e+09    4.430909e+09    7.020869e+09    1400
6.309573e+11    5.224418e+09    9.060948e+09    1.352426e+10    970
1.000000e+12    1.034217e+10    1.688806e+10    2.385501e+10    690
1.584893e+12    1.588372e+10    2.626501e+10    3.722127e+10    432
2.511886e+12    2.421492e+10    4.010853e+10    5.436039e+10    292
3.981072e+12    3.084245e+10    4.887668e+10    7.147224e+10    201
6.309573e+12    4.435708e+10    6.479334e+10    8.951986e+10    131
1.000000e+13    5.345627e+10    7.940316e+10    1.053507e+11    85
1.584893e+13    8.024021e+10    1.136272e+11    1.606033e+11    52
2.511886e+13    8.532825e+10    1.399228e+11    1.845255e+11    32
3.981072e+13    1.591621e+11    2.034114e+11    2.273888e+11    12
6.309573e+13    1.511323e+11    2.157394e+11    2.729572e+11    12
1.000000e+14    1.767815e+11    3.018747e+11    3.180643e+11    3
1.584893e+14    2.639584e+11    4.020323e+11    4.287651e+11    3
2.511886e+14    1.194684e+11    1.942771e+11    2.690858e+11    2
