# Stellar mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 5.00
# Number of particles: 1504^3
# Halo mass: M_200_crit
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_200 [M_sun]    M_star (16th per) [M_sun]     M_star (50th per) [M_sun]    M_star (84th per) [M_sun]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    2
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    46
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    259
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    830
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    2217
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    5795
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    7467
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    5324
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    4404
1.584893e+09    0.000000e+00    0.000000e+00    4.024446e+06    3691
2.511886e+09    0.000000e+00    2.840765e+06    7.148564e+06    2199
3.981072e+09    1.262861e+06    6.243666e+06    1.080357e+07    996
6.309573e+09    4.342968e+06    9.979553e+06    1.644970e+07    559
1.000000e+10    8.765038e+06    1.656610e+07    2.543944e+07    301
1.584893e+10    1.458978e+07    2.409977e+07    4.343854e+07    138
2.511886e+10    2.695658e+07    4.834130e+07    7.793822e+07    99
3.981072e+10    5.089594e+07    8.656840e+07    1.530118e+08    56
6.309573e+10    5.849703e+07    1.400904e+08    2.120883e+08    34
1.000000e+11    1.895992e+08    3.092798e+08    4.472757e+08    21
1.584893e+11    2.699890e+08    3.936134e+08    6.105405e+08    9
2.511886e+11    1.239188e+09    1.239188e+09    1.239188e+09    1
