# Stellar mass / Halo mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 1.00
# Number of particles: 1504^3
# Halo mass: M_vir (BN98)
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_vir [M_sun]    M_star / M_vir (16th per) [-]     M_star / M_vir (50th per) [-]    M_star / M_vir (84th per) [-]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    5
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    530
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    3419
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    9192
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    42016
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    236888
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    486241
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    367622
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    268882
1.584893e+09    0.000000e+00    0.000000e+00    0.000000e+00    187809
2.511886e+09    0.000000e+00    0.000000e+00    0.000000e+00    129841
3.981072e+09    0.000000e+00    0.000000e+00    1.367735e-03    97283
6.309573e+09    0.000000e+00    7.852193e-04    1.712249e-03    65339
1.000000e+10    4.316684e-04    1.095484e-03    2.149091e-03    40562
1.584893e+10    6.340624e-04    1.395029e-03    2.544149e-03    25633
2.511886e+10    8.596310e-04    1.768035e-03    3.057772e-03    16888
3.981072e+10    1.127839e-03    2.274228e-03    3.872303e-03    11064
6.309573e+10    1.541597e-03    3.052553e-03    5.137262e-03    7184
1.000000e+11    2.130575e-03    4.264982e-03    7.168820e-03    4841
1.584893e+11    2.914466e-03    5.875549e-03    9.632772e-03    3333
2.511886e+11    4.278446e-03    8.323546e-03    1.314214e-02    2235
3.981072e+11    5.803097e-03    1.102551e-02    1.701517e-02    1444
6.309573e+11    7.859718e-03    1.375873e-02    2.078462e-02    966
1.000000e+12    9.349860e-03    1.645953e-02    2.288832e-02    676
1.584893e+12    9.454948e-03    1.546745e-02    2.272210e-02    428
2.511886e+12    9.412829e-03    1.536126e-02    2.095713e-02    288
3.981072e+12    8.069568e-03    1.186166e-02    1.673749e-02    174
6.309573e+12    5.447087e-03    9.823292e-03    1.343764e-02    103
1.000000e+13    5.565844e-03    8.874006e-03    1.107093e-02    60
1.584893e+13    5.617696e-03    7.701032e-03    9.444946e-03    34
2.511886e+13    3.523645e-03    5.422708e-03    8.084168e-03    21
3.981072e+13    2.267345e-03    3.616999e-03    4.971389e-03    13
6.309573e+13    1.865033e-03    1.988715e-03    2.112396e-03    2
1.000000e+14    3.385057e-03    3.464126e-03    3.543196e-03    2
1.584893e+14    1.217502e-03    1.217502e-03    1.217502e-03    1
