# Stellar mass / Halo mass - Stellar mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 2.00
# Number of particles: 1504^3
# Halo mass: M_vir (BN98)
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_star [M_sun]    M_star / M_vir (16th per) [-]     M_star / M_vir (50th per) [-]    M_star / M_vir (84th per) [-]    Counts [-]
1.000000e+06    1.852249e-04    4.109982e-04    9.014319e-04    5526
1.584893e+06    2.263902e-04    3.744039e-04    5.856370e-04    3831
2.511886e+06    4.654644e-04    7.453815e-04    1.260924e-03    19329
3.981072e+06    6.929950e-04    1.126217e-03    1.891891e-03    50184
6.309573e+06    8.866041e-04    1.465183e-03    2.426240e-03    52466
1.000000e+07    1.004828e-03    1.668126e-03    2.760302e-03    44666
1.584893e+07    1.101481e-03    1.779050e-03    2.851418e-03    30632
2.511886e+07    1.227838e-03    1.932745e-03    2.947017e-03    20539
3.981072e+07    1.372212e-03    2.114728e-03    3.127939e-03    14102
6.309573e+07    1.548972e-03    2.351027e-03    3.352194e-03    9727
1.000000e+08    1.782473e-03    2.655114e-03    3.720639e-03    6977
1.584893e+08    2.091195e-03    3.083054e-03    4.348289e-03    4950
2.511886e+08    2.452543e-03    3.631712e-03    4.888833e-03    3832
3.981072e+08    2.989254e-03    4.323902e-03    5.786591e-03    2870
6.309573e+08    3.477212e-03    5.101873e-03    6.827035e-03    2169
1.000000e+09    4.278464e-03    6.239261e-03    8.235844e-03    1591
1.584893e+09    5.098591e-03    7.319919e-03    9.622825e-03    1369
2.511886e+09    5.914162e-03    8.453765e-03    1.122561e-02    1016
3.981072e+09    6.907585e-03    1.005708e-02    1.319876e-02    738
6.309573e+09    7.966522e-03    1.207648e-02    1.600097e-02    492
1.000000e+10    9.739770e-03    1.417820e-02    1.876710e-02    483
1.584893e+10    9.638616e-03    1.543590e-02    2.051175e-02    452
2.511886e+10    1.022442e-02    1.675732e-02    2.276787e-02    278
3.981072e+10    8.755419e-03    1.473977e-02    2.197649e-02    169
6.309573e+10    7.438535e-03    1.385553e-02    2.057782e-02    67
1.000000e+11    7.149810e-03    1.297709e-02    2.036553e-02    31
1.584893e+11    6.829767e-03    9.701316e-03    1.405651e-02    4
