# Stellar mass / Halo mass - Stellar mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 4.00
# Number of particles: 1504^3
# Halo mass: M_vir (BN98)
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_star [M_sun]    M_star / M_vir (16th per) [-]     M_star / M_vir (50th per) [-]    M_star / M_vir (84th per) [-]    Counts [-]
1.000000e+06    2.207102e-04    5.483002e-04    8.854076e-04    4533
1.584893e+06    3.281445e-04    5.540197e-04    8.034696e-04    15697
2.511886e+06    6.877513e-04    1.147628e-03    1.699505e-03    33069
3.981072e+06    9.704467e-04    1.646263e-03    2.563329e-03    60573
6.309573e+06    1.229849e-03    2.130632e-03    3.421992e-03    79369
1.000000e+07    1.280422e-03    2.260838e-03    3.832054e-03    53841
1.584893e+07    1.255122e-03    2.068344e-03    3.457272e-03    30714
2.511886e+07    1.277882e-03    2.003803e-03    3.067325e-03    17088
3.981072e+07    1.369841e-03    2.053463e-03    3.013051e-03    10214
6.309573e+07    1.521272e-03    2.180214e-03    3.092784e-03    6588
1.000000e+08    1.707531e-03    2.463400e-03    3.412717e-03    4279
1.584893e+08    1.985318e-03    2.817539e-03    3.794928e-03    2850
2.511886e+08    2.327980e-03    3.183868e-03    4.304653e-03    2001
3.981072e+08    2.753449e-03    3.727762e-03    4.904109e-03    1328
6.309573e+08    3.178776e-03    4.207100e-03    5.666372e-03    886
1.000000e+09    3.766692e-03    5.070111e-03    6.741560e-03    658
1.584893e+09    4.431415e-03    6.021833e-03    8.040945e-03    428
2.511886e+09    5.076811e-03    7.268912e-03    9.880120e-03    280
3.981072e+09    6.479994e-03    1.011200e-02    1.426311e-02    145
6.309573e+09    9.496569e-03    1.340783e-02    1.711816e-02    144
1.000000e+10    9.936329e-03    1.465318e-02    2.033013e-02    110
1.584893e+10    1.044455e-02    1.526948e-02    2.370865e-02    81
2.511886e+10    1.256841e-02    1.886768e-02    2.435747e-02    27
3.981072e+10    1.685044e-02    2.065350e-02    2.906959e-02    20
6.309573e+10    1.846197e-02    2.544782e-02    2.794064e-02    3
