# Stellar mass / Halo mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 0.50
# Number of particles: 1504^3
# Halo mass: M_200_crit
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_200 [M_sun]    M_star / M_200 (16th per) [-]     M_star / M_200 (50th per) [-]    M_star / M_200 (84th per) [-]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    8
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    809
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    4710
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    11045
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    48713
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    265999
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    422035
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    316461
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    233706
1.584893e+09    0.000000e+00    0.000000e+00    0.000000e+00    163899
2.511886e+09    0.000000e+00    0.000000e+00    0.000000e+00    113478
3.981072e+09    0.000000e+00    0.000000e+00    1.290353e-03    81424
6.309573e+09    0.000000e+00    7.371569e-04    1.726933e-03    55661
1.000000e+10    4.176796e-04    1.102157e-03    2.251945e-03    35672
1.584893e+10    6.901599e-04    1.468453e-03    2.674135e-03    22328
2.511886e+10    9.756233e-04    1.874632e-03    3.275828e-03    15080
3.981072e+10    1.393934e-03    2.522065e-03    4.248086e-03    9642
6.309573e+10    1.867197e-03    3.360686e-03    5.906160e-03    6357
1.000000e+11    2.632693e-03    4.842940e-03    8.593318e-03    4243
1.584893e+11    3.909748e-03    7.049198e-03    1.163182e-02    2986
2.511886e+11    5.915380e-03    1.026860e-02    1.538196e-02    1964
3.981072e+11    8.071814e-03    1.392939e-02    1.995741e-02    1288
6.309573e+11    1.149491e-02    1.755832e-02    2.388317e-02    909
1.000000e+12    1.285050e-02    2.006836e-02    2.619576e-02    578
1.584893e+12    1.085013e-02    1.930957e-02    2.543909e-02    415
2.511886e+12    1.060352e-02    1.769369e-02    2.362514e-02    253
3.981072e+12    9.485751e-03    1.340422e-02    1.953188e-02    188
6.309573e+12    7.712308e-03    1.124021e-02    1.498112e-02    103
1.000000e+13    5.773529e-03    9.060860e-03    1.140456e-02    76
1.584893e+13    5.666486e-03    8.224455e-03    1.049924e-02    52
2.511886e+13    4.359397e-03    6.580274e-03    8.268979e-03    21
3.981072e+13    3.987453e-03    4.771952e-03    6.897360e-03    11
6.309573e+13    3.126717e-03    4.182696e-03    4.564285e-03    11
1.000000e+14    1.624167e-03    2.444071e-03    3.263976e-03    2
1.584893e+14    1.658331e-03    2.532241e-03    2.689372e-03    3
2.511886e+14    4.858342e-04    7.236236e-04    9.614131e-04    2
