# Stellar mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 3.00
# Number of particles: 1504^3
# Halo mass: M_200_crit
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_200 [M_sun]    M_star (16th per) [M_sun]     M_star (50th per) [M_sun]    M_star (84th per) [M_sun]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    26
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    2323
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    13569
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    38077
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    134649
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    404295
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    532024
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    384046
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    252398
1.584893e+09    0.000000e+00    0.000000e+00    0.000000e+00    209400
2.511886e+09    0.000000e+00    0.000000e+00    4.988894e+06    184800
3.981072e+09    0.000000e+00    3.667726e+06    8.776263e+06    104038
6.309573e+09    1.224735e+06    7.986805e+06    1.471264e+07    55924
1.000000e+10    6.084262e+06    1.420914e+07    2.452377e+07    34006
1.584893e+10    1.212098e+07    2.443770e+07    4.219369e+07    21275
2.511886e+10    2.238105e+07    4.403370e+07    7.623935e+07    13429
3.981072e+10    4.398914e+07    8.501184e+07    1.443421e+08    8741
6.309573e+10    8.485555e+07    1.627831e+08    2.834479e+08    5530
1.000000e+11    1.724242e+08    3.305991e+08    5.830816e+08    3407
1.584893e+11    3.620786e+08    6.683105e+08    1.148971e+09    2205
2.511886e+11    7.334052e+08    1.380032e+09    2.393705e+09    1284
3.981072e+11    1.560158e+09    2.809386e+09    6.128005e+09    832
6.309573e+11    3.180760e+09    6.606374e+09    1.105506e+10    448
1.000000e+12    6.950961e+09    1.194872e+10    1.785099e+10    244
1.584893e+12    1.112163e+10    1.858074e+10    2.841355e+10    134
2.511886e+12    1.780171e+10    2.789164e+10    4.521883e+10    61
3.981072e+12    1.956885e+10    4.077345e+10    5.906357e+10    23
6.309573e+12    3.957524e+10    4.898740e+10    6.707332e+10    13
1.584893e+13    4.132706e+10    4.132706e+10    4.132706e+10    1
