# Stellar mass / Halo mass - Stellar mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 0.20
# Number of particles: 1504^3
# Halo mass: M_200_crit
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_star [M_sun]    M_star / M_200 (16th per) [-]     M_star / M_200 (50th per) [-]    M_star / M_200 (84th per) [-]    Counts [-]
1.000000e+06    2.152895e-04    5.572489e-04    2.089529e-03    4365
1.584893e+06    1.805308e-04    2.734569e-04    5.470067e-04    108
2.511886e+06    3.900108e-04    7.133716e-04    2.165249e-03    19084
3.981072e+06    5.287908e-04    8.686777e-04    1.997987e-03    19392
6.309573e+06    6.807281e-04    1.108381e-03    2.311062e-03    30327
1.000000e+07    8.320524e-04    1.316207e-03    2.488358e-03    21012
1.584893e+07    1.002282e-03    1.561327e-03    2.733522e-03    18162
2.511886e+07    1.213463e-03    1.852223e-03    3.167239e-03    14956
3.981072e+07    1.449221e-03    2.129846e-03    3.633085e-03    11496
6.309573e+07    1.688428e-03    2.383373e-03    3.801101e-03    8095
1.000000e+08    2.005638e-03    2.797591e-03    4.340815e-03    6111
1.584893e+08    2.433299e-03    3.276011e-03    4.964273e-03    4548
2.511886e+08    2.924994e-03    3.926388e-03    5.932949e-03    3380
3.981072e+08    3.568161e-03    4.825482e-03    7.490512e-03    2486
6.309573e+08    4.397650e-03    5.947525e-03    9.236527e-03    2035
1.000000e+09    5.555284e-03    7.527886e-03    1.119393e-02    1696
1.584893e+09    6.977750e-03    9.259198e-03    1.341987e-02    1371
2.511886e+09    8.454881e-03    1.115866e-02    1.561320e-02    1175
3.981072e+09    1.048257e-02    1.336216e-02    1.747551e-02    984
6.309573e+09    1.230436e-02    1.595023e-02    2.035840e-02    748
1.000000e+10    1.397054e-02    1.810836e-02    2.326553e-02    649
1.584893e+10    1.444267e-02    2.036757e-02    2.542435e-02    594
2.511886e+10    1.401147e-02    2.147941e-02    2.672803e-02    476
3.981072e+10    1.156316e-02    1.949948e-02    2.639135e-02    367
6.309573e+10    1.058705e-02    1.759722e-02    2.630596e-02    263
1.000000e+11    6.751001e-03    1.168480e-02    1.789359e-02    158
1.584893e+11    4.634981e-03    8.397308e-03    1.216363e-02    53
2.511886e+11    3.391694e-03    5.263702e-03    7.339000e-03    23
3.981072e+11    2.004289e-03    2.393320e-03    2.561263e-03    4
