#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ(Centrals) Err+ Err- Median_FQ(Sats) Err+ Err- Median_FQ(Sats_MW) Err+ Err- Median_FQ(Sats_Group) Err+ Err- Median_FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.00372859 0.00456114 0.00166824 0.0141929 0.0122328 0.00597377 0.014184 0.0119543 0.00632755 0.0151587 0.0126413 0.00668461 0.0164589 0.0153951 0.00661365 7.2 7.4 654202 513535 140667 17248 17250 15224
7.5 0.00479991 0.00540686 0.00209995 0.0190689 0.0144355 0.00732284 0.0188554 0.0160319 0.0074924 0.021213 0.0145451 0.00807914 0.0211 0.0175856 0.00792852 7.4 7.6 568065 440292 127773 16536 16122 14535
7.7 0.00635534 0.00641016 0.00265766 0.0265946 0.0174438 0.00871863 0.0267837 0.0187791 0.0097554 0.0280988 0.0178577 0.00960358 0.0298399 0.0199632 0.0104914 7.6 7.8 479394 367283 112111 15194 14619 13134
7.9 0.00856621 0.00776525 0.00338568 0.0420662 0.0232751 0.0122698 0.0434364 0.0291698 0.0139523 0.0411906 0.0219273 0.012276 0.0457409 0.0235548 0.0132467 7.8 8 396932 299797 97135 13589 13132 11759
8.1 0.0120456 0.00916375 0.00446583 0.0711505 0.0317616 0.0199958 0.0698052 0.0371861 0.0212674 0.0679098 0.0295625 0.020084 0.0709085 0.0310277 0.0164075 8 8.2 326698 240456 86242 12678 12087 10553
8.3 0.0166796 0.010469 0.00562185 0.0954552 0.0326235 0.020601 0.0950526 0.0406144 0.0247797 0.090469 0.0325422 0.0207399 0.0960199 0.0347287 0.0204334 8.2 8.4 272102 191472 80630 12062 11271 10128
8.5 0.0225513 0.0115444 0.00657502 0.114959 0.0329116 0.0223669 0.115499 0.0392618 0.0254527 0.115588 0.0354181 0.022565 0.126981 0.0372344 0.0261668 8.4 8.6 227221 153386 73835 11384 10259 9203
8.7 0.0309345 0.0132973 0.00867004 0.142597 0.0322944 0.0251285 0.140337 0.0456274 0.0276046 0.138735 0.0350437 0.0244672 0.152089 0.0356965 0.0235359 8.6 8.8 185836 122558 63278 10392 9118 8059
8.9 0.0405309 0.0151536 0.00948024 0.176227 0.0318611 0.0254821 0.175588 0.046826 0.030349 0.174652 0.0335964 0.0251265 0.184788 0.0385784 0.0219335 8.8 9 149420 98765 50655 9082 7491 6660
9.1 0.0551646 0.0164918 0.0108317 0.211421 0.0340317 0.028583 0.207643 0.0455365 0.0314418 0.205238 0.0362785 0.0292762 0.230205 0.0373002 0.0254945 9 9.2 121485 80717 40768 7627 6276 5511
9.3 0.0719528 0.0165794 0.0124278 0.257239 0.0299186 0.0284549 0.244238 0.0419753 0.0305 0.254405 0.0330005 0.026661 0.271937 0.0329569 0.0269055 9.2 9.4 99560 66310 33250 6506 5271 4693
9.5 0.0951013 0.0191864 0.0147603 0.302861 0.0283055 0.0261214 0.277287 0.03534 0.0328465 0.300821 0.0291979 0.0265411 0.317204 0.03266 0.0226621 9.4 9.6 83926 56140 27786 5241 4547 4183
9.7 0.121242 0.0196762 0.0149941 0.354268 0.0259264 0.0220267 0.300632 0.0333966 0.0276625 0.359569 0.0284972 0.0271006 0.384155 0.027467 0.0216723 9.6 9.8 72451 48712 23739 3931 4197 3672
9.9 0.158745 0.0184516 0.0159319 0.40616 0.0207399 0.0176724 0.343099 0.0307004 0.0293082 0.417147 0.0277739 0.0215946 0.437556 0.0212438 0.0192936 9.8 10 63545 43004 20541 2662 3750 3373
10.1 0.210734 0.0159978 0.0171988 0.472557 0.0210874 0.017232 0.388403 0.0296678 0.0310358 0.486163 0.0255229 0.0206547 0.484615 0.0178871 0.0153047 10 10.2 57613 39385 18228 1665 3547 3162
10.3 0.27521 0.0152338 0.0184471 0.548874 0.0166019 0.0136096 0.423927 0.0313767 0.0191014 0.554201 0.0223463 0.0167147 0.563521 0.0105851 0.0147737 10.2 10.4 51765 35675 16090 748 3534 2922
10.5 0.362197 0.0167341 0.0201946 0.629575 0.0174199 0.0153431 0.522648 0.0320394 0.0398895 0.647244 0.0232751 0.0206321 0.654284 0.0139667 0.0149049 10.4 10.6 44843 31464 13379 300 3289 2552
10.7 0.457083 0.0183864 0.0228411 0.711491 0.0161039 0.0142698 0.678571 0.0473545 0.0345036 0.704755 0.020417 0.0209053 0.750357 0.0159888 0.0151448 10.6 10.8 35789 25470 10319 89 2586 2156
10.9 0.575089 0.0260267 0.0264446 0.782581 0.0182931 0.0141032 0.785714 0.047619 0.0523809 0.746069 0.0210782 0.0202622 0.819564 0.0177048 0.0142813 10.8 11 23637 17438 6199 19 1415 1506
11.1 0.699989 0.0286199 0.0333903 0.853561 0.0159874 0.0172397 0.727273 0.041958 0.0606061 0.795122 0.0200954 0.020078 0.884527 0.0142235 0.0173768 11 11.2 12022 9216 2806 10 451 851
11.3 0.826865 0.0256539 0.0312127 0.910569 0.015317 0.0123733 0 0 0 0.852459 0.0240842 0.0305412 0.906344 0.0181839 0.0193879 11.2 11.4 4986 4111 875 0 81 311
11.5 0.90411 0.0166065 0.0198274 0.914894 0.0127082 0.0176974 0 0 0 0.75 0.0681818 0.0833333 0.905263 0.0226647 0.0210527 11.4 11.6 1797 1573 224 0 5 95
11.7 0.94162 0.019635 0.0175689 0.944444 0.031746 0.0314009 0 0 0 1 0 1 1 0 0.125 11.6 11.8 483 445 38 0 0 10
11.9 0.975309 0.0145903 0.0199515 1 0 1 0 0 0 0 0 0 0 1 0 11.8 12 98 94 4 0 0 1
12.1 0.944444 0.0555556 0.0353535 0 0 0 0 0 0 0 0 0 0 0 0 12 12.2 12 12 0 0 0 0
12.3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 3 3 0 0 0 0
12.5 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0 0
