#galaxy   structure    hexagon    f_CO   f_SFR   r_gal   r_weighted    Sigma_SFR      Sigma_star      Sigma_mol      Sigma_mol_4p35   Sigma_mol_N12   Sigma_mol_B13      F_CO_60pc      F_CO_150pc   Sigma_mol_combo
NGC0628       spiral    1233  1.000000  1.000000  3.000960  3.011039  0.00854709  136.5936   15.3598   18.3305   29.3176   22.4804   38.4749   28.5560   15.4166
NGC0628       spiral    1234  0.991080  0.968429  2.646692  2.619749  0.00741581  151.8444   14.6469   17.9534   30.5303   23.7589   32.5855   22.1885   14.8339
NGC0628       spiral    1235  0.996329  0.999364  2.654640  2.567818  0.00722989  148.6536   15.0944   18.4908   29.7196   22.5984   39.9337   26.5011   15.1554
NGC0628       spiral    1238  0.983702  0.997413  4.408062  4.499546  0.00921532   83.6542   17.8974   19.2065   23.7202   18.9413  110.1201   81.5229   17.8295
NGC0628       spiral    1274  1.000000  1.000000  4.623162  4.549480  0.00783993   70.8885   15.0705   15.9124   30.4320   32.9223   25.6911   15.1641   14.9978
NGC0628       spiral    1277  0.940711  0.949167  1.740550  1.721240  0.00784592  267.1288   15.4078   20.2230   35.3544   25.4078   26.9912   17.4246   15.4209
NGC0628       spiral    1280  0.920506  0.859240  1.752611  1.925689  0.00842530  277.5102   16.6592   21.8457   32.4796   21.0728   35.0782   28.9676   16.4368
NGC0628       spiral    1282  0.873394  0.994253  3.648879  3.848737  0.00654552  104.7514   15.7440   17.8921   26.4791   20.7453   59.4258   40.6686   15.7268
NGC0628       spiral    1317  1.000000  1.000000  5.632820  5.587842  0.00375429   41.5376    8.4210    8.2390   16.2522   20.8275   23.7011   12.3008    8.3250
NGC0628       spiral    1319  0.993068  1.002380  3.648879  3.688159  0.00754632   97.9457   14.9026   16.9359   28.3650   23.4981   39.1372   27.6279   15.0429
NGC0628       spiral    1324  0.858116  0.841682  1.740550  1.678828  0.00771558  264.8979   13.5629   17.8016   30.1517   21.3165   31.8110   19.2360   13.5741
NGC0628       spiral    1326  0.945421  0.949218  3.635383  3.648975  0.00716224  102.0373   14.9117   16.9635   30.6872   26.0448   41.4800   21.6647   14.9604
NGC0628       spiral    1360  8.974271  0.971830  7.085278  6.357688  0.00314113   24.2699    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628       spiral    1363  1.000000  1.000000  4.408062  4.428454  0.00974008   79.1687   20.4135   21.9067   30.7125   24.7071   76.0687   54.8514   20.4196
NGC0628       spiral    1365  0.936408  0.966418  3.021947  2.970910  0.00951521  140.3638   14.4455   17.2120   29.3246   22.9957   41.7543   23.5228   14.5577
NGC0628       spiral    1366  0.917244  1.000065  2.654640  2.679873  0.00805927  163.7040   14.9710   18.3396   28.2258   20.6332   43.6655   30.3468   15.0345
NGC0628       spiral    1367  0.825562  0.941365  2.646692  2.740429  0.00791799  161.3955   15.1333   18.5496   28.0888   20.5161   49.4128   31.8844   15.2593
NGC0628       spiral    1368  0.992570  1.005595  3.000960  3.128755  0.01413060  142.5551   19.7557   23.5765   33.0016   23.8501   64.7944   43.3146   19.7445
NGC0628       spiral    1374      -NaN  1.064011  7.994481      -NaN  0.00397249   18.9880    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628       spiral    1403      -NaN  1.071985  7.900665      -NaN  0.00205404   18.8832    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628       spiral    1407  0.900713  0.950893  5.036578  5.001107  0.01183446   76.3665   17.3560   17.7625   33.0010   28.4312   39.9811   25.3404   17.3978
NGC0628       spiral    1409  0.946134  0.955479  4.370117  4.386122  0.01140331   85.4129   14.9427   16.0817   28.0136   23.7792   42.6200   27.6493   14.9847
NGC0628       spiral    1414      -NaN  0.995125  6.259072      -NaN  0.00445780   37.1370    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628       spiral    1415      -NaN  1.000000  7.022845      -NaN  0.00346559   28.7634    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628       spiral    1416      -NaN  0.937220  7.842680      -NaN  0.00369902   23.5746    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628       spiral    1488      -NaN  0.951562  9.065840      -NaN  0.00241229   15.0467    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC1097       spiral     547  1.000000      -NaN 14.011717 13.759976  0.00090991   25.6066    3.4455    2.6817       NaN       NaN       NaN       NaN    2.1676
NGC1097       spiral     611  0.884245      -NaN 11.197003 11.272024  0.00162100   39.2699    1.7166    1.5445       NaN       NaN       NaN       NaN    2.0876
NGC1097       spiral     612  1.000000      -NaN 11.296711 10.786589  0.00212378   42.9759    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC1097       spiral     675  0.906311      -NaN  9.640079  9.775261  0.00244959   44.4752    4.1010    3.9979    7.8978    7.8874       NaN   19.4765    3.6456
NGC1097       spiral     732  0.896935      -NaN  7.194736  6.892686  0.00310778   77.8302    6.4047    7.0816   12.4775   11.1529       NaN   25.0939    6.3742
NGC1097       spiral     733  0.980708      -NaN  6.861820  6.981660  0.00624769  136.9647   11.9411   13.4314   18.4951   13.5450       NaN   52.1474   11.9469
NGC1097       spiral     734  1.000000      -NaN  6.718908  6.798796  0.00867541  174.6187   18.6651   21.1497   26.1838   17.4985       NaN   71.5107   18.3360
NGC1097       spiral     736  0.921426      -NaN  7.034085  7.132351  0.01182606  150.9153   17.6550   19.6830   27.8613   19.6615       NaN   48.8153   17.8080
NGC1097       spiral     737  0.956904      -NaN  7.466850  7.419730  0.00621154   84.4765    5.6389    6.1481   11.6058   10.6386       NaN   20.8687    5.7213
NGC1097       spiral     738  0.944718      -NaN  8.047865  8.054389  0.00252641   47.9571    3.1012    3.2815    6.2703    7.6822       NaN   12.4095    2.7198
NGC1097       spiral     792  0.954702      -NaN  6.886865  6.386066  0.00184220   37.0796    4.1522    4.6644    8.6988   15.3206       NaN    6.3214    4.1475
NGC1097       spiral     793  0.999331      -NaN  6.045599  5.810846  0.00305773   63.9317    4.8607    5.7020   10.4484    9.9625       NaN   18.3322    4.8483
NGC1097       spiral     794  0.826379      -NaN  5.329953  5.707252  0.00342633  107.1659    4.8721    5.9301   10.7047    9.6125       NaN   18.6351    4.9205
NGC1097       spiral     801  0.949479      -NaN  6.936014  6.891941  0.00268817   45.9735    2.4870    2.7868    5.2025    7.6381       NaN    8.5804    2.3892
NGC1097       spiral     854  0.983800      -NaN  5.977226  5.775610  0.00288955   48.9715    3.1673    3.7287    6.8226   12.0747       NaN    5.9948    3.2020
NGC1097       spiral     855  0.839229      -NaN  4.911735  5.032818  0.00397196   89.4453    3.8726    4.8161    8.6182    9.9501       NaN   11.9754    3.8605
NGC1097       spiral     863  0.878955      -NaN  5.468515  5.646975  0.00613717   77.7930    6.3103    7.6259   13.1450   11.9480       NaN   21.9639    6.3834
NGC1097       spiral     916  1.000000      -NaN  5.851051  5.343803  0.00164739   46.3265    1.8103    2.1451    3.9146    5.7150       NaN    8.2257    1.8003
NGC1097       spiral     917  0.940226      -NaN  4.680841  4.664312  0.00360742   78.8987    4.0354    5.0786    9.0440   11.1894       NaN   10.4524    4.1762
NGC1097       spiral    1105  1.067600      -NaN  7.466850  7.305924  0.00293803   60.2242    2.8392    3.0956    5.8436    7.5450       NaN   11.0005    2.9594
NGC1097       spiral    1106  0.899915      -NaN  7.034085  7.016038  0.00729450   97.8037    9.5615   10.6598   19.0110   16.2824       NaN   23.7124    9.8734
NGC1097       spiral    1169  0.965603      -NaN  9.037369  8.973009  0.00483373   58.2155    6.3268    6.3621   12.4110   12.1143       NaN   19.8363    6.6616
NGC1097       spiral    1170  1.000000      -NaN  8.952858  9.083332  0.00593431   68.6280   12.6112   12.7369   19.3928   16.1038       NaN   48.6410   12.4566
NGC1097       spiral    1234  0.981675      -NaN 11.622270 11.329920  0.00236215   54.2147    5.1765    4.5565    9.3827   12.7288       NaN   12.2956    4.9139
NGC1097       spiral    1235  1.000000      -NaN 11.991226 11.763812  0.00321281   61.1399    5.0684    4.3774    9.0836   26.0159       NaN    3.8803    5.0294
NGC1097       spiral    1236  1.000000      -NaN 12.459559 11.641749  0.00484042   66.0949    0.0000    0.0000    0.0000    0.0000       NaN   39.5384    0.0000
NGC1097       spiral    2415  0.958429      -NaN 12.991639 13.364081  0.00117470   29.5285    3.2865    2.6959       NaN       NaN       NaN       NaN    2.5104
NGC1097       spiral    2417  0.885739      -NaN 12.442639 12.614665  0.00128782   34.7867    0.7861    0.6634       NaN       NaN       NaN       NaN   -0.0072
NGC1097       spiral    2418  1.000000      -NaN 12.326626 29.531259  0.00185625   40.2349    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC1097       spiral    2481  1.000000      -NaN 10.391779 10.224729  0.00222253   45.1425    5.7510    5.3935   10.2985    9.0961       NaN   28.3636    3.3373
