#galaxy   structure    hexagon    f_CO   f_SFR   r_gal   r_weighted    Sig_SFR   Sig_star      Sig_mol      Sig_mol_4p35   Sig_mol_N12   Sig_mol_B13      F_CO_60pc      F_CO_150pc   Sig_mol_combo
NGC1097          bar    2918  0.996730      -NaN  5.648356  5.376212  0.00911248  248.4666   21.9782   26.3155   24.1777   14.8722       NaN  160.2486   21.9340
NGC1300          bar     525  1.000000  1.000000  2.306933  1.121073  0.00123639  145.1357    0.3505    0.4801       NaN       NaN       NaN       NaN    0.4224
NGC1300          bar     526  1.000000  1.000000  2.032476  1.442024  0.00133561  189.7726    1.8907    2.6328       NaN       NaN       NaN       NaN    2.1307
NGC1300          bar     527  1.000000  1.000000  2.225954  1.929019  0.00086258  174.5014   -0.0744   -0.1024       NaN       NaN       NaN       NaN   -0.0473
NGC1300          bar     528  1.000000  1.000000  2.791715  2.524303  0.00049466  147.6970    0.0894    0.1189       NaN       NaN       NaN       NaN   -0.2739
NGC1300          bar     529  1.613914  0.861310  3.556314  3.137065  0.00110210  134.4476    1.1441    1.4545       NaN       NaN       NaN       NaN    1.1945
NGC1300          bar     572  0.943183  0.969663  5.018581  5.120782  0.00312685  141.4672    8.7712   10.2174   18.7758   19.4838       NaN   12.8091    8.9734
NGC1300          bar     573  1.000000  1.000000  4.014865  3.723527  0.00118325  145.4757    4.9322    6.1007    8.3929    6.3069       NaN   42.1557    5.2181
NGC1300          bar     574  1.000000  1.000000  3.011149  3.260110  0.00139239  178.1375    3.1042    4.0771    5.4166    3.8786       NaN   41.0270    2.9002
NGC1300          bar     575  1.000000  1.000000  2.007432  1.897691  0.00112474  258.3971    6.1118    8.5235   13.2022    9.2114       NaN   22.1641    5.7867
NGC1300          bar     576  0.974853  0.963719  1.003716  0.906151  0.00901329  676.8814   43.4176   64.2941   63.4705   29.0536       NaN   79.0421   43.4593
NGC1300          bar     579  1.000000  1.000000  2.007432  1.945233  0.00191172  256.4654    8.0472   11.2226   19.1006   14.0643       NaN   16.5109    8.0651
NGC1300          bar     580  1.000000  1.000000  3.011149  3.147044  0.00184908  188.4101    5.5076    7.2337   11.0614    8.1339       NaN   26.4372    5.6162
NGC1300          bar     581  1.000000  1.000000  4.014865  3.824784  0.00216853  164.0768    9.2483   11.4394   13.8343    9.7529       NaN   63.0622    9.2624
NGC1300          bar     582  1.078543  0.982765  5.018581  4.918110  0.00283000  155.2071    8.3778    9.7592   11.8991    8.4130       NaN   70.4424    8.2976
NGC1300          bar     624  0.988703  1.105656  4.417687  4.204317  0.00117289  144.9178    4.3230    5.2200       NaN       NaN       NaN       NaN    4.2092
NGC1300          bar     625  1.587806  0.922620  3.556314  6.390271  0.00077957  147.0673    0.8950    1.1379       NaN       NaN       NaN       NaN    1.2461
NGC1300          bar     626      -NaN  1.000000  2.791715      -NaN  0.00070697  160.6808   -3.0385   -4.0435       NaN       NaN       NaN       NaN   -3.1310
NGC1300          bar     627  1.000000  1.000000  2.225954  0.678553  0.00084702  186.3004    1.0337    1.4229       NaN       NaN       NaN       NaN    0.9528
NGC1300          bar     628  1.000000  1.000000  2.032476  2.269695  0.00211752  204.1788    7.8221   10.8924       NaN       NaN       NaN       NaN    7.8177
NGC1300          bar     629  1.000000  1.000000  2.306933  3.671977  0.00094850  155.3430    4.7052    6.4455       NaN       NaN       NaN       NaN    4.8118
NGC1300          bar     630  1.076730  1.022527  2.920242  2.485439  0.00071917  115.9895    1.3722    1.8121       NaN       NaN       NaN       NaN    1.4415
NGC1300          bar    1652  0.830438  0.807617  3.067388  2.971318  0.00138849   97.3895   -0.1940   -0.2539   -0.4450   -0.7006       NaN    6.5905   -0.0001
NGC1300          bar    1699  1.000000  1.000000  2.749308  2.671385  0.00108187  163.3312    1.6421    2.1907       NaN       NaN       NaN       NaN    1.5819
NGC1300          bar    1700  1.000000  1.000000  1.853954  1.366149  0.00163354  274.8806    9.1253   12.8434   19.4939   13.2462       NaN   23.1281    9.1735
NGC1300          bar    1701  1.000000  1.000000  1.153467  0.888989  0.00897736  683.9921   36.2397   53.1867   49.9691   22.6830       NaN   94.1622   36.3294
NGC1300          bar    1703  1.000000  1.000000  1.778157  1.688535  0.00149578  306.4141    6.8550    9.6920       NaN       NaN       NaN       NaN    6.8930
NGC1300          bar    1704  1.000000  1.000000  2.664556  2.970443  0.00155143  203.1338   -0.0046   -0.0062       NaN       NaN       NaN       NaN   -0.1476
NGC1300          bar    1705  1.000000  1.000000  3.612862  3.721416  0.00144554  180.2570    4.7124    5.9706       NaN       NaN       NaN       NaN    4.7025
NGC1300          bar    1706  1.000000  1.000000  4.584820  4.711324  0.00255857  183.0939   14.3330   17.1349   17.2485   11.7102       NaN  120.8854   14.1665
NGC1300          bar    1707  1.000000  1.000000  5.568057  5.608744  0.00478339  186.4390   12.8077   14.4375   25.6405   19.1643       NaN   23.4307   12.7808
NGC1300          bar    1708  1.000000  1.000000  6.557503  6.534230  0.00756588  158.3424   12.6681   13.4600   16.5013   11.3032       NaN   85.3268   12.9962
NGC1300          bar    1745  1.000000  1.000000  6.557503  6.554183  0.00997105  176.6703   22.3203   23.7157   31.3434   20.7454       NaN   67.4666   22.1548
NGC1300          bar    1746  1.000000  1.000000  5.568057  5.532824  0.00389574  190.1236   13.1798   14.8570   20.7989   14.0195       NaN   49.2798   13.4160
NGC1300          bar    1747  1.000000  1.000000  4.584820  4.456082  0.00188369  175.2504    7.0455    8.4228   12.8548    9.3768       NaN   32.9277    7.0026
NGC1300          bar    1748  1.000000  1.000000  3.612862  3.653611  0.00091119  172.6611    4.5810    5.8041   10.3079    8.9947       NaN   15.4597    4.9209
NGC1300          bar    1749  1.000000  1.000000  2.664556  2.664232  0.00073396  199.9098   -1.7504   -2.3470       NaN       NaN       NaN       NaN   -1.8641
NGC1300          bar    1750  1.000000  1.000000  1.778157  2.102274  0.00067034  280.1982    0.9274    1.3111       NaN       NaN       NaN       NaN    0.8779
NGC1300          bar    1753  1.000000  1.000000  1.853954  1.460006  0.00111281  235.7234    9.2811   13.0628   18.2199   12.3016       NaN   30.1202    9.2755
NGC1300          bar    1754  1.000000  1.000000  2.749308  2.496517  0.00096406  154.3400    2.4229    3.2325       NaN       NaN       NaN       NaN    2.3698
NGC1300          bar    1801  1.000000  0.839183  3.067388  2.802763  0.00099892  103.5406    0.8971    1.1744       NaN       NaN       NaN       NaN    0.8366
NGC1317          bar     133  1.066403  0.915746  2.650006  2.397250  0.00013456  173.1653    2.0770    2.5732       NaN       NaN       NaN       NaN    1.8493
NGC1317          bar     134  1.000000  1.000000  2.007288  1.714372  0.00358390  338.4509    8.7449   11.4804   17.0579       NaN       NaN   28.9508    9.0284
NGC1317          bar     135  1.000000  1.000000  1.800546  1.463081  0.00713164  484.6000   13.4874   18.0395   20.8969       NaN       NaN   60.4139   13.5434
NGC1317          bar     136  1.000000  1.000000  2.158892  1.779950  0.00389788  377.3968    5.2574    6.8083       NaN       NaN       NaN       NaN    5.5105
NGC1317          bar     137  1.000000  1.000000  2.878497  2.579629  0.00130881  234.5835   -0.8024   -0.9738       NaN       NaN       NaN       NaN   -0.5467
NGC1317          bar     160  1.000000  1.000000  2.100517  2.014273  0.00524678  359.9241   12.0935   15.7436   27.6536       NaN       NaN   14.0687   11.8751
