,CATID,RA,DEC,logMstar,logSEDSFR,O_H_R_RE,log_AGE_RE_lw_ppxf,MET_RE_lw_ppxf,log_AGE_RE_mw_ppxf,MET_RE_mw_ppxf,Zgas
0,9008500107,10.362867,-9.228466000000001,10.237,0.253,8.695227912158865,9.175889791234388,-0.056127246919646934,9.993565835457208,0.07608071376973015,-0.09280173558731164
1,9008500268,10.520939,-9.534439,10.909,0.386,8.631309863364818,9.43160646419749,-0.17445656167114112,9.994935150848839,-0.028585469282245767,-0.18738766419274278
2,9008500535,10.672873,-8.946911,10.568,0.36,8.691317846028083,9.522403683089884,-0.3330768440223531,9.999567640190874,-0.3555291802463449,-0.09858785144764326
3,9008500673,10.798356,-9.637791,11.027000000000001,0.512,8.71948936794895,9.387374856928872,-0.14835506700727655,9.99449965500759,-0.0042172344725610105,-0.05689963330914338
4,9008500907,10.877064,-9.733155,10.193999999999999,0.163,8.603745851128835,9.313481996265743,-0.3794599592726671,9.992828213533627,-0.4778978581467381,-0.22817688949955084
5,9008500646,10.90129,-9.429965,10.603,0.84,8.724997378305348,8.908846476676256,-0.2878564195261579,9.980497510712777,-0.3361919961306621,-0.048748879583746074
6,9008500717,10.911512,-9.522432,9.673,0.141,8.385758429365454,8.903409219234739,-0.8658128296227203,9.992279561776627,-1.2729958485575346,-0.5507546762250008
7,9008501016,11.07668,-9.048554,10.677,-0.13699999999999998,8.71765086671925,9.54451402432099,-0.18014746322819372,9.993697653949267,-0.08925392158797876,-0.05962024742885497
8,9011900807,13.496322,-1.2682679,10.970999999999998,0.33799999999999997,8.755371756957189,9.525115295913055,-0.07022633345232153,9.996449659303682,0.023636452646372503,-0.003800874054752157
9,9011900519,13.674997,-1.123537,10.832,0.354,8.64262812076497,9.60046388401951,-0.24801904133041525,9.99986916262386,-0.16393945972044058,-0.17063890689199823
10,9011900511,13.915401000000001,-0.8766538,9.812000000000001,0.172,8.385362076471324,9.033217958300735,-0.7442952655905308,9.993234231445518,-0.8591574869577103,-0.5513411992377346
11,9011900859,14.189956,-0.67542374,10.267999999999999,0.401,8.702115841096564,9.090819750576369,-0.28227177659883873,9.991261047902732,-0.21685079557608386,-0.08260897834530567
12,9011900166,14.237105999999999,-1.2118506000000002,10.807,1.046,8.67798169546359,9.107267527871493,-0.2560482116372795,9.994072301779847,-0.2949554106022884,-0.11832268705298077
13,9011900521,14.465442000000001,-1.1360116000000002,10.917,0.623,8.75877161936707,9.656105419713636,-0.14810430011364878,10.000526237692895,-0.059235670457413674,0.0012302423393908413
14,9016800343,18.443022,0.3057323,11.040999999999999,0.637,8.75067325951093,9.473392571842878,-0.05895386661930516,9.994757864140254,0.047119856906694194,-0.010753710575727382
15,9016800245,18.481087,0.4119481,10.158999999999999,-0.157,8.592079036685224,9.358487339995056,-0.6084562337780179,9.996057623542523,-0.7979436479445807,-0.24544144151320602
16,9016800425,18.565792000000002,0.7653380999999999,10.968,0.716,8.646665602892872,9.24448149244644,-0.2797101414336413,9.993958073935119,-0.23073333005068344,-0.16466424083912834
17,9016800109,18.607020000000002,0.5360888,10.642999999999999,0.41,8.583988496213559,9.216638753156817,-0.2343495654352799,9.992684042087154,-0.1988089209728724,-0.2574138233031764
18,9016800093,18.682758,0.28602982,10.700999999999999,0.265,8.750967905443662,9.495920573464279,-0.22840540753151695,9.998925468332805,-0.20073037198449006,-0.010317693524468652
19,9016800318,18.734438,0.13068582,10.897,0.7340000000000001,8.703988540217178,9.369942025129637,-0.07423864362215539,9.996839644606533,0.05044820554218617,-0.07983775818662053
20,9016800131,18.747301,0.6184182,9.824,-0.547,8.72016984806572,9.243442977778237,-0.2769230481003881,9.988245132868492,-0.4093952212647738,-0.05589265883234873
21,9016800167,18.784264,0.22709061,10.53,0.264,8.725114001447603,9.170180249404591,-0.2816459842996738,9.994717368559664,-0.2530815841665196,-0.0485763006578388
22,9016800110,18.786627,0.26581296,10.519,0.42100000000000004,8.712099143956364,9.26455259498134,-0.18685534159036687,9.992046595627418,-0.09721729121131796,-0.0678356867733747
23,9016800065,18.837582,0.34295675,10.04,-0.303,8.621562780629926,9.397594171984824,-0.4100361571799322,9.993488985026653,-0.45522712118485203,-0.20181139722383712
24,9016800234,18.860884,0.20531129999999997,9.949,0.10800000000000001,8.633123527354535,8.972416727078723,-0.27686209671849177,9.983322403039551,-0.3825191025333208,-0.18470380422076005
25,9016800092,18.870201,0.51485306,10.228,0.163,8.62541208475461,9.278287745676463,-0.3147689167840389,9.991898755174974,-0.3250863307377679,-0.1961151969801307
26,9016800185,18.936312,0.33240432,10.280999999999999,0.149,8.599598535677814,9.315158162889027,-0.30479964028315604,9.99732489341083,-0.2325129763682461,-0.23431408690397326
27,9016800287,18.949807999999997,0.24104548,10.47,0.29600000000000004,8.61585658640739,9.187366088049775,-0.2288931997691086,9.987956404637119,-0.16570433598126794,-0.21025542343434545
28,208589,129.63253999999998,0.012418,10.898,0.67,8.787904207229287,9.378452241498877,-0.4904206953042689,9.991991894489884,-0.4254609786823712,0.044340645857898764
29,422286,130.14868,2.477044,10.549000000000001,-0.701,8.71008805328036,9.386745447904504,-0.2076627897337795,9.986288912204216,-0.06845082710141001,-0.07081169875572435
30,422289,130.27728000000002,2.576684,9.656,-0.614,8.582739199521479,9.402453296587122,-0.434504944363446,9.99459207975777,-0.5529281593244555,-0.25926253254811726
31,417392,130.39307,2.188847,9.015,-0.632,8.298111400639684,9.21787801381699,-0.9992239484403532,9.99296280133685,-0.7577991120187897,-0.6804547493333963
32,422359,130.55487,2.624612,10.172,0.125,8.661335772156281,9.196895191919953,-0.262847432439201,9.997249851252844,-0.12887900787213688,-0.14295532436313607
33,422366,130.5956,2.497329,9.756,-0.337,8.407099734034611,9.278036671556695,-0.7160805434383795,9.993821806250262,-0.8915632659405087,-0.5191738135755823
34,573915,130.61363,-0.14516700000000002,10.842,0.361,8.626080381133804,9.437136345877471,-0.34238152895629204,9.996914921803363,-0.3310623137392225,-0.19512625199819844
35,517070,130.6424,2.4277740000000003,10.275,0.02,8.539085255382407,9.391924866696,-0.5072353019676862,9.998072935751017,-0.6659669126764114,-0.32386163908511456
36,202673,130.65276,-0.230971,10.720999999999998,0.16399999999999998,8.656961155479399,9.525752587400737,-0.18377009700945668,9.998375795117935,-0.14842436770067213,-0.14942888212158678
37,521736,130.67893999999998,2.873194,10.01,0.65,8.533810694520906,8.532230932555988,-0.7551330922327238,9.981741386213326,-0.7846332822027943,-0.33166693424796456
38,323194,130.8163,1.4840950000000002,8.535,-1.4140000000000001,8.152966979785145,9.166897924430463,-1.015776159012204,9.981315004503776,-1.1625826376177095,-0.8232305150341226
39,521753,130.8583,2.90583,9.969,-0.065,8.62152161200215,9.165915342085423,-0.4819263739061608,9.989602560820565,-0.7305689481862672,-0.20187231855921972
40,323224,130.98705,1.584293,8.463,-1.104,8.110318676704235,9.02881049331472,-0.9665022303203984,9.966518409078645,-1.0164470624527149,-0.8661304431032093
41,323242,131.00308,1.671328,9.626,-0.083,8.463322497425281,9.051956435968993,-0.6998456972705863,9.99191121967936,-0.9981851653919084,-0.43597536831006956
42,574008,131.02733999999998,-0.103498,10.306,0.457,8.504384208360637,8.930238485423402,-0.4322855562292465,9.982902579437306,-0.6092604263448588,-0.3752122484679301
43,521768,131.07263,2.881174,10.353,0.040999999999999995,8.628354063200558,-999.0,-999.0,-999.0,-999.0,-0.19176165727581562
44,345754,131.11856,2.063963,10.323,0.511,8.760570667124684,9.32632965596993,-0.4514289957468932,9.990267503522132,-0.4591683321869214,0.0038924732111063065
45,517167,131.16138,2.4109849999999997,9.36,-0.467,8.402413712358639,8.998629136771399,-0.7338087409405775,9.991022678055591,-0.6999937594972672,-0.5261081884516869
