HRS no HIdef: galaxyname  logMHIMstar  logMdustMstar   logMHIMstar_low  logMdustMstar_low  logMHIMstar_high  logMdustMstar_high
HRS140     -1.2600002     -3.1974707      0.1088126      0.1452781      0.1188350      0.1878835
HRS142      0.0479994     -2.8960032      0.1188350      0.1222331      0.1294694      0.1442638
HRS143     -0.2770004     -2.5934429      0.2106387      0.2157004      0.1645342      0.2030820
HRS145     -0.5070000     -2.6950016      0.0950996      0.1308265      0.1836486      0.3151526
HRS146     -0.7419996     -2.7205591      0.1836486      0.1967809      0.1349964      0.1616318
HRS147     -0.7319994     -2.6094384      0.2392932      0.2427241      0.1583870      0.1902501
HRS148     -0.2519999     -2.3299923      0.1464449      0.1664867      0.1349964      0.2337046
HRS154     -0.0319996     -2.3928590      0.0650890      0.1340686      0.2542349      0.3626836
HRS157     -0.5469999     -2.7548876      0.1583870      0.1614745      0.1771671      0.1851501
HRS169     -0.8570004     -2.7423267      0.1836486      0.2067925      0.2319754      0.3340061
HRS177     -0.6219997     -2.9110365      0.1645342      0.1712315      0.1240797      0.1371829
HRS182     -0.5520000     -2.7488003      0.1464449      0.1539245      0.1464449      0.1712621
HRS187      0.0279999     -2.3229408      0.1240797      0.1422708      0.1645342      0.2262995
HRS188     -0.4020004     -2.6152134      0.1406569      0.1464517      0.1240797      0.2007040
HRS189     -0.6419992     -2.6767702      0.1836486      0.1952529      0.2695885      0.2972960
HRS194     -0.5500002     -2.5250740      0.1406569      0.1407363      0.1645342      0.1731744
HRS196      0.1479998     -2.4416685      0.1188350      0.1404967      0.1707950      0.2242736
HRS201     -0.9200001     -3.0960832      0.1645341      0.1610894      0.1406568      0.1405405
HRS203      0.1280003     -2.5136337      0.1240797      0.1276984      0.0994785      0.1165211
HRS204     -0.8000002     -2.6488810      0.1771671      0.1791174      0.1902366      0.1906668
HRS205     -0.6800003     -2.8557181      0.1645342      0.1682976      0.1645342      0.1786742
HRS212      0.2879992     -2.7806358      0.1583870      0.1797225      0.1969323      0.3052036
HRS213     -0.8900003     -2.8954144      0.1406569      0.1365647      0.1088126      0.1026125
HRS215     -1.0200005     -3.0590420      0.1682774      0.1650845      0.1523562      0.1530351
HRS216     -1.2400007     -3.0885458      0.1902366      0.1874180      0.1406569      0.1383988
HRS227      0.7530003     -2.3226261      0.1294694      0.1599906      0.1240797      0.2419732
HRS237     -0.7869997     -2.8811512      0.1349963      0.1496062      0.0950996      0.1763095
HRS239     -1.0419998     -2.8978710      0.1583870      0.1591823      0.1240797      0.1245802
