HRS no HIdef: galaxyname  logMHIMstar  logMdustMstar   logMHIMstar_low  logMdustMstar_low  logMHIMstar_high  logMdustMstar_high
JINGLE111     -0.7500000     -2.9403663      0.1294694      0.1531901      0.1294694      0.2034793
JINGLE118     -0.5200005     -2.8416262      0.1242268      0.1332639      0.1242268      0.1405796
JINGLE121     -0.7630005     -2.9592228      0.1124458      0.1557081      0.1124458      0.2670246
JINGLE122     -0.6300001     -2.7940817      0.1242268      0.1444488      0.1242268      0.2361923
JINGLE123     -0.1800003     -2.5491447      0.1242268      0.1412394      0.1242268      0.2003832
JINGLE125     -0.9400005     -2.9446135      0.1242268      0.1526399      0.1242268      0.1867430
JINGLE127     -0.6300001     -2.7260065      0.1242268      0.1481793      0.1242268      0.2014704
JINGLE131     -0.8490000     -2.7251930      0.1129242      0.1449735      0.1129242      0.1712634
JINGLE135     -0.0369997     -2.3187819      0.1294694      0.1559015      0.1294694      0.2087765
JINGLE136     -1.3490000     -2.9033098      0.1135482      0.1358758      0.1135482      0.1587586
JINGLE138      0.0480003     -2.4925089      0.1125952      0.1891930      0.1125952      0.3742497
JINGLE144     -1.1339998     -3.1353912      0.1127410      0.1377129      0.1127410      0.1497731
JINGLE146      0.0880003     -2.3312216      0.1294694      0.1405668      0.1294694      0.1560117
JINGLE147     -0.8640003     -3.0047698      0.1123920      0.1317711      0.1123920      0.1507516
JINGLE148     -0.7980003     -2.7148294      0.1129242      0.1387758      0.1129242      0.1602162
JINGLE149     -0.4449997     -2.7725205      0.1123919      0.1412489      0.1123919      0.1727832
JINGLE151     -0.4100008     -2.8559198      0.1242268      0.1558301      0.1242268      0.2244960
JINGLE152     -0.6599998     -2.5776796      0.1242268      0.1404935      0.1242268      0.1573039
JINGLE154     -1.2399998     -3.0365686      0.1242268      0.1309866      0.1242268      0.1446266
JINGLE156     -0.8299999     -2.8677497      0.1242268      0.1400029      0.1242268      0.1652977
JINGLE160     -0.3519993     -2.7112942      0.1242268      0.1459787      0.1242268      0.1741479
JINGLE163     -1.1280003     -2.7000279      0.1128279      0.1534689      0.1128279      0.2739107
JINGLE165     -1.1920004     -2.9247146      0.1137019      0.1358708      0.1137019      0.1465544
JINGLE173     -0.1000004     -2.7502947      0.1242268      0.1551355      0.1242268      0.1841941
JINGLE175     -0.1810007     -2.4513316      0.1124865      0.1609345      0.1124865      0.2353153
JINGLE183     -0.9199991     -3.2423854      0.1294694      0.1464426      0.1294694      0.1802219
JINGLE184     -0.7000008     -2.6405425      0.1126634      0.1475683      0.1126634      0.2418879
JINGLE189     -0.0799999     -2.5659170      0.1242268      0.1404227      0.1242268      0.1788755
JINGLE191     -0.6980000     -2.8901949      0.1123919      0.1422672      0.1123919      0.1662669
JINGLE0     -1.6090002     -3.6265898      0.1318198      0.1543538      0.1318198      0.1916796
JINGLE1     -0.2570000     -2.8293362      0.1242269      0.1823718      0.1242269      0.5132101
JINGLE2      0.3730001     -2.3015757      0.1242268      0.2985409      0.1242268      1.8595773
JINGLE6     -0.4319992     -2.3083467      0.1294694      0.1941942      0.1294694      0.3035590
JINGLE7     -0.5570002     -2.5915852      0.1425964      0.1557527      0.1425964      0.2684542
JINGLE8     -0.2770004     -2.8822589      0.1294694      0.1859590      0.1294694      0.2902930
JINGLE9      0.0179996     -2.8084888      0.1294693      0.1681665      0.1294693      0.3026251
JINGLE12     -0.0220003     -2.4020247      0.1242268      0.1813979      0.1242268      0.3116270
JINGLE13      0.2579994     -2.3530126      0.1294694      0.1912556      0.1294694      0.3526507
JINGLE17      0.2280006     -2.4700823      0.1294694      0.1848257      0.1294694      0.2974794
JINGLE18      0.3879995     -1.9899158      0.1294694      0.2278635      0.1294694      0.4356246
JINGLE20     -1.0430002     -3.3112822      0.1123919      0.1738520      0.1123919      0.3654304
JINGLE21      0.1879997     -2.3359327      0.1242268      0.2250951      0.1242268      0.6934421
JINGLE24      0.3619995     -2.1694918      0.1124458      0.2502517      0.1124458      0.4587305
JINGLE27     -0.5299997     -3.1587191      0.1242268      0.1796407      0.1242268      0.3786355
JINGLE30     -0.3719997     -2.6989279      0.1294694      0.2049946      0.1294694      0.3606169
JINGLE31     -0.3020000     -2.6914873      0.1294694      0.1706311      0.1294694      0.3195759
JINGLE32     -0.1119995     -2.5761299      0.1294694      0.1731744      0.1294694      0.2699581
JINGLE35     -0.9319992     -2.9723225      0.1123919      0.1422989      0.1123919      0.2175585
JINGLE38     -0.4020004     -2.8882155      0.1294694      0.1477854      0.1294694      0.1726922
JINGLE39      0.0979996     -2.3924608      0.1242268      0.1771707      0.1242268      0.2336967
JINGLE46      0.0080004     -2.6623096      0.1242268      0.2296301      0.1242268      0.5256346
JINGLE48     -0.3399992     -2.8354545      0.1242268      0.1311339      0.1242268      0.1485794
JINGLE50      0.2679996     -1.7432427      0.1294694      0.2895952      0.1294694      0.5666943
JINGLE52     -0.5500002     -2.7860317      0.1242268      0.1815846      0.1242268      0.3022623
JINGLE53     -0.6919994     -2.7448359      0.1130300      0.1817509      0.1130300      0.2135221
JINGLE54     -1.2400007     -2.9217186      0.1356080      0.1394206      0.1356080      0.1464376
JINGLE55     -1.1800003     -3.2848969      0.1294694      0.1365097      0.1294694      0.1463165
JINGLE57     -1.0290003     -2.5232048      0.1129242      0.1631753      0.1129242      0.3961305
JINGLE61     -0.9020004     -3.3319740      0.1123919      0.1614579      0.1123919      0.2957840
JINGLE63      0.0380001     -3.1962156      0.1294694      0.1981288      0.1294694      0.3807828
JINGLE69      0.0780001     -2.5620251      0.1294694      0.1595255      0.1294694      0.2027433
JINGLE73      0.1949997     -2.2760849      0.1124144      0.1794151      0.1124144      0.2504630
JINGLE75     -0.4300003     -2.7383661      0.1242268      0.1619442      0.1242268      0.2832406
JINGLE78     -0.4480000     -2.6580153      0.1126634      0.1985349      0.1126634      0.4719492
JINGLE79      0.0279999     -2.7520647      0.1242268      0.1876649      0.1242268      0.2349113
JINGLE80      0.0030003     -2.5370884      0.1294694      0.1846692      0.1294694      0.4261093
JINGLE83     -0.4600000     -2.7065253      0.1242268      0.1492169      0.1242268      0.2392892
JINGLE87     -1.1000004     -2.9641552      0.1294694      0.1582750      0.1294694      0.2141769
JINGLE88      0.0730000     -2.6721067      0.1242268      0.1807349      0.1242268      0.4354614
JINGLE92     -0.3299999     -2.5535326      0.1242268      0.1577194      0.1242268      0.1865707
JINGLE93      0.2180004     -2.1709337      0.1294694      0.1795603      0.1294694      0.2744499
JINGLE96      0.3930006     -2.6581998      0.1242268      0.2331187      0.1242268      0.6289107
JINGLE97     -0.1899996     -2.8569894      0.1242268      0.1819551      0.1242268      0.4421641
JINGLE98     -0.1700001     -2.7591867      0.1242268      0.1751983      0.1242268      0.2773920
JINGLE103      0.1929998     -2.2668810      0.1242268      0.1419700      0.1242268      0.1982682
JINGLE105     -0.3070002     -2.6481991      0.1242268      0.1473151      0.1242268      0.1673957
JINGLE107     -0.4400005     -2.4960127      0.1242268      0.1857544      0.1242268      0.3111716
JINGLE109     -0.6990004     -2.7539635      0.1128279      0.1715674      0.1128279      0.2825277
JINGLE110      0.5980005     -2.1217208      0.1242268      0.2986801      0.1242268      1.4680204
JINGLE112     -0.3809996     -2.2428904      0.1125951      0.1972284      0.1125951      0.3213694
JINGLE113      0.1379995     -2.5756702      0.1242268      0.1711166      0.1242268      0.3677993
JINGLE114     -0.5699997     -2.9072695      0.1242268      0.1510710      0.1242268      0.1828138
JINGLE115     -0.8240004     -2.7504687      0.1137019      0.1419295      0.1137019      0.1761678
JINGLE117     -0.2550001     -1.9376493      0.1128279      0.3631646      0.1128279      1.7380329
JINGLE120      0.1479998     -1.9245014      0.1242268      0.2410295      0.1242268      0.6485860
JINGLE128     -0.4300003     -2.7513947      0.1242268      0.1558189      0.1242268      0.1935476
JINGLE129     -0.9259996     -3.0016675      0.1128279      0.1878947      0.1128279      0.3247723
JINGLE132     -0.8200006     -3.0044098      0.1242268      0.1592923      0.1242268      0.2690338
JINGLE133     -0.3000002     -2.6866708      0.1242268      0.1393309      0.1242268      0.1431435
JINGLE134     -0.4699993     -2.7342763      0.1242268      0.1631745      0.1242268      0.2335282
JINGLE137     -0.2819996     -2.6052418      0.1132700      0.3361202      0.1132700      6.0362320
JINGLE139     -0.5400000     -2.6006775      0.1242268      0.1770509      0.1242268      0.3325279
JINGLE140      0.2109995     -1.8590574      0.1126635      0.1710687      0.1126635      0.2716157
JINGLE141     -0.1370001     -2.2155728      0.1242268      0.1583039      0.1242268      0.2231124
JINGLE143     -0.1900005     -2.6284900      0.1242269      0.1578844      0.1242269      0.2325823
JINGLE145     -0.2370005     -3.2212458      0.1242268      0.1896879      0.1242268      0.3083751
JINGLE155     -0.9619999     -2.9445419      0.1128279      0.1659364      0.1128279      0.2007488
JINGLE161      0.2930002     -1.6127448      0.1124458      0.2271719      0.1124458      0.4989961
JINGLE162     -0.6840000     -2.7235112      0.1125952      0.1502300      0.1125952      0.2499180
JINGLE164     -0.3610001     -2.9668083      0.1125362      0.1737341      0.1125362      0.3823155
JINGLE166     -0.7600002     -2.8853960      0.1294694      0.1551892      0.1294694      0.2461661
JINGLE167     -0.3299999     -2.4793940      0.1242268      0.1438020      0.1242268      0.1726366
JINGLE168     -0.7469997     -2.6399488      0.1125362      0.1750343      0.1125362      0.2883932
JINGLE169     -0.0120001     -2.3209038      0.1126634      0.1662481      0.1126634      0.2299829
JINGLE170     -0.5749998     -2.7193995      0.1127410      0.1737667      0.1127410      0.2241558
JINGLE172     -0.6260004     -2.7629499      0.1127410      0.1731794      0.1127410      0.2781202
JINGLE174     -0.0260000     -1.5055709      0.1142205      0.2667627      0.1142205      0.5231261
JINGLE176     -0.7930002     -2.7505798      0.1130300      0.1478451      0.1130300      0.1849848
JINGLE178     -0.5190001     -2.8235884      0.1123920      0.1545646      0.1123920      0.2601991
JINGLE181     -0.4869995     -2.5805435      0.1130300      0.1546988      0.1130300      0.2513860
JINGLE185     -1.3540001     -2.9674258      0.1127410      0.1761428      0.1127410      0.2775798
JINGLE187     -0.1799994     -2.5202293      0.1124458      0.1713747      0.1124458      0.4270810
HAPLESS: galaxyname  logMHIMstar  logMdustMstar   logMHIMstar_low  logMdustMstar_low  logMHIMstar_high  logMdustMstar_high
CGCG019-084     -0.3470001     -2.8226767      0.1645342      0.1811619      0.1583870      0.2157414
NGC5750     -1.5100002     -3.4678926      0.2319753      0.2458348      0.0909328      0.1395053
PGC051719      0.0780001     -2.6311617      0.1583870      0.1975587      0.1406569      0.3359374
UGC06877     -0.8570004     -3.6144571      0.1188350      0.1488646      0.1583870      0.2295666
UGC09348     -0.4419994     -2.8274975      0.1969323      0.2178440      0.1707950      0.3137500
PGC037392      0.0529995     -2.5382667      0.1523562      0.3298688      0.1771671      1.1131635
UGC07396     -0.0020008     -2.5261660      0.2319753      0.3925927      0.1707950      3.2854266
UM452     -0.5869999     -3.2680798      0.2106387      0.3480821      0.1969323      1.4428163
UM491      0.8880005     -2.8316479      0.1294694      0.3172686      0.1294694      4.1436005
HIGH: galaxyname  logMHIMstar  logMdustMstar   logMHIMstar_low  logMdustMstar_low  logMHIMstar_high  logMdustMstar_high
UGC06578      0.8029995     -2.7820511      0.0909327      0.2825568      0.0909327      0.2825568
NGC4030     -0.7100000     -3.0107746      0.1188349      0.1119667      0.1188349      0.1119667
UGC04996      0.4829998     -2.4079914      0.1349964      0.2099729      0.1349964      0.2099729
NGC5496      0.5730000     -2.3467832      0.0832992      0.1265991      0.0832992      0.1265991
NGC5584     -0.2119999     -2.4697285      0.2037333      0.2086934      0.2037333      0.2086934
UGC09215      0.2480001     -2.3746319      0.0767307      0.1269993      0.0767307      0.1269993
NGC5690     -0.4800005     -2.7772121      0.1188350      0.1133166      0.1188350      0.1133166
NGC5691     -0.8500004     -3.1607280      0.2219031      0.2225238      0.2219031      0.2225238
NGC5713     -0.5000000     -3.1064720      0.1406569      0.1368586      0.1406569      0.1368586
NGC5719     -0.7200003     -3.3344870      0.1088126      0.1088927      0.1088126      0.1088927
NGC5740     -0.5400000     -3.0950584      0.0994785      0.1037732      0.0994785      0.1037732
NGC5746     -1.4700003     -3.3234158      0.1294694      0.1249270      0.1294694      0.1249270
IC1011     -0.4300003     -2.7313499      0.0994785      0.1260054      0.0994785      0.1260054
UGC07000     -0.0120001     -2.7514162      0.2037333      0.2343583      0.2037333      0.2343583
UGC09470      0.2229996     -2.8476372      0.1583870      0.2331998      0.1583870      0.2331998
UGC04684      0.2279997     -2.6919942      0.1902366      0.3012091      0.1902366      0.3012091
UGC06780      0.8680000     -2.2170315      0.1464449      0.3478873      0.1464449      0.3478873
UGC06903     -0.2069998     -2.6483932      0.1969323      0.2137632      0.1969323      0.2137632
UGC07531      0.4530001     -2.8955245      0.1088126      0.3026859      0.1088126      0.3026859
UGC09299      1.3279991     -2.2321796      0.0738992      0.2234858      0.0738992      0.2234858
NGC5705      0.4380007     -1.9724169      0.1464449      0.1972155      0.1464449      0.1972155
NGC5725     -0.2019997     -2.8089662      0.1583870      0.2204395      0.1583870      0.2204395
2MASXJ14265308+0057462      0.0229998     -2.3231163      0.1040539      0.2413053      0.1040539      0.2413053
IC1010     -0.2699995     -2.8551836      0.3438388      0.3820521      0.3438388      0.3820521
NGC4202      0.1099997     -2.7969151      0.1294694      0.1570148      0.1294694      0.1570148
