# FIREbox (Feldmann et al., 2022)
# Fig. 5 left, all galaxies
# Extracted using WebPlotDigitizer
# log10(Mstar/Msun)	log10(SFR/Msun yr^-1)
8.048	-1.9770114942528734
8.363999999999999	-1.6149425287356323
8.639999999999999	-1.298850574712644
8.943999999999999	-0.8850574712643677
9.264	-0.6091954022988508
9.52	-0.4195402298850577
9.836	-0.149425287356322
10.128	0.16091954022988508
10.428	0.3908045977011494
10.7	0.5517241379310345
11.056000000000001	0.8333333333333334
11.344000000000001	1.0804597701149425
