HRS no HIdef: galaxyname  logMHIMstar  logMdustMmetals   logMHIMstar_low  logMdustMmetals_low  logMHIMstar_high  logMdustMmetals_high
HRS246     -0.6300001     -0.7489262      0.1523562      0.0684091      0.1088126      0.1004549
HRS247     -0.7399998     -0.4306679      0.1188350      0.0615360      0.1406569      0.0763825
HRS252      0.0180006     -0.6546960      0.1349964      0.1408466      0.1523562      0.4506897
HRS259      0.2030001     -0.9626784      0.1902366      0.1456521      0.2037333      0.4592994
HRS262      0.1529999     -0.7667203      0.1137430      0.0844202      0.1188349      0.1402266
HRS267     -0.3570004     -0.6469984      0.1836486      0.1068610      0.1583870      0.2387391
HRS268     -0.4870005     -0.5411119      0.1464450      0.0623899      0.1464450      0.0928307
HRS271     -0.5120001     -0.4540453      0.1707949      0.1034544      0.1406568      0.2463774
HRS281     -0.6619997     -0.6199269      0.1294694      0.1362264      0.1523562      0.2525058
HRS283      0.0480003     -0.9245815      0.1523562      0.0682264      0.1645342      0.1001163
HRS284     -1.0520000     -0.5400610      0.1836486      0.0593708      0.1746041      0.0606148
HRS287     -0.6120005     -0.5501094      0.1523562      0.0785134      0.1349964      0.1596240
HRS290     -0.7720003     -0.7801733      0.1645342      0.0778229      0.1240797      0.1484694
HRS293     -0.2620001     -0.5190005      0.1464449      0.0741266      0.1583870      0.1398168
HRS295     -0.8400002     -0.5882025      0.1406569      0.0670210      0.1294694      0.1013951
HRS297     -0.5000000     -0.4636893      0.1219642      0.0704889      0.1523562      0.0928675
HRS298     -0.2720003     -0.7041583      0.1294693      0.0739312      0.1406569      0.1118582
HRS299     -0.6820002     -0.3893437      0.1088126      0.1021185      0.1583870      0.2611997
HRS301     -0.4120007     -0.4627032      0.1707950      0.1133338      0.1240797      0.3706145
HRS309      0.2830000     -0.8612967      0.1969323      0.1200039      0.2106387      0.2456821
HRS314      0.1080008     -0.6369295      0.1088126      0.1125363      0.1969323      0.2075126
HRS318     -0.2620001     -0.6593709      0.1645342      0.0866775      0.1406569      0.1748594
HRS319     -0.1220007     -0.6151295      0.2176478      0.1028351      0.0798713      0.2260845
HRS320     -0.0469999     -0.4806037      0.1464449      0.1220417      0.1294693      0.2888815
HRS321     -0.6020002     -0.5660057      0.1294694      0.0740794      0.1707950      0.1209101
HRS33     -0.3319998     -0.9004712      0.1240797      0.0861155      0.1349963      0.1026210
HRS39     -0.0269995     -0.7611670      0.1464449      0.1309190      0.1583870      0.3863303
HRS44     -0.3670006     -0.4887414      0.1294693      0.1167016      0.1406568      0.1702411
HRS47      0.0279999     -0.7307491      0.1836486      0.1590663      0.1464449      0.2065771
HRS62      0.4379997     -0.8104415      0.1188350      0.1457724      0.1294694      0.4629104
HRS66     -0.5420008     -0.5844183      0.1349964      0.0612183      0.1272957      0.0631933
HRS68     -1.0419998     -0.3394580      0.1406569      0.0930864      0.1583870      0.1384117
HRS118      0.4379997     -0.9823246      0.1137430      0.2177394      0.1523562      0.9455310
HRS139     -0.3020000     -0.6824975      0.1771671      0.1082057      0.1137430      0.2520922
HRS158      0.1480007     -0.4480658      0.1836486      0.2637131      0.1464449      0.8936925
HRS198     -0.5570002     -0.4086981      0.1464449      0.1098849      0.1645342      0.3162023
HRS238      0.5929995     -1.5869417      0.2467121      0.2587953      0.2542349      0.8625045
HRS266      0.6629992     -0.8894701      0.1523563      0.1303958      0.1464449      0.4581676
HRS302     -0.0869999     -0.4764838      0.1523562      0.1796686      0.1523562      0.5706292
HRS308     -0.2570000     -1.2013812      0.1406569      0.1315262      0.2037333      0.2766976
HRS317     -0.1870003     -0.8505602      0.1523562      0.2070854      0.1294694      0.7154545
HRS HIdef: galaxyname  logMHIMstar  logMdustMmetals   logMHIMstar_low  logMdustMmetals_low  logMHIMstar_high  logMdustMmetals_high
HRS83     -0.5719995     -0.4524326      0.1707949      0.1844229      0.1645342      0.6419184
HRS130     -0.6820002     -0.5187984      0.1406569      0.0960018      0.1583870      0.2767191
HRS152     -1.0420008     -0.5071917      0.1240797      0.0793151      0.1240797      0.1092952
HRS153     -0.9519997     -0.4159837      0.1523562      0.0860342      0.2037333      0.1765128
HRS171     -1.1719999     -0.4797010      0.1836486      0.0761453      0.1240797      0.0760650
HRS193     -0.5720005     -0.3479276      0.1349964      0.0951262      0.1464450      0.1900556
HRS197     -0.8420000     -0.4075842      0.1771671      0.0788052      0.1240797      0.1138231
HRS206     -1.3119998     -0.4354682      0.1645340      0.1017396      0.1645340      0.2463325
HRS230     -0.6269999     -0.4985871      0.2542348      0.0816229      0.2392932      0.1281955
HRS294     -0.7570000     -0.4956293      0.1707949      0.0882117      0.1188349      0.1760680
HRS310     -0.8870001     -0.5366864      0.1771671      0.0894077      0.1559609      0.1949708
HRS21     -0.5620003     -0.3259759      0.2037333      0.1614874      0.1771671      0.4928724
HRS58     -0.7170000     -0.4279747      0.1523562      0.1087278      0.1188349      0.1078093
HRS99     -1.0619998     -0.4484773      0.1583868      0.0818007      0.1707948      0.1011920
HRS165     -0.6070004     -0.4423761      0.1583870      0.1793434      0.1523562      0.4318936
HRS191     -0.4520006     -0.6371398      0.1645342      0.1666296      0.1707949      0.4136740
HRS199     -1.2770004     -0.4015899      0.1771669      0.1573340      0.0994782      0.3860182
HRS223     -0.3570004     -0.3319221      0.1645342      0.2482279      0.1583870      0.8422261
HRS225     -1.0670004     -1.0594683      0.2933935      0.3430031      0.0798709      5.4181681
HRS305     -1.5470004     -0.3864093      0.2542347      0.2832788      0.1137427      0.6888235
HRS313     -0.6870003     -0.3515549      0.1707950      0.1120315      0.1188349      0.2897493
KINGFISH: galaxyname  logMHIMstar  logMdustMmetals   logMHIMstar_low  logMdustMmetals_low  logMHIMstar_high  logMdustMmetals_high
NGC1482     -1.1902332     -0.3494053      0.1123741      0.1019542      0.1123741      0.1019542
NGC5866     -2.2001867     -0.4401026      0.1123741      0.0969348      0.1123741      0.0969348
JINGLE: galaxyname  logMHIMstar  logMdustMmetals   logMHIMstar_low  logMdustMmetals_low  logMHIMstar_high  logMdustMmetals_highh
JINGLE3     -0.4560003     -0.3824735      0.1132701      0.1094878      0.1132701      0.1094878
JINGLE4     -0.6120005     -0.6789570      0.1294693      0.1030109      0.1294693      0.1030109
JINGLE5     -0.2399998     -0.8112164      0.1262132      0.1020621      0.1262132      0.1020621
JINGLE10     -0.5979996     -0.8694868      0.1267333      0.1108089      0.1267333      0.1108089
JINGLE15      0.1689997     -1.0895662      0.1124144      0.1152503      0.1124144      0.1152503
JINGLE16     -0.4119997     -0.6551366      0.1356080      0.1378300      0.1356080      0.1378300
JINGLE19     -1.1840000     -0.4457774      0.1123919      0.1279015      0.1123919      0.1279015
JINGLE22     -0.5600004     -0.6380486      0.1294694      0.1106403      0.1294694      0.1106403
JINGLE23     -1.0000000     -0.6240821      0.1294694      0.1029713      0.1294694      0.1029713
JINGLE25     -0.7600002     -0.5624924      0.1294693      0.1012102      0.1294693      0.1012102
JINGLE26     -0.2570000     -0.7196674      0.1294694      0.1068587      0.1294694      0.1068587
JINGLE28     -0.2570000     -0.7502747      0.1294694      0.1231028      0.1294694      0.1231028
JINGLE33     -0.2190008     -0.9104590      0.1124458      0.0896686      0.1124458      0.0896686
JINGLE34     -0.1320000     -0.5977859      0.1294694      0.1185067      0.1294694      0.1185067
JINGLE36     -0.6079998     -0.4335313      0.1128279      0.1323164      0.1128279      0.1323164
JINGLE40     -0.4600000     -0.7343078      0.1242268      0.1027738      0.1242268      0.1027738
JINGLE41     -0.9600000     -0.5291224      0.1294694      0.0945218      0.1294694      0.0945218
JINGLE43     -0.1500006     -0.9370298      0.1294694      0.0819669      0.1294694      0.0819669
JINGLE44     -0.5299997     -0.7010031      0.1294694      0.1102002      0.1294694      0.1102002
JINGLE45     -0.7399998     -0.6426268      0.1294693      0.1052064      0.1294693      0.1052064
JINGLE47     -1.1030006     -0.4999843      0.1123919      0.0970992      0.1123919      0.0970992
JINGLE49     -1.2209997     -0.2789903      0.1126634      0.1058052      0.1126634      0.1058052
JINGLE51     -0.2300005     -0.8287344      0.1242268      0.0951334      0.1242268      0.0951334
JINGLE56     -0.8699999     -0.7121267      0.1294694      0.0926364      0.1294694      0.0926364
JINGLE58     -0.5100002     -0.5489626      0.1356080      0.1768206      0.1356080      0.1768206
JINGLE60     -0.0099993     -0.5990171      0.1125361      0.1557124      0.1125361      0.1557124
JINGLE64     -0.0850000     -0.3726420      0.1129242      0.1455504      0.1129242      0.1455504
JINGLE66     -0.3099995     -0.8665180      0.1242268      0.1078069      0.1242268      0.1078069
JINGLE70     -1.1760006     -0.4067807      0.1127410      0.1153149      0.1127410      0.1153149
JINGLE71      0.1530008     -0.8111591      0.1242268      0.1171585      0.1242268      0.1171585
JINGLE72     -0.8190002     -0.2307129      0.1140379      0.0927661      0.1140379      0.0927661
JINGLE74      0.0629997     -0.5642457      0.1294694      0.1223902      0.1294694      0.1223902
JINGLE76     -1.0000000     -0.7452989      0.1123919      0.0972789      0.1123919      0.0972789
JINGLE77     -0.1000004     -0.7858925      0.1242268      0.0881863      0.1242268      0.0881863
JINGLE81     -1.6719999     -0.1911159      0.1160315      0.1146533      0.1160315      0.1146533
JINGLE82      0.2130003     -0.6750937      0.1294694      0.1609273      0.1294694      0.1609273
JINGLE84     -0.7900000     -0.5777364      0.1294694      0.1120252      0.1294694      0.1120252
JINGLE85     -0.5820007     -0.7311997      0.1425964      0.1252944      0.1425964      0.1252944
JINGLE86     -0.5000000     -0.7585845      0.1242268      0.1056075      0.1242268      0.1056075
JINGLE89     -0.5489998     -0.6424122      0.1126634      0.0989031      0.1126634      0.0989031
JINGLE90     -0.0220003     -0.6173468      0.1242268      0.1272887      0.1242268      0.1272887
JINGLE99     -0.1399994     -0.7929277      0.1242268      0.1040936      0.1242268      0.1040936
JINGLE100     -0.2130003     -0.6554403      0.1124458      0.1034324      0.1124458      0.1034324
JINGLE101     -0.5200005     -0.4877310      0.1242268      0.0855364      0.1242268      0.0855364
JINGLE102      0.4080000     -0.9695873      0.1242268      0.0996723      0.1242268      0.0996723
JINGLE106     -1.1970005     -0.3849525      0.1129242      0.1130646      0.1129242      0.1130646
JINGLE108      0.0930004     -0.8569155      0.1242268      0.0933146      0.1242268      0.0933146
JINGLE111     -0.7500000     -0.6980977      0.1294694      0.1156088      0.1294694      0.1156088
JINGLE118     -0.5200005     -0.8291407      0.1242268      0.0852758      0.1242268      0.0852758
JINGLE121     -0.7630005     -0.7125835      0.1124458      0.1206036      0.1124458      0.1206036
JINGLE122     -0.6300001     -0.6442070      0.1242268      0.1029579      0.1242268      0.1029579
JINGLE123     -0.1800003     -0.7558842      0.1242268      0.0992945      0.1242268      0.0992945
