HRS no HIdef: galaxyname  logMHIMstar  logMdustMmetals   logMHIMstar_low  logMdustMmetals_low  logMHIMstar_high  logMdustMmetals_high
NGC5740     -0.5400000     -0.8791695      0.0994785      0.0713217      0.0994785      0.0881090
IC1011     -0.4300003     -0.7122326      0.0994785      0.1009671      0.0994785      0.2020746
UGC07000     -0.0120001     -0.7756124      0.2037333      0.1328663      0.2037333      0.2707176
UGC09470      0.2229996     -0.8372655      0.1583870      0.1831392      0.1583870      0.4034050
UGC04684      0.2279997     -1.1145272      0.1902366      0.2423971      0.1902366      1.5640281
UGC06780      0.8680000     -1.1083608      0.1464449      0.3221743      0.1464449      1.4740163
UGC06903     -0.2069998     -0.7037911      0.1969323      0.1054962      0.1969323      0.1553448
UGC09299      1.3279991     -1.5292740      0.0738992      0.2206827      0.0738992      0.7453157
NGC5705      0.4380007     -0.6546621      0.1464449      0.1471860      0.1464449      0.3082972
NGC5725     -0.2019997     -0.6999002      0.1583870      0.1665772      0.1583870      0.4700511
2MASXJ14265308+0057462      0.0229998     -0.5822034      0.1040539      0.2272021      0.1040539      0.8354777
NGC4202      0.1099997     -1.2279654      0.1294694      0.1099672      0.1294694      0.1394964
