# cosmic star formation rate density from Bouwens et al. (2015)
#   IR data
#   cosmology is H0=70, OmegaM=0.3 OmegaL=0.7
#   Uses a Salpeter IMF 0.1 - 100
#   z   sfrd (Msol/yr/Mpc^3)   sfrderror_up  _down
4.0     -1.59                   0.01        -0.01
5.0     -1.69                   0.01        -0.01
6.0     -1.97                   0.02        -0.02
7.0     -2.09                   0.06        -0.06
8.0     -2.20                   0.19        -0.19
