# cosmic star formation rate density from Finkelstein et al. (2015)
#   IR data
#   cosmology is H0=70, OmegaM=0.3 OmegaL=0.7
#   Uses a Salpeter IMF 0.1 - 100
#   z   sfrd (Msol/yr/Mpc^3)   sfrderror_up  _down
4.0     -1.03                   0.23        -0.21
5.0     -1.20                   0.20        -0.25
6.0     -1.68                   0.24        -0.18
7.0     -1.85                   0.22        -0.16
8.0     -2.20                   0.19        -0.19
