# Data taken from Lin et al. (2012).
#
# log10(M_500 / Msun) M_500_error log10(M_gas / Msun) M_gas_error log10(M_star / Msun) M_star_error redshift
14.3217 2.2237e+13 13.3161 2.09095e+12 12.4729 2.7528e+11 0.0355
14.4205 2.65594e+13 13.4251 2.665e+12 12.4565 2.99139e+11 0.0475
14.3457 2.26162e+13 13.3481 2.23686e+12 12.6078 3.68029e+11 0.0389
14.4524 2.89907e+13 13.4648 2.92712e+12 12.5169 3.38273e+11 0.0456
14.3829 2.45741e+13 13.3844 2.43083e+12 12.4853 4.53973e+11 0.0569
14.4476 2.82273e+13 13.4783 3.01105e+12 12.5838 3.42306e+11 0.0328
14.424 2.67051e+13 13.4999 3.16385e+12 12.4032 6.20818e+11 0.0538
14.4889 3.15495e+13 13.5363 3.46098e+12 12.4953 3.35198e+11 0.0499
14.3236 2.18447e+13 13.3197 2.10065e+12 12.3083 2.10596e+11 0.0404
14.2195 1.6922e+13 13.2133 1.64174e+12 12.5915 3.40151e+11 0.0314
14.3454 2.25863e+13 13.375 2.37756e+12 12.4947 2.84667e+11 0.0349
14.2937 1.98458e+13 13.3468 2.22568e+12 12.2238 1.92581e+11 0.0434
14.3701 2.44199e+13 13.4854 3.0913e+12 12.7422 4.95315e+11 0.0458
14.2657 2.10313e+13 13.2694 1.90691e+12 12.3391 2.23413e+11 0.0416
14.0558 1.19634e+13 13.0026 1.01952e+12 12.2384 1.5513e+11 0.027
14.1971 1.59173e+13 13.228 1.69384e+12 12.4042 2.20705e+11 0.0283
14.2394 1.75501e+13 13.2464 1.76675e+12 12.468 2.61139e+11 0.0348
14.1712 1.51672e+13 13.2238 1.67853e+12 12.2573 2.77532e+11 0.058
14.1588 1.48037e+13 13.1245 1.33775e+12 12.1477 1.53627e+11 0.039
14.2036 1.64304e+13 13.1934 1.56817e+12 12.5052 3.3736e+11 0.0553
13.9666 1.00219e+13 12.9079 8.22561e+11 12.4614 2.44895e+11 0.0369
13.881 7.73199e+12 12.7744 5.95981e+11 12.1415 1.1383e+11 0.0282
